,year,major,stats_before,expect_like,expect_grade,programming_level,gender,height,programmed_before
127,1,Undecided,No,6,A,3,Female,72.0,True
128,2,Other,Yes,5,A,1,Female,67.0,False
129,2,Psychology,Yes,3,A,2,Nonbinary/other,64.0,True
130,4,Other,Yes,3,A,4,Female,68.0,True
131,4,Other,No,3,A,1,Female,65.0,False
132,4,Other,Yes,5,A,1,Male,70.5,False
133,3,Other,Yes,3,A,5,Female,67.0,True
134,3,Other,No,4,A,3,Male,74.0,True
135,4,Other,No,4,A,2,Female,68.0,True
136,2,Other,Yes,4,A,3,Female,64.0,True
137,4,Psychology,No,4,B,2,Female,66.0,True
138,3,Other,No,4,A,4,Female,64.0,True
139,3,Other,No,6,A,2,Male,72.0,True
140,1,Undecided,No,4,A,1,Male,78.0,False
141,2,Undecided,No,3,A,1,Female,67.0,False
142,2,Undecided,No,4,A,2,Female,65.0,True
143,1,Undecided,No,5,A,1,Female,65.0,False
144,2,Undecided,No,6,A,1,Male,76.0,False
145,2,Psychology,Yes,4,B,2,,63.0,True
146,2,Psychology,Yes,4,A,1,Female,64.0,False
147,3,Other,Yes,6,A,4,Male,69.0,True
148,2,Psychology,Yes,4,A,1,Female,61.0,False
149,3,Other,Yes,3,A,4,Male,69.0,True
150,2,Other,Yes,5,A,2,Female,65.0,True
151,2,Undecided,Yes,5,A,3,Male,76.0,True
152,2,Undecided,No,5,A,1,Male,78.0,False
153,3,Other,No,6,A,3,Female,5.4,True
154,4,Other,Yes,5,A,2,Female,68.0,True
155,2,Undecided,No,4,A,2,Male,77.0,True
