,year,size_acres
354,2005,0.01
355,2005,87.0
356,2005,0.2
357,2005,0.2
358,2005,0.1
359,2005,0.1
360,2005,0.1
361,2005,0.1
362,2005,0.1
363,2005,0.1
364,2005,0.1
365,2005,0.1
366,2005,0.1
367,2005,0.1
368,2005,0.1
369,2005,0.25
370,2005,0.1
371,2005,0.1
372,2005,0.75
373,2005,0.1
374,2005,0.5
375,2005,0.1
376,2005,0.1
377,2005,0.1
378,2005,0.5
379,2005,0.1
380,2005,0.1
381,2005,0.1
382,2005,0.1
383,2005,0.1
384,2005,0.25
385,2005,0.1
386,2005,0.1
387,2005,0.2
388,2005,0.3
389,2005,4.0
390,2005,0.1
391,2005,0.1
392,2005,0.1
393,2005,0.1
394,2005,0.1
395,2005,0.1
396,2005,0.1
397,2005,0.1
398,2005,0.1
399,2005,0.25
400,2005,0.1
401,2005,0.1
402,2005,0.1
403,2005,0.1
404,2005,0.01
405,2005,0.2
406,2005,0.1
407,2005,0.1
408,2005,0.1
409,2005,0.5
410,2005,0.3
411,2005,0.4
412,2005,0.1
413,2005,0.1
414,2005,0.2
415,2005,0.1
416,2005,0.1
417,2005,0.01
418,2005,0.01
419,2005,32.0
420,2005,0.1
421,2005,0.01
422,2005,0.25
423,2005,0.1
424,2005,0.25
425,2005,0.1
426,2005,0.2
427,2005,45.0
428,2005,0.1
429,2005,0.1
430,2005,0.1
431,2005,0.1
432,2005,0.1
433,2005,0.1
434,2005,0.1
435,2005,0.1
436,2005,0.1
437,2005,0.1
438,2005,1.0
439,2005,0.1
440,2005,0.1
441,2005,3.0
442,2005,0.1
443,2005,0.1
444,2005,0.1
445,2005,1.0
446,2005,0.1
447,2005,0.5
448,2005,0.1
449,2005,2.0
450,2005,0.1
451,2005,4.0
452,2005,3.0
453,2005,0.1
454,2005,0.1
455,2005,1.0
456,2005,0.1
457,2005,0.2
458,2005,0.1
459,2005,1.5
460,2005,1.0
461,2005,0.1
462,2005,0.5
463,2005,0.2
464,2005,1.0
465,2005,0.1
466,2005,0.1
467,2005,0.1
468,2005,2.0
469,2005,0.1
470,2005,0.1
471,2005,125.0
472,2005,800.0
473,2005,0.1
474,2005,0.1
475,2005,0.1
476,2005,0.1
477,2005,0.1
478,2005,0.25
479,2005,0.1
480,2005,0.1
481,2005,0.1
482,2005,0.7
483,2005,5.0
484,2005,0.1
485,2005,0.1
486,2005,0.1
487,2005,0.1
488,2005,2.5
489,2005,0.25
490,2005,1.0
491,2005,0.5
492,2005,0.75
493,2005,0.1
494,2005,0.1
495,2005,1.5
496,2005,5.0
497,2005,0.1
498,2005,2.0
499,2005,4.0
500,2005,0.25
501,2005,0.2
502,2005,0.1
503,2005,5.0
504,2005,3.0
505,2005,0.1
506,2005,0.1
507,2005,0.5
508,2005,0.1
509,2005,0.3
510,2005,0.1
511,2005,0.1
512,2005,0.2
513,2005,1.0
514,2005,1.0
515,2005,0.1
516,2005,0.5
517,2005,0.5
518,2005,0.1
519,2005,0.25
520,2005,0.1
521,2005,0.25
522,2005,0.1
523,2005,0.75
524,2005,0.2
525,2005,2270.0
526,2005,0.5
527,2005,2.1
528,2005,0.01
529,2005,0.1
530,2005,0.1
531,2005,0.1
532,2005,0.1
533,2005,0.1
534,2005,0.5
535,2005,0.1
536,2005,0.1
537,2005,2.0
538,2005,0.1
539,2005,0.1
540,2005,0.1
541,2005,0.1
542,2005,0.1
