,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed,DayPlayed,DayOfWeek
59,Caught Up in You,.38 Special,WXGL,WXGL0315,2014-06-21 19:58:54,2014-06-21,Saturday
60,Caught Up in You,.38 Special,WXGL,WXGL0593,2014-06-20 18:28:11,2014-06-20,Friday
61,Caught Up in You,.38 Special,WXGL,WXGL0757,2014-06-20 04:28:05,2014-06-20,Friday
62,Caught Up in You,.38 Special,WXGL,WXGL0981,2014-06-19 09:58:49,2014-06-19,Thursday
63,Caught Up in You,.38 Special,WXGL,WXGL1183,2014-06-18 15:58:41,2014-06-18,Wednesday
64,Caught Up in You,.38 Special,WXGL,WXGL1342,2014-06-18 02:28:02,2014-06-18,Wednesday
65,Caught Up in You,.38 Special,WXGL,WXGL1393,2014-06-17 12:59:00,2014-06-17,Tuesday
66,Caught Up in You,.38 Special,WXGL,WXGL1739,2014-06-16 05:58:57,2014-06-16,Monday
67,Caught Up in You,.38 Special,KCFX,KCFX0409,2014-06-21 02:59:20,2014-06-21,Saturday
68,Caught Up in You,.38 Special,KCFX,KCFX0513,2014-06-20 15:59:10,2014-06-20,Friday
69,Caught Up in You,.38 Special,KCFX,KCFX0807,2014-06-19 06:59:16,2014-06-19,Thursday
70,Caught Up in You,.38 Special,KCFX,KCFX1114,2014-06-17 23:59:00,2014-06-17,Tuesday
71,Caught Up in You,.38 Special,KCFX,KCFX1344,2014-06-16 11:58:54,2014-06-16,Monday
72,Caught Up in You,.38 Special,KSEG,KSEG0255,2014-06-22 01:59:05,2014-06-22,Sunday
73,Caught Up in You,.38 Special,KSEG,KSEG0602,2014-06-20 18:59:11,2014-06-20,Friday
74,Caught Up in You,.38 Special,KSEG,KSEG1251,2014-06-18 09:59:28,2014-06-18,Wednesday
75,Caught Up in You,.38 Special,KSEG,KSEG1775,2014-06-16 03:59:26,2014-06-16,Monday
76,Caught Up in You,.38 Special,KSLX,KSLX0145,2014-06-19 12:28:28,2014-06-19,Thursday
77,Caught Up in You,.38 Special,KSLX,KSLX0711,2014-06-16 16:59:54,2014-06-16,Monday
78,Caught Up in You,.38 Special,WLUP,WLUP0455,2014-06-21 06:59:03,2014-06-21,Saturday
79,Caught Up in You,.38 Special,WLUP,WLUP1145,2014-06-18 13:58:56,2014-06-18,Wednesday
80,Caught Up in You,.38 Special,WOFX,WOFX0348,2014-06-21 12:58:55,2014-06-21,Saturday
81,Caught Up in You,.38 Special,WOFX,WOFX0690,2014-06-19 20:59:08,2014-06-19,Thursday
82,Fantasy Girl,.38 Special,WXGL,WXGL0979,2014-06-19 09:58:49,2014-06-19,Thursday
83,Fantasy Girl,.38 Special,WOFX,WOFX0415,2014-06-21 02:59:12,2014-06-21,Saturday
84,Fantasy Girl,.38 Special,KGLK,KGLK1535,2014-06-16 18:28:34,2014-06-16,Monday
85,Hold On Loosely,.38 Special,KGB,KGB0032,2014-06-22 21:58:46,2014-06-22,Sunday
86,Hold On Loosely,.38 Special,KGB,KGB0848,2014-06-19 14:58:52,2014-06-19,Thursday
87,Hold On Loosely,.38 Special,KGB,KGB1409,2014-06-16 22:58:47,2014-06-16,Monday
88,Hold On Loosely,.38 Special,KGLK,KGLK0227,2014-06-22 03:58:39,2014-06-22,Sunday
89,Hold On Loosely,.38 Special,KGLK,KGLK0339,2014-06-21 17:58:37,2014-06-21,Saturday
90,Hold On Loosely,.38 Special,KGLK,KGLK0589,2014-06-20 20:28:10,2014-06-20,Friday
91,Hold On Loosely,.38 Special,KGLK,KGLK1576,2014-06-16 14:58:40,2014-06-16,Monday
92,Hold On Loosely,.38 Special,KRFX,KRFX0254,2014-06-21 22:58:44,2014-06-21,Saturday
93,Hold On Loosely,.38 Special,KRFX,KRFX0763,2014-06-19 18:58:37,2014-06-19,Thursday
