,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed
70,Caught Up in You,.38 Special,KCFX,KCFX1114,1970-01-01 00:00:01.403049540
71,Caught Up in You,.38 Special,KCFX,KCFX1344,1970-01-01 00:00:01.402919934
72,Caught Up in You,.38 Special,KSEG,KSEG0255,1970-01-01 00:00:01.403402345
73,Caught Up in You,.38 Special,KSEG,KSEG0602,1970-01-01 00:00:01.403290751
74,Caught Up in You,.38 Special,KSEG,KSEG1251,1970-01-01 00:00:01.403085568
75,Caught Up in You,.38 Special,KSEG,KSEG1775,1970-01-01 00:00:01.402891166
76,Caught Up in You,.38 Special,KSLX,KSLX0145,1970-01-01 00:00:01.403180908
77,Caught Up in You,.38 Special,KSLX,KSLX0711,1970-01-01 00:00:01.402937994
78,Caught Up in You,.38 Special,WLUP,WLUP0455,1970-01-01 00:00:01.403333943
79,Caught Up in You,.38 Special,WLUP,WLUP1145,1970-01-01 00:00:01.403099936
80,Caught Up in You,.38 Special,WOFX,WOFX0348,1970-01-01 00:00:01.403355535
81,Caught Up in You,.38 Special,WOFX,WOFX0690,1970-01-01 00:00:01.403211548
82,Fantasy Girl,.38 Special,WXGL,WXGL0979,1970-01-01 00:00:01.403171929
83,Fantasy Girl,.38 Special,WOFX,WOFX0415,1970-01-01 00:00:01.403319552
84,Fantasy Girl,.38 Special,KGLK,KGLK1535,1970-01-01 00:00:01.402943314
85,Hold On Loosely,.38 Special,KGB,KGB0032,1970-01-01 00:00:01.403474326
86,Hold On Loosely,.38 Special,KGB,KGB0848,1970-01-01 00:00:01.403189932
87,Hold On Loosely,.38 Special,KGB,KGB1409,1970-01-01 00:00:01.402959527
88,Hold On Loosely,.38 Special,KGLK,KGLK0227,1970-01-01 00:00:01.403409519
89,Hold On Loosely,.38 Special,KGLK,KGLK0339,1970-01-01 00:00:01.403373517
90,Hold On Loosely,.38 Special,KGLK,KGLK0589,1970-01-01 00:00:01.403296090
91,Hold On Loosely,.38 Special,KGLK,KGLK1576,1970-01-01 00:00:01.402930720
92,Hold On Loosely,.38 Special,KRFX,KRFX0254,1970-01-01 00:00:01.403391524
93,Hold On Loosely,.38 Special,KRFX,KRFX0763,1970-01-01 00:00:01.403204317
94,Hold On Loosely,.38 Special,KRFX,KRFX1146,1970-01-01 00:00:01.403056697
95,Hold On Loosely,.38 Special,KZEP,KZEP0107,1970-01-01 00:00:01.403441919
96,Hold On Loosely,.38 Special,KZEP,KZEP0276,1970-01-01 00:00:01.403384320
97,Hold On Loosely,.38 Special,KZEP,KZEP0543,1970-01-01 00:00:01.403287115
98,Hold On Loosely,.38 Special,KZEP,KZEP0857,1970-01-01 00:00:01.403164722
99,Hold On Loosely,.38 Special,KZEP,KZEP1160,1970-01-01 00:00:01.403056707
100,Hold On Loosely,.38 Special,KZEP,KZEP1395,1970-01-01 00:00:01.402937930
101,Hold On Loosely,.38 Special,KZOK,KZOK0413,1970-01-01 00:00:01.403222086
102,Hold On Loosely,.38 Special,KZOK,KZOK0809,1970-01-01 00:00:01.402962874
103,Hold On Loosely,.38 Special,KZPS,KZPS0012,1970-01-01 00:00:01.403477902
104,Hold On Loosely,.38 Special,KZPS,KZPS0328,1970-01-01 00:00:01.403369888
105,Hold On Loosely,.38 Special,KZPS,KZPS0624,1970-01-01 00:00:01.403269097
106,Hold On Loosely,.38 Special,KZPS,KZPS1157,1970-01-01 00:00:01.403089106
107,Hold On Loosely,.38 Special,KZPS,KZPS1587,1970-01-01 00:00:01.402905504
108,Hold On Loosely,.38 Special,WAXQ,WAXQ0045,1970-01-01 00:00:01.403452691
109,Hold On Loosely,.38 Special,WAXQ,WAXQ0443,1970-01-01 00:00:01.403305086
110,Hold On Loosely,.38 Special,WAXQ,WAXQ1095,1970-01-01 00:00:01.403078285
111,Hold On Loosely,.38 Special,WAXQ,WAXQ1384,1970-01-01 00:00:01.402948695
112,Hold On Loosely,.38 Special,WBGG,WBGG0053,1970-01-01 00:00:01.403467099
113,Hold On Loosely,.38 Special,WBGG,WBGG0408,1970-01-01 00:00:01.403344705
114,Hold On Loosely,.38 Special,WBGG,WBGG0597,1970-01-01 00:00:01.403283505
115,Hold On Loosely,.38 Special,WBGG,WBGG0983,1970-01-01 00:00:01.403132293
116,Hold On Loosely,.38 Special,WBGG,WBGG1048,1970-01-01 00:00:01.403107100
117,Hold On Loosely,.38 Special,WBGG,WBGG1429,1970-01-01 00:00:01.402927118
118,Hold On Loosely,.38 Special,WBGG,WBGG1546,1970-01-01 00:00:01.402880302
119,Hold On Loosely,.38 Special,WBIG,WBIG0273,1970-01-01 00:00:01.403380710
120,Hold On Loosely,.38 Special,WBIG,WBIG1143,1970-01-01 00:00:01.403078292
121,Hold On Loosely,.38 Special,WCSX,WCSX0234,1970-01-01 00:00:01.403481256
122,Hold On Loosely,.38 Special,WCSX,WCSX0394,1970-01-01 00:00:01.403394843
123,Hold On Loosely,.38 Special,WCSX,WCSX0533,1970-01-01 00:00:01.403308446
124,Hold On Loosely,.38 Special,WCSX,WCSX0735,1970-01-01 00:00:01.403308447
125,Hold On Loosely,.38 Special,WCSX,WCSX1096,1970-01-01 00:00:01.403135643
126,Hold On Loosely,.38 Special,WCSX,WCSX1310,1970-01-01 00:00:01.403135643
127,Hold On Loosely,.38 Special,WCSX,WCSX1486,1970-01-01 00:00:01.403049246
128,Hold On Loosely,.38 Special,WCSX,WCSX1668,1970-01-01 00:00:01.402962854
129,Hold On Loosely,.38 Special,WMGK,WMGK0008,1970-01-01 00:00:01.403481260
130,Hold On Loosely,.38 Special,WMGK,WMGK0517,1970-01-01 00:00:01.403308451
131,Hold On Loosely,.38 Special,WMGK,WMGK1052,1970-01-01 00:00:01.403135648
132,Hold On Loosely,.38 Special,WNCX,WNCX0388,1970-01-01 00:00:01.403308462
133,Hold On Loosely,.38 Special,WNCX,WNCX0470,1970-01-01 00:00:01.403222080
134,Hold On Loosely,.38 Special,WNCX,WNCX0928,1970-01-01 00:00:01.403049262
135,Hold On Loosely,.38 Special,WNCX,WNCX1256,1970-01-01 00:00:01.402962871
136,Hold On Loosely,.38 Special,WRFX,WRFX0455,1970-01-01 00:00:01.403283515
137,Hold On Loosely,.38 Special,WRFX,WRFX1288,1970-01-01 00:00:01.402934301
138,Hold On Loosely,.38 Special,WXGL,WXGL1635,1970-01-01 00:00:01.402930716
139,Hold On Loosely,.38 Special,KCFX,KCFX0048,1970-01-01 00:00:01.403456344
140,Hold On Loosely,.38 Special,KCFX,KCFX0822,1970-01-01 00:00:01.403157558
141,Hold On Loosely,.38 Special,KCFX,KCFX0961,1970-01-01 00:00:01.403103550
142,Hold On Loosely,.38 Special,KCFX,KCFX1150,1970-01-01 00:00:01.402999163
143,Hold On Loosely,.38 Special,KLOS,KLOS0177,1970-01-01 00:00:01.403391572
144,Hold On Loosely,.38 Special,KLOS,KLOS0474,1970-01-01 00:00:01.403283552
145,Hold On Loosely,.38 Special,KLOS,KLOS0653,1970-01-01 00:00:01.403207960
146,Hold On Loosely,.38 Special,KLOS,KLOS0990,1970-01-01 00:00:01.403063949
147,Hold On Loosely,.38 Special,KSEG,KSEG0366,1970-01-01 00:00:01.403366351
148,Hold On Loosely,.38 Special,KSEG,KSEG1486,1970-01-01 00:00:01.402981144
149,Hold On Loosely,.38 Special,KSLX,KSLX0273,1970-01-01 00:00:01.403132369
150,Hold On Loosely,.38 Special,KUFX,KUFX0277,1970-01-01 00:00:01.403387975
151,Hold On Loosely,.38 Special,KUFX,KUFX0673,1970-01-01 00:00:01.403254764
152,Hold On Loosely,.38 Special,KUFX,KUFX0731,1970-01-01 00:00:01.403240353
153,Hold On Loosely,.38 Special,KUFX,KUFX0888,1970-01-01 00:00:01.403186375
154,Hold On Loosely,.38 Special,KUFX,KUFX1072,1970-01-01 00:00:01.403117979
155,Hold On Loosely,.38 Special,KUFX,KUFX1456,1970-01-01 00:00:01.402970962
156,Hold On Loosely,.38 Special,KUFX,KUFX1685,1970-01-01 00:00:01.402898372
157,Hold On Loosely,.38 Special,WLUP,WLUP0247,1970-01-01 00:00:01.403402326
158,Hold On Loosely,.38 Special,WLUP,WLUP0610,1970-01-01 00:00:01.403287134
159,Hold On Loosely,.38 Special,WLUP,WLUP0918,1970-01-01 00:00:01.403179128
160,Hold On Loosely,.38 Special,WLUP,WLUP1203,1970-01-01 00:00:01.403078328
161,Hold On Loosely,.38 Special,WLUP,WLUP1645,1970-01-01 00:00:01.402894749
