home_team,stadium_capacity
Arizona,63400
Baltimore,71008
Carolina,75412
Chicago,61500
Cincinnati,65535
Dallas,100000
Denver,76125
Green Bay,81441
Houston,72220
Indianapolis,70000
Jacksonville,67164
Kansas City,76416
Miami,65326
New England,66829
New York Giants,82500
New York Jets,82500
Oakland,63132
Philadelphia,69176
Pittsburgh,68400
San Diego,70561
San Francisco,68500
Seattle,72000
Tampa Bay,74301
Tennessee,69143
Washington,82000
