"","county","state","trumptwoparty","median_house_inc","median_age","pct_female","pct_white","pct_black","pct_hispanic","pct_evangelical","unemployment","pct_manufacturing","pct_uninsured","pct_male_married","pct_female_married","pct_no_hs","pct_hs","pct_some_coll","pct_ba","pct_grad","pct_vet","pct_foreign_born","logtotalvotes"
"1569","Morris County, New Jersey","NJ",52.242249,100.214,42,0.50999999,0.72899997,0.029999999,0.124,0.028000001,0.063000001,0.111,0.075000003,0.59100002,0.54400003,0.061999999,0.22499999,0.20299999,0.29800001,0.211,0.057,0.18799999,12.430879
"1570","Ocean County, New Jersey","NJ",67.265022,61.994,42.799999,0.51999998,0.85100001,0.028999999,0.088,0.018999999,0.088,0.052000001,0.085000001,0.56999999,0.505,0.094999999,0.361,0.27500001,0.18000001,0.088,0.098999999,0.079000004,12.522203
"1571","Passaic County, New Jersey","NJ",38.438055,59.739,36.5,0.51300001,0.433,0.11,0.391,0.046,0.086000003,0.127,0.164,0.47400001,0.41499999,0.177,0.34799999,0.214,0.171,0.089000002,0.039000001,0.28299999,12.179739
"1572","Salem County, New Jersey","NJ",57.91409,61.831,41.799999,0.514,0.75700003,0.138,0.077,0.075999998,0.106,0.117,0.096000001,0.51300001,0.463,0.13600001,0.38600001,0.27500001,0.14300001,0.061000001,0.1,0.052000001,10.291943
"1573","Somerset County, New Jersey","NJ",43.325132,100.667,40.799999,0.51200002,0.59399998,0.088,0.14,0.027000001,0.059999999,0.124,0.079999998,0.597,0.537,0.057999998,0.219,0.198,0.292,0.233,0.048,0.242,11.964587
"1574","Sussex County, New Jersey","NJ",65.836036,86.565,43.400002,0.50400001,0.87699997,0.018999999,0.071000002,0.026000001,0.082000002,0.098999999,0.079999998,0.56300002,0.55500001,0.061000001,0.31,0.29100001,0.23199999,0.106,0.079999998,0.078000002,11.213522
"1575","Union County, New Jersey","NJ",31.603318,69.594,38.099998,0.51300001,0.42399999,0.20299999,0.294,0.039000001,0.097999997,0.097000003,0.15099999,0.495,0.43700001,0.14399999,0.29699999,0.233,0.197,0.12899999,0.041999999,0.29499999,12.31032
"1576","Warren County, New Jersey","NJ",63.340336,70.471,42.599998,0.514,0.838,0.039999999,0.079999998,0.041999999,0.090000004,0.105,0.089000002,0.56699997,0.52499998,0.098999999,0.34,0.26199999,0.197,0.102,0.075999998,0.092,10.80438
"1577","Bernalillo County, New Mexico","NM",39.769858,47.725,36.5,0.509,0.40400001,0.025,0.48699999,0.068999998,0.083999999,0.052999999,0.145,0.456,0.41800001,0.121,0.23800001,0.315,0.17900001,0.148,0.101,0.107,12.523296
"1578","Catron County, New Mexico","NM",77.419353,42.973,57.099998,0.46900001,0.79900002,0.0070000002,0.176,0.145,0.046,0.0099999998,0.16599999,0.44100001,0.55199999,0.059,0.36300001,0.31799999,0.148,0.112,0.11,0.02,7.6251073
"1579","Chaves County, New Mexico","NM",69.933718,40.63,34.799999,0.50199997,0.41600001,0.016000001,0.542,0.122,0.075999998,0.061000001,0.17200001,0.49000001,0.472,0.219,0.27000001,0.33000001,0.119,0.061999999,0.093999997,0.133,9.9169464
"1580","Cibola County, New Mexico","NM",46.064013,34.565,36.200001,0.495,0.20900001,0.0089999996,0.375,0.054000001,0.153,0.035,0.20200001,0.40200001,0.36000001,0.186,0.36500001,0.33000001,0.083999999,0.035999998,0.090999998,0.059999999,8.9950409
"1581","Colfax County, New Mexico","NM",54.836655,32.38,47.599998,0.49900001,0.479,0.003,0.486,0.16599999,0.094999999,0.043000001,0.126,0.46700001,0.5,0.114,0.33899999,0.333,0.149,0.064999998,0.13500001,0.037,8.5814819
"1582","Curry County, New Mexico","NM",74.325436,41.084,30.700001,0.48300001,0.50099999,0.057,0.39899999,0.17200001,0.090999998,0.046,0.156,0.491,0.48300001,0.176,0.252,0.36300001,0.126,0.082000002,0.168,0.086000003,9.5007687
"1583","De Baca County, New Mexico","NM",76.260763,32.5,47.299999,0.551,0.50199997,0,0.45100001,0.028000001,0.052000001,0.0080000004,0.121,0.28,0.27399999,0.168,0.42899999,0.30599999,0.068000004,0.028999999,0.117,0.052999999,6.8134446
"1584","Do?a Ana County, New Mexico","NM",40.072015,38.853,32.400002,0.50800002,0.29100001,0.016000001,0.66500002,0.066,0.115,0.046,0.17399999,0.484,0.44,0.21699999,0.22,0.285,0.162,0.115,0.096000001,0.16599999,11.165465
"1585","Eddy County, New Mexico","NM",72.315729,56.618,36.5,0.49200001,0.50099999,0.013,0.45899999,0.215,0.057999998,0.066,0.14300001,0.51899999,0.48699999,0.168,0.34,0.31400001,0.107,0.071000002,0.102,0.056000002,9.8866978
"1586","Grant County, New Mexico","NM",45.728123,38.311,46.5,0.50599998,0.47600001,0.0049999999,0.49200001,0.079999998,0.097000003,0.015,0.086999997,0.48100001,0.43700001,0.153,0.26899999,0.31600001,0.12800001,0.134,0.13,0.041000001,9.4580593
"1587","Guadalupe County, New Mexico","NM",38.019168,30.772,41.599998,0.421,0.178,0.016000001,0.773,0.037,0.012,0,0.092,0.287,0.41,0.25099999,0.40200001,0.212,0.078000002,0.057,0.089000002,0.02,7.5104303
"1588","Harding County, New Mexico","NM",66.595286,33.393,56.900002,0.48300001,0.611,0,0.38600001,0.064999998,0.059999999,0.024,0.078000002,0.40599999,0.54299998,0.115,0.391,0.23899999,0.211,0.044,0.169,0.025,6.2672005
"1589","Hidalgo County, New Mexico","NM",53.719008,34.444,41.799999,0.50199997,0.421,0.003,0.56699997,0.050999999,0.122,0.0049999999,0.17299999,0.486,0.43599999,0.236,0.31,0.31099999,0.093000002,0.050000001,0.097000003,0.086999997,7.5347629
"1590","Lea County, New Mexico","NM",76.073056,57.533,31.799999,0.486,0.39399999,0.032000002,0.54500002,0.237,0.059,0.045000002,0.19400001,0.53299999,0.53299999,0.28099999,0.30500001,0.28200001,0.081,0.052000001,0.071999997,0.15899999,9.7819977
