,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,408917,3473558,0.117722807565038,145,580,0.25,,0.0,,0.0,,,,,,,,,,,,,,,,35.4595186798299,14.1941584675008
1,Alaska,70067,478581,0.146405728601846,29,135,0.214814814814815,28.0,0.96551724137931,1.0,0.03448275862069,1.0,,,1.0,,,5.0,,,5.0,,,11.0,,6.0,41.3889562846989,25.9477031386929
2,Arizona,558906,4521911,0.123599513568489,225,979,0.229826353421859,,0.0,,0.0,,,,,,,,,,,,,,,,40.2572167770609,19.0259664068049
3,Arkansas,258170,2110583,0.122321652358614,90,376,0.23936170212766,88.0,0.977777777777778,2.0,0.022222222222222,,,9.0,,,,,,25.0,,,,,,39.0,34.8607506681644,15.4393215767758
4,California,2142367,26789221,0.079971231712934,665,3334,0.199460107978404,655.0,0.984962406015038,10.0,0.015037593984962,20.0,,,,,95.0,,,,,,238.0,,,312.0,31.0404333151136,10.8289682731922
5,Colorado,416250,3558782,0.11696417482161,148,730,0.202739726027397,140.0,0.945945945945946,8.0,0.054054054054054,3.0,,,6.0,,,24.0,,,28.0,,,32.0,,55.0,35.5555555555556,18.5200978064822
6,Connecticut,260131,2680115,0.09705964109749,44,292,0.150684931506849,,0.0,,0.0,,,,,,,,,,,,,,,,16.9145545898028,10.2480016396803
7,Delaware,79438,647164,0.122747866074133,16,91,0.175824175824176,15.0,0.9375,1.0,0.0625,1.0,,,1.0,,,1.0,,,1.0,,,3.0,,9.0,20.1414939953171,13.2105980701958
8,Florida*,1747213,14016217,0.124656531787429,562,2440,0.230327868852459,,0.0,,0.0,,,,,,,,,,,,,,,,32.1655115890278,15.3068659852096
9,Georgia,732779,6850347,0.106969617743452,97,923,0.105092091007584,,0.0,,0.0,1.0,,,13.0,,,25.0,,,30.0,,,27.0,,1.0,13.2372789067372,13.5020975655685
10,Hawaii,117468,950715,0.123557533014626,21,120,0.175,,0.0,,0.0,,,,,,,,,,,,,,,,17.8772091122689,11.8812308955208
11,Idaho,133128,1066418,0.124836602532966,53,222,0.238738738738739,53.0,1.0,0.0,0.0,2.0,,,4.0,,,,,16.0,,,,9.0,,22.0,39.8113094165014,18.1079835849522
