,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,402072,3521323,0.114182084404072,138,604,0.228476821192053,,0.0,,0.0,,,,,,,,,,,,,,,,34.322210947293,14.9394838696854
1,Alaska,67833,486235,0.13950661717071,27,169,0.159763313609467,27.0,1.0,0.0,0.0,3.0,,,1.0,,,3.0,,,4.0,,,10.0,,6.0,39.8036353986997,33.9386523008972
2,Arizona,551053,4768630,0.115557927538937,233,972,0.239711934156379,,0.0,,0.0,,,,,,,,,,,,,,,,42.2826842427135,17.5219089064645
3,Arkansas,243494,2145844,0.113472367982015,96,447,0.214765100671141,90.0,0.9375,6.0,0.0625,,,17.0,,,103.0,,,20.0,,,,23.0,,36.0,39.4260228178107,18.4508634057876
4,California,2034700,27233110,0.074714199002611,727,3775,0.192582781456954,712.0,0.979367262723521,15.0,0.020632737276479,21.0,,,,,,,,,,,267.0,,,336.0,35.7300830589276,12.0960012953198
5,Colorado,415094,3705758,0.11201325073035,188,803,0.23412204234122,179.0,0.952127659574468,9.0,0.047872340425532,5.0,,,11.0,,,26.0,,,45.0,,,37.0,,64.0,45.2909461471378,18.6892371873883
6,Connecticut,237074,2684092,0.088325586455308,46,315,0.146031746031746,,0.0,,0.0,,,,,,,,,,,,,,,,19.4032243097092,10.9929718539054
7,Delaware,75987,661193,0.114924084193269,23,109,0.211009174311927,23.0,1.0,0.0,0.0,1.0,,,1.0,,,1.0,,,4.0,,,5.0,,11.0,30.2683353731559,14.6956798118953
8,Florida*,1655847,14266412,0.116066113890444,631,2740,0.23029197080292,,0.0,,0.0,,,,,,,,,,,,,,,,38.1073855253535,16.7240722362559
9,Georgia,709363,7082157,0.10016199866792,192,981,0.195718654434251,,0.0,,0.0,4.0,,,14.0,,,18.0,,,38.0,,,43.0,,75.0,27.0665371608048,12.3807548149211
10,Hawaii,106372,959788,0.110828641324959,20,133,0.150375939849624,,0.0,,0.0,,,,,,,,,,,,,,,,18.8019403602452,13.2409047873487
