"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","playerid"
"Victor Martinez","- - -","155","672","23","88","108","1","11.2 %","11.0 %",".177",".312",".303",".381",".480",".375","126","-2.1","19.6","-4.4","3.8","30","393"
"Josh Willingham","Nationals","133","502","24","70","61","4","12.2 %","20.7 %",".237",".289",".260",".367",".496",".375","129","1.0","18.7","-10.2","2.5","30","2103"
"Robinson Cano","Yankees","161","674","25","103","85","5","4.5 %","9.3 %",".199",".324",".320",".352",".520",".374","124","-6.5","13.4","-0.4","3.6","26","3269"
"Chris Coghlan","Marlins","128","565","9","84","47","8","9.4 %","13.6 %",".139",".365",".321",".390",".460",".374","127","2.9","21.3","-12.2","2.7","24","6878"
"Jonny Gomes","Reds","98","314","20","39","51","3","8.3 %","27.1 %",".274",".309",".267",".338",".541",".373","126","0.0","9.9","-9.8","1.0","28","1845"
"Carlos Gonzalez","Rockies","89","317","13","53","29","16","8.8 %","22.1 %",".241",".333",".284",".353",".525",".373","117","2.1","8.8","1.0","2.0","23","7287"
"Johnny Damon","Yankees","143","626","24","107","82","12","11.3 %","15.7 %",".207",".305",".282",".365",".489",".372","122","7.3","24.6","-10.4","3.6","35","185"
"Justin Morneau","Twins","135","590","30","85","100","0","12.2 %","14.6 %",".242",".273",".274",".363",".516",".372","126","0.2","19.3","-7.0","3.3","28","1737"
"Andre Ethier","Dodgers","160","685","31","92","106","6","10.5 %","16.9 %",".237",".289",".272",".361",".508",".371","129","-3.5","21.1","-20.6","2.3","27","6265"
"Casey McGehee","Brewers","116","394","16","58","66","0","8.6 %","17.0 %",".197",".330",".301",".360",".499",".370","126","-2.0","10.8","-7.1","1.6","26","6086"
"Billy Butler","Royals","159","672","21","78","93","1","8.6 %","15.3 %",".191",".332",".301",".362",".492",".369","122","-7.7","10.9","-17.0","1.7","23","7399"
"Michael Cuddyer","Twins","153","650","32","93","94","6","8.3 %","18.2 %",".245",".295",".276",".342",".520",".369","124","1.1","20.7","-18.9","2.4","30","1534"
"Russell Branyan","Mariners","116","505","31","64","76","2","11.5 %","29.5 %",".269",".300",".251",".347",".520",".368","126","0.3","16.7","-7.2","2.7","33","370"
"Jim Thome","- - -","124","434","23","55","77","0","15.9 %","28.3 %",".232",".306",".249",".366",".481",".368","119","-6.8","3.6","-10.7","0.8","38","409"
"Ichiro Suzuki","Mariners","146","678","11","88","46","26","4.7 %","10.5 %",".113",".384",".352",".386",".465",".367","125","7.6","29.1","2.1","5.4","35","1101"
"David Wright","Mets","144","618","10","88","72","27","12.0 %","22.7 %",".140",".394",".307",".390",".447",".366","125","1.1","20.4","-7.5","3.3","26","3787"
"Mike Napoli","Angels","114","432","20","60","56","3","9.3 %","23.8 %",".220",".321",".272",".350",".492",".364","121","2.0","13.3","-0.7","2.7","27","3057"
"Lyle Overbay","Blue Jays","132","500","16","57","64","0","14.8 %","19.0 %",".201",".305",".265",".372",".466",".364","119","-1.8","10.0","-7.1","2.0","32","1617"
"Nolan Reimold","Orioles","104","411","15","49","45","8","11.4 %","18.7 %",".187",".316",".279",".365",".466",".364","117","0.7","9.2","-12.6","1.1","25","3441"
"Andrew McCutchen","Pirates","108","493","12","74","54","22","11.0 %","16.8 %",".185",".327",".286",".365",".471",".363","122","4.6","17.9","0.4","3.4","22","9847"
"Nelson Cruz","Rangers","128","515","33","75","76","20","9.5 %","22.9 %",".264",".278",".260",".332",".524",".363","114","0.9","9.7","2.6","3.0","28","2434"
"Paul Konerko","White Sox","152","621","28","75","88","1","9.3 %","14.3 %",".212",".282",".277",".353",".489",".363","115","-6.4","5.5","-9.3","1.8","33","242"
"Bobby Abreu","Angels","152","667","15","96","103","30","14.1 %","16.9 %",".142",".338",".293",".390",".435",".363","120","3.0","19.6","-15.8","2.7","35","945"
"Matt Kemp","Dodgers","159","667","26","97","101","34","7.8 %","20.8 %",".193",".345",".297",".352",".490",".362","123","4.3","22.9","5.1","4.9","24","5631"
"Gary Sheffield","Mets","100","312","10","44","43","2","12.8 %","14.7 %",".175",".299",".276",".372",".451",".360","122","-1.0","7.2","-13.9","0.3","40","114"
"Scott Rolen","- - -","128","535","11","76","67","5","8.4 %","11.6 %",".149",".327",".305",".368",".455",".360","116","5.4","16.3","6.0","4.0","34","970"
"Yunel Escobar","Braves","141","604","14","89","76","5","9.4 %","10.3 %",".136",".317",".299",".377",".436",".360","120","-2.5","12.0","7.8","3.9","26","4191"
"Brian McCann","Braves","138","551","21","63","94","4","8.9 %","15.1 %",".205",".297",".281",".349",".486",".359","119","-4.9","8.3","11.7","3.8","25","4810"
"Dustin Pedroia","Red Sox","154","714","15","115","72","20","10.4 %","6.3 %",".152",".297",".296",".371",".447",".359","112","0.6","11.1","10.7","4.6","25","8370"
"Denard Span","Twins","145","676","8","97","68","23","10.4 %","13.2 %",".104",".353",".311",".392",".415",".359","118","7.5","22.6","-5.0","4.1","25","8347"
"Miguel Montero","Diamondbacks","128","470","16","61","59","1","8.1 %","16.6 %",".184",".327",".294",".355",".478",".359","113","0.3","7.7","4.5","2.7","25","3364"
"Angel Pagan","Mets","88","376","6","54","32","14","6.6 %","14.9 %",".181",".349",".306",".350",".487",".359","121","0.0","9.8","6.9","2.9","27","2918"
"Adam LaRoche","- - -","150","629","25","78","83","2","11.0 %","22.6 %",".211",".328",".277",".355",".488",".359","119","-1.0","13.7","-12.5","2.1","29","1904"
"Felipe Lopez","- - -","151","680","9","88","57","6","10.4 %","14.7 %",".118",".358",".310",".383",".427",".359","115","-1.0","11.7","2.8","3.6","29","1311"
"Martin Prado","Braves","128","503","11","64","49","1","7.2 %","11.7 %",".158",".331",".307",".358",".464",".358","119","-3.5","8.1","1.4","2.6","25","3312"
"Carl Crawford","Rays","156","672","15","96","68","60","7.6 %","14.7 %",".147",".342",".305",".364",".452",".358","120","8.3","24.8","10.9","5.9","27","1201"
"Casey Blake","Dodgers","139","565","18","84","79","3","11.2 %","20.5 %",".188",".327",".280",".363",".468",".357","120","0.8","14.5","13.2","4.6","35","719"
"Aaron Hill","Blue Jays","158","734","36","103","108","6","5.7 %","13.4 %",".213",".288",".286",".330",".499",".357","114","4.2","17.3","-2.8","4.0","27","6104"
"Chone Figgins","Angels","158","729","5","114","54","42","13.9 %","15.6 %",".096",".356",".298",".395",".393",".357","116","7.1","21.6","18.5","6.5","31","1580"
"Carlos Lee","Astros","160","662","26","65","102","5","6.2 %","7.7 %",".189",".290",".300",".343",".489",".356","118","-11.0","3.3","-16.6","0.8","33","243"
"Magglio Ordonez","Tigers","131","518","9","54","50","3","9.8 %","12.5 %",".118",".344",".310",".376",".428",".356","113","-4.2","3.9","-13.4","0.8","35","248"
"Travis Hafner","Indians","94","383","16","46","49","0","10.7 %","17.5 %",".198",".297",".272",".355",".470",".356","115","1.0","8.3","-9.5","1.2","32","1573"
"Luke Scott","Orioles","128","506","25","61","77","0","10.9 %","20.6 %",".229",".283",".258",".340",".488",".356","112","0.9","8.2","-12.9","1.3","31","3469"
"Hunter Pence","Astros","159","647","25","76","72","14","9.0 %","16.8 %",".190",".308",".282",".346",".472",".356","117","-6.6","7.0","5.2","3.3","26","8252"
"Dan Uggla","Marlins","158","668","31","84","90","2","13.8 %","22.5 %",".216",".274",".243",".354",".459",".355","114","0.8","12.2","-7.6","2.6","29","3442"
"Chipper Jones","Braves","143","596","18","80","71","4","16.9 %","14.9 %",".166",".287",".264",".388",".430",".355","116","-2.3","9.6","-4.9","2.4","37","97"
"Kosuke Fukudome","Cubs","146","603","11","79","54","6","15.4 %","18.6 %",".162",".310",".259",".375",".421",".353","110","-2.7","4.8","0.0","2.4","32","3263"
"Marco Scutaro","Blue Jays","144","680","12","100","60","14","13.2 %","11.0 %",".127",".304",".282",".379",".409",".353","112","2.8","12.9","5.7","4.2","33","1555"
"Alberto Callaspo","Royals","155","634","11","79","73","2","8.2 %","8.0 %",".156",".312",".300",".356",".457",".353","111","-3.2","5.8","-8.9","1.9","26","3336"
"Gordon Beckham","White Sox","103","430","14","58","63","7","9.5 %","15.1 %",".190",".290",".270",".347",".460",".353","109","1.7","6.4","1.5","2.3","22","9015"
"Shane Victorino","Phillies","156","694","10","102","62","25","8.6 %","10.2 %",".153",".315",".292",".358",".445",".352","112","5.5","16.0","-3.9","3.4","28","1677"
"Brian Roberts","Orioles","159","717","16","110","79","30","10.3 %","15.6 %",".168",".318",".283",".356",".451",".352","109","2.2","10.3","-0.6","3.4","31","166"
"Juan Uribe","Giants","122","432","16","50","55","3","5.8 %","19.0 %",".206",".325",".289",".329",".495",".352","115","0.7","8.6","5.8","2.8","30","454"
"Asdrubal Cabrera","Indians","131","581","6","81","68","17","7.6 %","15.3 %",".130",".360",".308",".361",".438",".351","112","3.2","11.8","-2.5","2.9","23","4962"
"Ian Kinsler","Rangers","144","640","31","101","86","31","9.2 %","12.0 %",".235",".241",".253",".327",".488",".351","105","6.5","10.9","12.2","4.5","27","6195"
"Juan Rivera","Angels","138","572","25","72","88","0","6.3 %","10.0 %",".191",".281",".287",".332",".478",".350","111","-6.9","1.3","4.5","2.5","30","843"
"Nick Markakis","Orioles","161","711","18","94","101","6","7.9 %","13.8 %",".160",".317",".293",".347",".453",".349","107","3.6","9.8","-13.2","2.1","25","5930"
"Ryan Roberts","Diamondbacks","110","351","7","41","25","7","11.4 %","15.7 %",".138",".320",".279",".367",".416",".349","106","2.9","5.3","1.9","1.9","28","5653"
"Milton Bradley","Cubs","124","473","12","61","40","2","14.0 %","20.1 %",".140",".310",".257",".378",".397",".348","107","-3.4","0.5","-8.4","0.7","31","369"
"Chris Iannetta","Rockies","93","350","16","41","52","0","12.3 %","21.4 %",".232",".245",".228",".344",".460",".348","100","-1.0","-0.9","8.9","1.9","26","8267"
"Nate McLouth","- - -","129","591","20","86","70","19","11.5 %","16.8 %",".179",".281",".256",".352",".436",".348","112","2.2","10.6","2.8","3.2","27","3190"
"Mike Lowell","Red Sox","119","484","17","54","75","2","6.8 %","12.6 %",".184",".301",".290",".337",".474",".347","104","-9.4","-7.2","-9.9","0.0","35","527"
"Maicer Izturis","Angels","114","437","8","74","65","13","8.0 %","9.4 %",".134",".313",".300",".359",".434",".347","109","3.6","8.7","8.3","3.2","28","2437"
"Jermaine Dye","White Sox","141","574","27","78","81","0","11.1 %","18.8 %",".203",".268",".250",".340",".453",".347","105","-3.4","0.0","-28.0","-0.8","35","911"
"Marlon Byrd","Rangers","146","599","20","66","89","8","5.3 %","16.4 %",".196",".308",".283",".329",".479",".346","103","-1.3","0.6","-8.4","1.3","31","950"
"Mike Cameron","Brewers","149","628","24","78","70","7","11.9 %","24.8 %",".202",".304",".250",".342",".452",".346","110","0.0","7.9","13.7","4.2","36","1070"
"Grady Sizemore","Indians","106","503","18","73","64","13","11.9 %","18.3 %",".197",".275",".248",".343",".445",".346","109","2.8","8.3","-4.8","2.1","26","2197"
"Rajai Davis","Athletics","125","432","3","65","48","41","6.7 %","16.2 %",".118",".361",".305",".360",".423",".346","111","6.0","11.7","7.9","3.4","28","3708"
"Miguel Tejada","Astros","158","674","14","83","86","5","2.8 %","7.1 %",".142",".318",".313",".340",".455",".345","110","-5.8","2.3","-5.5","1.9","35","941"
"Eric Hinske","- - -","93","224","8","31","25","1","12.1 %","23.2 %",".189",".288",".242",".348",".432",".344","106","0.7","2.4","-2.7","0.7","31","1305"
"Vladimir Guerrero","Angels","100","407","15","59","50","2","4.7 %","13.8 %",".164",".313",".295",".334",".460",".344","107","-2.6","1.1","-10.4","0.5","34","778"
"Adam Jones","Orioles","119","519","19","83","70","10","6.9 %","17.9 %",".180",".308",".277",".335",".457",".343","103","0.4","2.6","-5.6","1.5","23","6368"
"Jorge Cantu","Marlins","149","643","16","67","100","3","7.3 %","12.6 %",".154",".310",".289",".345",".443",".343","106","-2.9","1.7","-12.8","1.0","27","2521"
"David DeJesus","Royals","144","627","13","74","71","4","8.1 %","13.9 %",".152",".311",".281",".347",".434",".343","105","0.0","3.9","10.2","3.6","29","1825"
"Dexter Fowler","Rockies","135","518","4","73","34","27","12.9 %","22.4 %",".141",".351",".266",".363",".406",".342","97","6.8","4.8","-14.4","0.7","23","4062"
"Jack Cust","Athletics","149","612","25","88","70","4","15.2 %","30.2 %",".177",".319",".240",".356",".417",".342","108","-0.2","6.0","-20.8","0.6","30","1564"
"David Ortiz","Red Sox","150","627","28","77","99","0","11.8 %","21.4 %",".224",".262",".238",".332",".462",".342","100","-3.1","-2.8","-16.0","0.3","33","745"
"Cody Ross","Marlins","151","604","24","73","90","5","5.6 %","20.2 %",".199",".306",".270",".321",".469",".342","105","1.1","4.9","-7.9","1.6","28","1760"
"Willie Harris","Nationals","137","393","7","47","27","11","14.5 %","15.8 %",".158",".271",".235",".364",".393",".341","106","-1.1","1.8","-7.9","0.7","31","236"
"Ben Francisco","- - -","126","459","15","58","46","14","8.3 %","18.1 %",".190",".287",".257",".332",".447",".341","105","-0.1","2.8","-10.7","0.8","27","4677"
"Orlando Hudson","Dodgers","149","631","9","74","62","8","9.8 %","15.7 %",".134",".328",".283",".357",".417",".341","109","2.1","8.8","-0.7","2.8","31","1307"
"Erick Aybar","Angels","137","556","5","70","58","14","5.4 %","9.7 %",".111",".338",".312",".353",".423",".340","105","3.5","7.0","11.2","3.7","25","4082"
"Craig Counsell","Brewers","130","459","4","61","39","3","9.2 %","11.8 %",".124",".317",".285",".357",".408",".340","106","-4.0","-0.6","8.2","2.2","38","52"
"Howie Kendrick","Angels","105","400","10","61","61","11","5.0 %","17.8 %",".152",".338",".291",".334",".444",".340","105","-0.1","2.2","5.2","2.1","25","4229"
"David Murphy","Rangers","128","494","17","61","57","9","9.9 %","21.5 %",".178",".311",".269",".338",".447",".339","98","0.9","-0.4","-4.3","1.2","27","6035"
"Carlos Quentin","White Sox","99","399","21","47","56","3","7.8 %","13.0 %",".219",".221",".236",".323",".456",".339","100","0.4","0.2","-19.2","-0.5","26","6274"
"Ryan Garko","- - -","118","400","13","39","51","0","7.3 %","12.5 %",".153",".280",".268",".344",".421",".339","105","-2.3","0.0","-6.6","0.7","28","6319"
"Jacoby Ellsbury","Red Sox","153","693","8","94","60","70","7.1 %","10.7 %",".114",".328",".301",".355",".415",".339","98","5.7","3.9","-7.5","2.0","25","4727"
"Gregg Zaun","- - -","90","296","8","34","27","0","10.5 %","16.2 %",".156",".291",".260",".345",".416",".338","102","-0.5","0.3","7.8","1.8","38","580"
"Ian Stewart","Rockies","147","491","25","74","70","7","11.4 %","28.1 %",".235",".270",".228",".322",".464",".338","94","3.0","-0.5","-3.0","1.2","24","5950"
"Carlos Ruiz","Phillies","107","379","9","32","43","3","12.4 %","10.3 %",".171",".264",".255",".355",".425",".338","103","-1.0","0.5","11.1","2.4","30","2579"
"Curtis Granderson","Tigers","160","710","30","91","71","20","10.1 %","19.9 %",".204",".275",".249",".327",".453",".338","101","3.5","4.1","1.0","2.9","28","4747"
"Scott Podsednik","White Sox","132","587","7","75","48","30","6.6 %","12.6 %",".108",".341",".304",".353",".412",".338","99","4.0","3.3","-4.0","1.9","33","1095"
"Skip Schumaker","Cardinals","153","586","4","85","35","2","8.9 %","11.8 %",".090",".341",".303",".364",".393",".338","107","1.9","6.7","-9.9","1.6","29","3704"
"Nyjer Morgan","- - -","120","533","3","74","39","42","7.5 %","13.9 %",".081",".355",".307",".369",".388",".338","104","2.4","5.3","25.9","4.8","28","4885"
"Jeff Baker","- - -","81","248","4","27","24","1","7.3 %","21.4 %",".137",".357",".288",".343",".425",".338","99","-0.8","-1.1","5.2","1.2","28","2073"
"Jose Bautista","Blue Jays","113","404","13","54","40","4","13.9 %","21.0 %",".173",".275",".235",".349",".408",".338","102","1.4","2.2","1.6","1.8","28","1887"
"Ronnie Belliard","- - -","110","287","10","39","39","3","7.0 %","19.5 %",".174",".315",".277",".325",".451",".337","104","2.0","3.5","0.8","1.4","34","677"
"Andruw Jones","Rangers","82","331","17","43","43","5","13.6 %","21.8 %",".246",".221",".214",".323",".459",".337","96","-0.4","-1.9","-3.8","0.6","32","96"
"Fernando Tatis","Mets","125","379","8","42","48","4","5.8 %","14.2 %",".156",".312",".282",".339",".438",".337","106","-1.8","1.1","4.2","1.7","34","798"
"Ryan Ludwick","Cardinals","139","542","22","63","97","4","7.6 %","19.6 %",".181",".296",".265",".329",".447",".337","106","5.2","9.2","-3.6","2.3","30","1260"
"Mike Sweeney","Mariners","74","266","8","25","34","0","6.4 %","11.7 %",".161",".291",".281",".335",".442",".337","105","-1.5","0.2","-7.5","0.2","35","634"
"Yadier Molina","Cardinals","140","544","6","45","54","9","9.2 %","7.2 %",".089",".309",".293",".366",".383",".336","106","-7.5","-3.7","19.2","3.3","26","7007"
"Juan Pierre","Dodgers","145","425","0","57","31","30","6.4 %","6.4 %",".084",".331",".308",".365",".392",".336","106","3.3","6.3","-0.8","1.9","31","443"
"Cliff Pennington","Athletics","60","229","4","27","21","7","8.3 %","20.1 %",".139",".342",".279",".342",".418",".336","104","-1.3","-0.1","-1.8","0.6","25","3395"
"Brandon Phillips","Reds","153","644","20","78","98","25","6.8 %","11.6 %",".171",".284",".276",".329",".447",".336","100","0.4","0.5","6.2","2.7","28","791"
"Chris Dickerson","Reds","97","299","2","31","15","11","13.0 %","22.1 %",".098",".360",".275",".370",".373",".335","100","0.4","0.4","6.6","1.7","27","7095"
"Julio Lugo","- - -","88","293","3","40","21","9","9.9 %","15.4 %",".125",".325",".280",".352",".405",".335","101","4.0","4.4","-16.2","-0.2","33","565"
"Franklin Gutierrez","Mariners","153","629","18","85","70","16","7.3 %","19.4 %",".142",".333",".283",".339",".425",".335","104","2.2","5.5","33.4","6.0","26","3255"
"Adam Kennedy","Athletics","129","587","11","65","63","20","7.7 %","14.7 %",".121",".326",".289",".348",".410",".335","103","0.9","3.2","-8.7","1.5","33","19"
"John Buck","Royals","59","202","8","16","36","1","6.4 %","27.2 %",".237",".306",".247",".299",".484",".335","99","-0.9","-1.1","-1.4","0.4","28","2041"
"Miguel Olivo","Royals","114","416","23","51","65","5","4.6 %","30.3 %",".241",".306",".249",".292",".490",".334","99","0.1","-0.4","1.9","1.6","30","1638"
"Luis Castillo","Mets","142","580","1","77","40","20","11.9 %","10.0 %",".043",".338",".302",".387",".346",".334","104","2.4","5.4","-9.0","1.5","33","513"
"Omar Infante","Braves","70","229","2","24","27","2","8.3 %","12.2 %",".084",".339",".305",".361",".389",".334","103","0.5","1.2","2.7","1.1","27","1609"
"Gabe Kapler","Rays","99","238","8","26","32","5","12.2 %","16.4 %",".200",".255",".239",".329",".439",".334","104","-2.5","-1.3","2.0","0.9","33","1256"
"Ronny Paulino","Marlins","80","266","8","24","27","1","9.4 %","18.0 %",".151",".310",".272",".340",".423",".334","99","-3.0","-3.2","5.7","1.1","28","2129"
"John Baker","Marlins","112","423","9","59","50","0","9.7 %","21.0 %",".139",".332",".271",".349",".410",".334","99","-0.7","-1.0","1.1","1.4","28","4756"
"Marcus Thames","Tigers","87","294","13","33","36","0","9.9 %","24.5 %",".202",".291",".252",".323",".453",".333","97","-0.6","-1.5","-8.7","0.0","32","1523"
"Ryan Sweeney","Athletics","134","534","6","68","53","6","7.5 %","12.5 %",".114",".327",".293",".348",".407",".333","102","0.0","1.4","18.1","3.8","24","6352"
"Corey Hart","Brewers","115","472","12","64","48","11","9.1 %","19.5 %",".158",".305",".260",".335",".418",".333","101","0.5","1.1","-10.5","0.6","27","1945"
"Carlos Guillen","Tigers","81","322","11","36","41","1","12.1 %","17.4 %",".177",".263",".242",".339",".419",".333","97","-2.6","-3.8","-9.0","-0.2","33","1079"
"Jake Fox","Cubs","82","241","11","23","44","0","5.8 %","19.5 %",".208",".274",".259",".311",".468",".332","96","-1.1","-2.3","-4.3","0.1","26","6267"
