"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","playerid"
"Travis Hafner","Indians","129","564","42","100","117","0","17.7 %","19.7 %",".350",".323",".308",".439",".659",".450","176","-1.5","54.1","-11.8","6.0","29","1573"
"Albert Pujols","Cardinals","143","634","49","119","137","7","14.5 %","7.9 %",".340",".292",".331",".431",".671",".447","174","1.6","63.0","-0.1","8.1","26","1177"
"Luke Scott","Astros","65","249","10","31","37","2","12.0 %","17.3 %",".285",".383",".336",".426",".621",".436","165","1.0","22.2","-0.8","2.9","28","3469"
"Ryan Howard","Phillies","159","704","58","104","149","0","15.3 %","25.7 %",".346",".356",".313",".425",".659",".436","162","-1.8","55.3","-17.5","5.9","26","2154"
"Manny Ramirez","Red Sox","130","558","35","79","102","0","17.9 %","18.3 %",".298",".341",".321",".439",".619",".436","163","-3.8","41.6","-30.8","2.9","34","210"
"David Ortiz","Red Sox","151","686","54","115","137","1","17.3 %","17.1 %",".349",".270",".287",".413",".636",".427","157","-4.0","46.6","-15.3","5.3","30","745"
"Lance Berkman","Astros","152","646","45","95","136","3","15.2 %","16.4 %",".306",".316",".315",".420",".621",".426","158","-1.0","48.4","-6.7","6.1","30","548"
"Chipper Jones","Braves","110","477","26","87","86","6","12.8 %","15.3 %",".273",".339",".324",".409",".596",".421","155","0.3","34.5","-9.8","3.9","34","97"
"Jim Thome","White Sox","143","610","42","108","109","0","17.5 %","24.1 %",".310",".321",".288",".416",".598",".421","153","2.2","43.7","-14.6","4.8","35","409"
"Jermaine Dye","White Sox","146","611","44","103","120","7","9.7 %","19.3 %",".306",".328",".315",".385",".622",".418","151","-3.0","36.9","-27.4","3.0","32","911"
"Miguel Cabrera","Marlins","158","676","26","112","114","9","12.7 %","16.0 %",".229",".379",".339",".430",".568",".415","153","-2.7","44.3","-1.8","6.3","23","1744"
"Matt Holliday","Rockies","155","667","34","119","114","10","7.0 %","16.5 %",".261",".351",".326",".387",".586",".410","139","-3.1","30.5","-16.6","3.5","26","1873"
"Barry Bonds","Giants","130","493","26","74","77","3","23.3 %","10.3 %",".275",".251",".270",".454",".545",".409","146","-2.8","27.0","-10.2","3.2","41","1109"
"Garrett Atkins","Rockies","157","695","29","117","120","4","11.4 %","10.9 %",".228",".335",".329",".409",".556",".409","138","-1.8","32.5","-0.3","5.4","26","1790"
"Carlos Beltran","Mets","140","617","41","127","116","18","15.4 %","16.0 %",".320",".263",".275",".388",".594",".408","148","9.3","48.3","12.3","7.8","29","589"
"Jason Giambi","Yankees","139","579","37","92","113","2","19.0 %","18.3 %",".305",".245",".253",".413",".558",".407","147","-3.7","31.4","-20.4","3.0","35","818"
"Wes Helms","Marlins","140","278","10","30","47","0","7.6 %","19.8 %",".246",".383",".329",".390",".575",".405","146","-2.1","14.7","-5.0","1.8","30","94"
"Nick Johnson","Nationals","147","628","23","100","77","10","17.5 %","15.8 %",".230",".320",".290",".428",".520",".404","147","-1.1","37.6","-7.6","4.9","27","828"
"Brian McCann","Braves","130","492","24","61","93","2","8.3 %","11.0 %",".240",".332",".333",".388",".572",".401","142","-7.0","19.9","7.7","4.3","22","4810"
"Chris Duncan","Cardinals","90","314","22","60","43","0","9.6 %","22.0 %",".296",".314",".293",".363",".589",".399","143","2.9","20.4","-6.7","2.3","25","2722"
"Josh Bard","- - -","100","284","9","30","40","1","10.6 %","14.8 %",".189",".370",".333",".404",".522",".398","147","-2.5","14.8","3.7","2.7","28","1578"
"Joe Mauer","Twins","140","608","13","86","84","8","13.0 %","8.9 %",".159",".364",".347",".429",".507",".396","141","0.4","33.0","6.2","5.8","23","1857"
"Paul Konerko","White Sox","152","643","35","97","113","1","9.3 %","16.2 %",".239",".326",".313",".381",".551",".394","135","-9.2","19.7","-11.4","3.0","30","242"
"Jason Bay","Pirates","159","689","35","101","109","11","14.8 %","22.6 %",".246",".330",".286",".396",".532",".392","137","2.5","36.3","-5.2","5.2","27","1717"
"Derek Jeter","Yankees","154","715","14","118","97","34","9.7 %","14.3 %",".140",".391",".343",".417",".483",".392","138","5.2","39.9","-1.2","6.1","32","826"
"Frank Thomas","Athletics","137","559","39","77","114","0","14.5 %","14.5 %",".275",".247",".270",".381",".545",".392","139","-8.2","20.1","-14.6","2.4","38","255"
"Carlos Guillen","Tigers","153","622","19","100","85","20","11.4 %","14.0 %",".199",".351",".320",".400",".519",".391","137","1.0","30.3","8.3","5.8","30","1079"
"Justin Morneau","Twins","157","661","34","97","130","3","8.0 %","14.1 %",".238",".328",".321",".375",".559",".390","138","-3.9","28.4","-12.3","3.8","25","1737"
"Esteban German","Royals","106","331","3","44","34","7","12.1 %","14.8 %",".133",".388",".326",".422",".459",".390","136","-1.3","14.0","-9.3","1.6","28","1449"
"Alex Rodriguez","Yankees","154","674","35","113","121","15","13.4 %","20.6 %",".233",".326",".290",".392",".523",".389","136","-0.8","30.2","-14.0","3.8","30","1274"
"Chase Utley","Phillies","160","739","32","131","102","15","8.5 %","17.9 %",".219",".343",".309",".379",".527",".388","130","10.5","39.7","9.9","7.2","27","1679"
"Olmedo Saenz","Dodgers","103","204","11","30","48","0","6.9 %","23.0 %",".268",".336",".296",".363",".564",".388","135","0.1","9.4","-4.0","1.2","35","937"
"Bobby Abreu","- - -","156","686","15","98","107","30","18.1 %","20.1 %",".164",".366",".297",".424",".462",".388","132","7.5","35.9","-21.8","3.6","32","945"
"Vladimir Guerrero","Angels","156","665","33","92","116","15","7.5 %","10.2 %",".222",".327",".329",".382",".552",".386","134","-3.6","25.5","-11.8","3.5","31","778"
"Moises Alou","Giants","98","378","22","52","74","2","7.4 %","8.2 %",".270",".277",".301",".352",".571",".385","131","-4.6","10.6","-9.8","1.3","39","261"
"Grady Sizemore","Indians","162","751","28","134","76","22","10.4 %","20.4 %",".243",".339",".290",".375",".533",".383","132","9.2","40.5","15.2","7.9","23","2197"
"David Wright","Mets","154","661","26","96","116","20","10.0 %","17.1 %",".220",".344",".311",".381",".531",".382","132","3.9","31.2","-4.7","4.7","23","3787"
"David Dellucci","Phillies","132","301","13","41","39","1","9.3 %","20.6 %",".239",".333",".292",".369",".530",".382","127","0.2","10.7","-7.5","1.3","32","1402"
"Pat Burrell","Phillies","144","567","29","80","95","0","17.3 %","23.1 %",".245",".294",".258",".388",".502",".381","126","-4.8","14.6","-18.1","1.5","29","949"
"Aramis Ramirez","Cubs","157","660","38","93","119","2","7.6 %","9.5 %",".269",".270",".291",".352",".561",".381","125","-4.6","17.0","-0.6","3.7","28","1002"
"Greg Norton","Devil Rays","98","335","17","47","45","1","10.4 %","20.6 %",".224",".333",".296",".374",".520",".381","132","-0.8","13.0","-12.1","1.2","33","1388"
"Adam LaRoche","Braves","149","557","32","89","90","0","9.9 %","23.0 %",".276",".319",".285",".354",".561",".381","129","-0.8","20.1","-15.8","2.2","26","1904"
"Hideki Matsui","Yankees","51","201","8","32","29","1","13.4 %","11.4 %",".192",".308",".302",".393",".494",".381","130","-0.3","7.5","-6.9","0.7","32","1659"
"J.D. Drew","Dodgers","146","594","20","84","100","2","15.0 %","17.8 %",".215",".321",".283",".393",".498",".380","130","3.6","26.8","-3.2","4.2","30","1152"
"Vernon Wells","Blue Jays","154","677","32","91","106","17","8.0 %","13.3 %",".239",".307",".303",".357",".542",".380","128","3.4","27.8","8.9","5.8","27","1326"
"David Ross","Reds","90","296","21","37","52","0","12.5 %","25.3 %",".324",".269",".255",".353",".579",".379","125","-0.2","9.6","7.3","2.6","29","1551"
"Ryan Church","Nationals","71","230","10","22","35","6","11.3 %","26.1 %",".250",".344",".276",".366",".526",".379","131","0.1","9.4","2.6","1.9","27","2106"
"Brad Hawpe","Rockies","150","575","22","67","84","5","12.9 %","21.4 %",".222",".348",".293",".383",".515",".379","118","1.1","14.8","-6.2","2.7","27","1885"
"Chris Coste","Phillies","65","213","7","25","32","0","4.7 %","14.6 %",".177",".363",".328",".376",".505",".379","125","-0.6","6.3","1.7","1.5","33","7243"
"Juan Rivera","Angels","124","494","23","65","85","0","6.7 %","11.9 %",".214",".312",".310",".362",".525",".378","129","-5.9","12.2","-4.5","2.4","27","843"
"Ray Durham","Giants","137","555","26","79","93","7","9.2 %","11.0 %",".245",".291",".293",".360",".538",".378","126","-1.3","17.3","1.8","3.6","34","230"
"Robinson Cano","Yankees","122","508","15","62","78","5","3.5 %","10.6 %",".183",".359",".342",".365",".525",".377","128","-4.2","14.0","-7.1","2.4","23","3269"
"Reed Johnson","Blue Jays","134","517","12","86","49","8","6.4 %","15.7 %",".161",".366",".319",".390",".479",".377","126","0.4","17.9","9.8","4.4","29","1702"
"Michael Barrett","Cubs","107","418","16","54","53","0","7.9 %","9.8 %",".211",".308",".307",".368",".517",".377","122","-2.1","9.9","0.2","2.3","29","762"
"Alfonso Soriano","Nationals","159","728","46","119","95","41","9.2 %","22.0 %",".283",".300",".277",".351",".560",".377","129","3.9","31.8","-0.5","5.4","30","847"
"Carlos Delgado","Mets","144","618","38","89","114","0","12.0 %","19.4 %",".282",".269",".265",".361",".548",".377","128","-1.4","21.1","-12.7","2.8","34","1297"
"Todd Helton","Rockies","145","649","15","94","81","3","14.0 %","9.9 %",".174",".317",".302",".404",".476",".376","116","-1.2","12.7","-14.3","1.9","32","432"
"Andruw Jones","Braves","156","669","41","107","129","4","12.3 %","19.0 %",".269",".264",".262",".363",".531",".375","124","3.4","24.9","14.9","6.0","29","96"
"Carlos Lee","- - -","161","695","37","102","116","19","8.3 %","9.4 %",".240",".281",".300",".355",".540",".375","123","-2.6","18.6","-22.3","1.9","30","243"
"Lyle Overbay","Blue Jays","157","640","22","82","92","5","8.6 %","15.0 %",".196",".342",".312",".372",".508",".375","124","-6.6","13.7","-17.4","1.8","29","1617"
"Bill Hall","Brewers","148","608","35","101","85","8","10.4 %","26.6 %",".283",".320",".270",".345",".553",".374","124","0.3","19.4","13.1","5.1","26","1605"
"Scott Rolen","Cardinals","142","594","22","94","95","7","9.4 %","11.6 %",".223",".301",".296",".369",".518",".374","126","2.6","23.2","13.5","5.5","31","970"
"Miguel Tejada","Orioles","162","709","24","99","100","6","6.5 %","11.1 %",".168",".345",".330",".379",".498",".374","125","-3.8","18.7","7.8","4.9","32","941"
"Mark Teixeira","Rangers","162","727","33","99","110","2","12.2 %","17.6 %",".232",".304",".282",".371",".514",".374","121","0.4","20.2","-8.7","3.5","26","1281"
