"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","playerid"
"Josh Willingham","Marlins","144","604","21","75","89","8","10.9 %","20.2 %",".198",".309",".265",".364",".463",".363","117","1.2","14.3","-15.7","1.8","28","2103"
"Nick Swisher","Athletics","150","659","22","84","78","3","15.2 %","19.9 %",".193",".301",".262",".381",".455",".362","122","4.6","22.9","-5.2","4.0","26","4599"
"Ichiro Suzuki","Mariners","161","736","6","111","68","37","6.7 %","10.5 %",".080",".389",".351",".396",".431",".362","122","9.8","30.2","6.9","6.1","33","1101"
"Travis Hafner","Indians","152","661","24","80","100","1","15.4 %","17.4 %",".185",".294",".266",".385",".451",".362","121","-2.5","15.0","-15.0","2.2","30","1573"
"Robinson Cano","Yankees","160","669","19","93","97","4","5.8 %","12.7 %",".182",".329",".306",".353",".488",".362","119","-0.7","15.6","9.9","4.7","24","3269"
"Chris Duncan","Cardinals","127","432","21","51","70","2","12.7 %","28.5 %",".221",".328",".259",".354",".480",".361","117","3.7","13.4","-10.0","1.7","26","2722"
"Adrian Gonzalez","Padres","161","720","30","101","100","0","9.0 %","19.4 %",".220",".315",".282",".347",".502",".361","123","1.1","22.8","-16.7","2.9","25","1908"
"Mark Reynolds","Diamondbacks","111","414","17","62","62","0","8.9 %","31.2 %",".216",".378",".279",".349",".495",".360","109","1.6","6.3","-1.5","1.8","23","7619"
"Damion Easley","Mets","76","218","10","24","26","0","8.7 %","16.1 %",".187",".295",".280",".358",".466",".360","116","1.8","6.4","1.0","1.4","37","464"
"Orlando Hudson","Diamondbacks","139","601","10","69","63","10","11.6 %","14.5 %",".147",".333",".294",".376",".441",".359","108","0.1","6.6","-0.2","2.6","29","1307"
"Paul Konerko","White Sox","151","636","31","71","90","0","12.3 %","16.0 %",".231",".263",".259",".351",".490",".359","114","-6.1","5.1","-11.5","1.5","31","242"
"Bobby Abreu","Yankees","158","699","16","123","101","25","12.0 %","16.5 %",".162",".322",".283",".369",".445",".358","117","4.7","19.8","-9.6","3.4","33","945"
"Raul Ibanez","Mariners","149","636","21","80","105","0","8.3 %","15.3 %",".188",".316",".291",".351",".480",".357","119","-0.8","14.3","-27.4","0.9","35","607"
"Aaron Boone","Marlins","69","228","5","27","28","2","9.2 %","18.0 %",".138",".333",".286",".388",".423",".357","112","1.8","5.4","-11.8","0.1","34","311"
"Rickie Weeks Jr.","Brewers","118","506","16","87","36","25","15.4 %","22.9 %",".198",".287",".235",".374",".433",".357","113","7.3","15.8","-0.7","3.1","24","1849"
"Brian Roberts","Orioles","156","716","12","103","57","50","12.4 %","13.8 %",".142",".327",".290",".377",".432",".356","115","9.1","22.4","3.0","4.9","29","166"
"Mike Lamb","Astros","124","353","11","45","40","0","10.2 %","12.7 %",".164",".307",".289",".366",".453",".356","112","2.6","8.3","-1.1","1.8","31","1258"
"Ryan Ludwick","Cardinals","120","339","14","42","52","4","7.7 %","21.2 %",".211",".309",".267",".339",".479",".355","113","0.4","6.2","4.2","2.1","28","1260"
"Carl Crawford","Devil Rays","143","627","11","93","80","50","5.1 %","17.9 %",".151",".374",".315",".355",".466",".355","116","7.6","19.9","-7.7","3.3","25","1201"
"Jose Guillen","Mariners","153","659","23","84","99","5","6.2 %","17.9 %",".170",".326",".290",".353",".460",".355","117","-2.1","12.1","-12.8","2.2","31","57"
"Torii Hunter","Twins","160","650","28","94","107","18","6.2 %","15.5 %",".218",".303",".287",".334",".505",".354","116","-1.9","10.9","-0.8","3.2","31","731"
"Justin Morneau","Twins","157","668","31","84","111","1","9.6 %","13.6 %",".220",".270",".271",".343",".492",".353","115","-3.2","9.3","-9.8","2.2","26","1737"
"Nate McLouth","Pirates","137","382","13","62","38","22","10.2 %","20.2 %",".201",".299",".258",".351",".459",".353","110","6.0","11.1","-7.8","1.5","25","3190"
"Eric Byrnes","Diamondbacks","160","699","21","103","83","50","8.2 %","14.0 %",".174",".309",".286",".353",".460",".353","104","10.1","13.7","0.1","3.6","31","905"
"Joe Mauer","Twins","109","471","7","62","60","7","12.1 %","10.8 %",".133",".319",".293",".382",".426",".352","114","1.4","9.9","7.6","3.3","24","1857"
"Ryan Church","Nationals","144","530","15","57","70","3","9.2 %","20.2 %",".191",".322",".272",".349",".464",".352","113","0.0","8.7","2.9","2.8","28","2106"
"Marlon Byrd","Rangers","109","454","10","60","70","5","6.4 %","19.4 %",".152",".363",".307",".355",".459",".352","109","3.2","8.5","1.0","2.5","29","950"
"Mark DeRosa","Cubs","149","574","10","64","72","1","10.1 %","16.2 %",".127",".340",".293",".371",".420",".351","105","-1.3","2.1","4.3","2.5","32","1392"
"Ryan Doumit","Pirates","83","279","9","33","32","1","7.9 %","21.1 %",".198",".324",".274",".341",".472",".351","109","-0.1","3.1","9.1","2.1","26","2113"
"Brandon Phillips","Reds","158","702","30","107","94","32","4.7 %","15.5 %",".197",".304",".288",".331",".485",".350","104","-1.1","2.6","19.7","4.4","26","791"
"Cliff Floyd","Cubs","108","322","9","40","45","0","10.9 %","14.6 %",".138",".314",".284",".373",".422",".350","104","-0.8","0.7","-3.7","0.7","34","518"
"Ian Kinsler","Rangers","130","566","20","96","61","23","11.0 %","14.7 %",".178",".279",".263",".355",".441",".350","108","6.8","12.6","-6.7","2.5","25","6195"
"Kevin Millar","Orioles","140","562","17","63","63","1","13.5 %","16.7 %",".166",".283",".254",".365",".420",".349","110","-2.5","4.8","-17.7","0.6","35","529"
"Matt Murton","Cubs","94","261","8","35","22","1","10.0 %","14.9 %",".157",".309",".281",".352",".438",".349","103","0.1","1.1","-1.8","0.8","25","6307"
"Jason Giambi","Yankees","83","303","14","31","39","1","13.2 %","21.8 %",".197",".263",".236",".356",".433",".349","111","-2.1","2.0","-5.8","0.7","36","818"
"Edwin Encarnacion","Reds","139","560","16","66","76","8","7.0 %","15.4 %",".149",".322",".289",".356",".438",".349","103","4.2","6.5","-12.7","1.2","24","2151"
"Randy Winn","Giants","155","653","14","73","65","15","6.7 %","13.0 %",".145",".329",".300",".353",".445",".348","106","2.8","7.9","-4.7","2.4","33","1235"
"Luis Gonzalez","Dodgers","139","526","15","70","68","6","10.6 %","10.6 %",".155",".289",".278",".359",".433",".348","109","-1.0","4.8","-16.4","0.6","39","55"
"Michael Cuddyer","Twins","144","623","16","87","81","5","10.3 %","17.2 %",".157",".315",".276",".356",".433",".348","111","-2.5","6.4","-4.7","2.3","28","1534"
"Adam LaRoche","Pirates","152","632","21","71","88","1","9.8 %","20.7 %",".187",".318",".272",".345",".458",".348","107","-2.7","3.0","-4.7","1.9","27","1904"
"Garret Anderson","Angels","108","450","16","67","80","1","6.0 %","12.0 %",".194",".306",".297",".336",".492",".348","110","0.2","5.9","-7.6","1.4","35","2"
"J.D. Drew","Red Sox","140","552","11","84","64","4","14.3 %","18.1 %",".152",".319",".270",".373",".423",".347","107","1.7","6.3","-5.3","2.0","31","1152"
"Xavier Nady","Pirates","125","470","20","55","72","3","4.9 %","21.5 %",".197",".318",".278",".330",".476",".347","106","-3.2","0.7","-11.1","0.5","28","1658"
"Miguel Tejada","Orioles","133","569","18","72","81","2","7.2 %","9.7 %",".146",".302",".296",".357",".442",".346","108","-7.0","-1.0","0.6","1.9","33","941"
"Kenny Lofton","- - -","136","559","7","86","38","23","10.0 %","9.1 %",".118",".316",".296",".367",".414",".346","108","2.3","7.7","2.8","2.9","40","246"
"Dan Uggla","Marlins","159","728","31","113","88","2","9.3 %","22.9 %",".234",".279",".245",".326",".479",".346","106","4.0","9.2","-8.6","2.4","27","3442"
"Howie Kendrick","Angels","88","353","5","55","39","5","2.5 %","17.3 %",".127",".381",".322",".347",".450",".346","109","-0.3","3.7","8.0","2.3","23","4229"
"Michael Young","Rangers","156","692","9","80","94","13","6.8 %","15.5 %",".103",".366",".315",".366",".418",".346","105","-2.0","2.7","-4.9","2.1","30","1286"
"Mike Napoli","Angels","75","263","10","40","34","5","12.5 %","24.0 %",".196",".291",".247",".351",".443",".345","109","0.6","3.5","3.1","1.5","25","3057"
"Jason Varitek","Red Sox","131","518","17","57","68","1","13.7 %","23.6 %",".166",".313",".255",".367",".421",".345","105","-1.1","2.1","7.1","2.6","35","217"
"Jose Vidro","Mariners","147","625","6","78","59","0","10.1 %","9.1 %",".080",".337",".314",".381",".394",".345","111","-1.5","6.7","-17.8","1.0","32","802"
"Tony Clark","Diamondbacks","113","245","17","31","51","0","8.6 %","24.1 %",".262",".257",".249",".310",".511",".344","98","-2.1","-2.5","-5.4","0.0","35","182"
"Jermaine Dye","White Sox","138","561","28","68","78","2","8.0 %","19.1 %",".232",".268",".254",".317",".486",".344","104","-4.1","-1.3","-30.0","-1.2","33","911"
"Adrian Beltre","Mariners","149","639","26","87","99","14","5.9 %","16.3 %",".207",".294",".276",".319",".482",".343","110","-0.8","6.9","0.9","2.9","28","639"
"Ty Wigginton","- - -","148","604","22","71","67","3","6.8 %","18.7 %",".181",".310",".278",".333",".459",".343","107","-3.6","1.6","-11.9","1.0","29","1491"
"Wilson Betemit","- - -","121","284","14","33","50","0","13.4 %","28.9 %",".225",".279",".229",".333",".454",".343","105","0.5","2.6","-4.6","0.7","25","1861"
"Brian Giles","Padres","121","552","13","72","51","4","11.6 %","11.1 %",".145",".288",".271",".361",".416",".343","112","0.9","9.2","-17.6","1.0","36","990"
"Aaron Hill","Blue Jays","160","657","17","87","78","4","6.2 %","15.5 %",".168",".324",".291",".333",".459",".343","107","-1.7","4.1","8.0","3.4","25","6104"
"Chad Tracy","Diamondbacks","76","260","7","30","35","0","11.2 %","16.5 %",".189",".294",".264",".346",".454",".343","98","-2.6","-3.4","1.7","0.7","27","1888"
"Frank Catalanotto","Rangers","103","377","11","52","44","2","7.4 %","9.8 %",".184",".264",".260",".337",".444",".343","103","-1.0","0.6","-5.5","0.8","33","1241"
"Shawn Green","Mets","130","491","10","62","46","11","7.5 %","12.6 %",".139",".320",".291",".352",".430",".342","105","-1.6","1.6","-17.1","0.1","34","651"
"Billy Butler","Royals","92","360","8","38","52","0","7.5 %","15.3 %",".155",".328",".292",".347",".447",".342","105","-2.1","0.0","-8.0","0.4","21","7399"
"Alex Gonzalez","Reds","110","430","16","55","55","0","5.6 %","17.4 %",".196",".298",".272",".325",".468",".342","99","-0.8","-1.4","9.4","2.2","30","520"
"Lastings Milledge","Mets","59","206","7","27","29","3","6.3 %","20.4 %",".174",".316",".272",".341",".446",".342","105","-2.7","-1.5","-4.3","0.1","22","6441"
"Akinori Iwamura","Devil Rays","123","559","7","82","34","12","10.4 %","20.4 %",".126",".355",".285",".359",".411",".341","107","3.3","8.0","4.0","3.1","28","7781"
"Brendan Harris","Devil Rays","137","576","12","72","59","4","7.3 %","16.7 %",".148",".331",".286",".343",".434",".341","107","1.2","5.9","-1.5","2.4","26","2178"
"Andre Ethier","Dodgers","153","507","13","50","64","0","9.1 %","13.4 %",".168",".305",".284",".350",".452",".341","104","0.2","2.8","-2.9","1.6","25","6265"
"Freddy Sanchez","Pirates","147","653","11","77","81","0","4.9 %","11.6 %",".138",".328",".304",".343",".442",".341","102","0.9","3.0","5.6","2.9","29","1624"
"J.J. Hardy","Brewers","151","638","26","89","80","2","6.3 %","11.4 %",".186",".279",".277",".323",".463",".340","103","-2.3","-0.1","19.4","3.9","24","3797"
"Ryan Zimmerman","Nationals","162","722","24","99","91","4","8.4 %","17.3 %",".191",".295",".266",".330",".458",".340","105","-0.3","4.3","18.3","4.5","22","4220"
"Jason Kubel","Twins","128","466","13","49","65","5","8.8 %","17.0 %",".177",".305",".273",".335",".450",".340","106","-2.2","1.3","-12.4","0.5","25","2161"
"Jack Wilson","Pirates","135","535","12","67","56","2","7.1 %","8.6 %",".145",".303",".296",".350",".440",".340","102","0.9","2.2","6.2","2.5","29","1017"
"Shane Victorino","Phillies","131","510","12","78","46","37","7.3 %","12.2 %",".143",".302",".281",".347",".423",".340","98","6.4","5.4","7.0","2.8","26","1677"
"Mark Ellis","Athletics","150","642","19","84","76","9","6.9 %","14.6 %",".165",".300",".276",".336",".441",".340","107","4.9","10.5","12.2","4.4","30","1443"
"Ruben Gotay","Mets","98","211","4","25","24","3","7.6 %","19.9 %",".126",".359",".295",".351",".421",".340","103","0.3","1.2","-0.8","0.7","24","3417"
"Casey Blake","Indians","156","662","18","81","78","4","8.2 %","18.6 %",".167",".312",".270",".339",".437",".339","106","1.7","6.8","0.1","2.9","33","719"
"Kevin Kouzmanoff","Padres","145","534","18","57","74","1","6.0 %","17.6 %",".182",".304",".275",".329",".457",".339","109","-0.5","5.9","-0.8","2.2","25","5995"
"Brad Wilkerson","Rangers","119","389","20","54","62","4","11.1 %","27.5 %",".234",".274",".234",".319",".467",".339","101","2.1","2.6","-7.5","0.8","30","804"
"Norris Hopper","Reds","121","335","0","51","14","14","6.0 %","9.9 %",".059",".367",".329",".371",".388",".339","97","0.9","-0.5","12.6","2.3","28","2450"
"Aubrey Huff","Orioles","151","603","15","68","72","1","8.0 %","14.4 %",".162",".308",".280",".337",".442",".339","103","0.5","3.0","-15.9","0.8","30","1213"
"Austin Kearns","Nationals","161","674","16","84","74","2","10.5 %","15.7 %",".145",".299",".266",".355",".411",".338","104","0.8","4.1","8.1","3.4","27","332"
"Franklin Gutierrez","Indians","100","301","13","41","36","8","7.0 %","25.6 %",".207",".321",".266",".318",".472",".338","105","1.1","3.2","4.8","1.8","24","3255"
"Dan Johnson","Athletics","117","495","18","53","62","0","14.5 %","15.6 %",".183",".246",".236",".349",".418",".338","106","-1.7","2.0","-8.7","1.0","27","2167"
"Jeff Francoeur","Braves","162","696","19","84","105","5","6.0 %","18.5 %",".151",".337",".293",".338",".444",".338","101","-3.2","-2.5","13.1","3.3","23","4792"
"Mark Grudzielanek","Royals","116","486","6","70","51","1","4.7 %","12.3 %",".124",".337",".302",".346",".426",".338","102","0.7","1.8","7.9","2.6","37","653"
"Chris Snyder","Diamondbacks","110","380","13","37","47","0","10.5 %","17.6 %",".181",".276",".252",".342",".433",".338","95","-3.0","-5.7","9.6","1.6","26","4606"
"Josh Fields","White Sox","100","418","23","54","67","1","8.4 %","29.9 %",".236",".298",".244",".308",".480",".338","100","-1.6","-1.5","-6.6","0.6","24","7490"
"Jonny Gomes","Devil Rays","107","394","17","48","49","12","8.9 %","32.0 %",".216",".325",".244",".322",".460",".338","104","3.8","5.9","-13.3","0.6","26","1845"
"Reggie Willits","Angels","136","518","0","74","34","27","13.3 %","16.0 %",".051",".358",".293",".391",".344",".338","104","3.4","5.7","-8.3","1.5","26","5590"
"Jhonny Peralta","Indians","152","647","21","87","72","4","9.4 %","22.6 %",".160",".324",".270",".341",".430",".337","105","-3.3","0.6","-5.6","1.7","25","1738"
