"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","playerid"
"David Ortiz","Red Sox","149","667","35","116","117","3","16.6 %","15.4 %",".290",".355",".332",".445",".621",".449","175","-4.4","58.1","-16.6","6.3","31","745"
"Alex Rodriguez","Yankees","158","708","54","143","156","24","13.4 %","16.9 %",".331",".309",".314",".422",".645",".445","175","7.7","74.2","-0.5","9.6","31","1274"
"Magglio Ordonez","Tigers","157","679","28","117","139","4","11.2 %","11.6 %",".232",".381",".363",".434",".595",".438","169","-1.4","57.8","1.1","8.0","33","248"
"Chipper Jones","Braves","134","600","29","108","102","5","13.7 %","12.5 %",".267",".348",".337",".425",".604",".434","163","-1.1","47.6","3.0","6.9","35","97"
"Carlos Pena","Devil Rays","148","612","46","99","121","1","16.8 %","23.2 %",".345",".297",".282",".411",".627",".431","167","1.1","52.2","-12.8","5.9","29","934"
"Matt Holliday","Rockies","158","713","36","120","137","11","8.8 %","17.7 %",".267",".377",".340",".405",".607",".428","151","2.6","49.4","-2.6","6.9","27","1873"
"Barry Bonds","Giants","126","477","28","75","66","5","27.7 %","11.3 %",".288",".254",".276",".480",".565",".428","157","-4.3","31.3","-14.5","3.2","42","1109"
"Ryan Braun","Brewers","113","492","34","91","97","15","5.9 %","22.8 %",".310",".361",".324",".370",".634",".421","155","1.3","36.3","-26.9","2.5","23","3410"
"Albert Pujols","Cardinals","158","679","32","99","103","2","14.6 %","8.5 %",".241",".317",".327",".429",".568",".419","155","-4.9","43.2","13.1","7.7","27","1177"
"Chase Utley","Phillies","132","613","22","104","103","9","8.2 %","14.5 %",".234",".362",".332",".410",".566",".419","150","4.6","44.0","14.4","7.7","28","1679"
"Prince Fielder","Brewers","158","681","50","109","119","2","13.2 %","17.8 %",".330",".283",".288",".395",".618",".419","153","-1.1","45.9","-20.0","4.7","23","4613"
"Jorge Posada","Yankees","144","589","20","91","90","2","12.6 %","16.6 %",".206",".386",".338",".426",".543",".418","157","-7.4","34.6","2.9","5.6","35","841"
"David Wright","Mets","160","711","30","113","107","34","13.2 %","16.2 %",".222",".356",".325",".416",".546",".413","151","6.4","53.4","8.7","8.4","24","3787"
"Jim Thome","White Sox","130","536","35","79","96","0","17.7 %","25.0 %",".287",".316",".275",".410",".563",".412","150","-3.8","29.5","-13.4","3.4","36","409"
"Mark Teixeira","- - -","132","575","30","86","105","0","12.5 %","19.5 %",".257",".342",".306",".400",".563",".407","146","2.5","36.0","-10.7","4.4","27","1281"
"Milton Bradley","- - -","61","244","13","37","37","5","12.7 %","16.8 %",".239",".327",".306",".402",".545",".405","151","-0.6","15.6","-2.2","2.1","29","369"
"Hanley Ramirez","Marlins","154","706","29","125","81","51","7.4 %","13.5 %",".230",".353",".332",".386",".562",".405","144","3.7","43.8","-14.0","5.2","23","8001"
"Miguel Cabrera","Marlins","157","680","34","91","119","2","11.6 %","18.7 %",".245",".355",".320",".401",".565",".403","142","-5.5","31.9","-3.0","5.0","24","1744"
"Todd Helton","Rockies","154","682","17","86","91","0","17.0 %","10.9 %",".174",".340",".320",".434",".494",".401","133","-6.7","22.5","-2.2","4.2","33","432"
"Adam Dunn","Reds","152","632","40","101","106","9","16.0 %","26.1 %",".289",".305",".264",".386",".554",".398","135","1.8","30.8","-22.1","2.9","27","319"
"Ryan Howard","Phillies","144","648","47","94","136","1","16.5 %","30.7 %",".316",".328",".268",".392",".584",".397","135","-5.9","23.9","-13.8","3.1","27","2154"
"Jack Cust","Athletics","124","507","26","61","82","0","20.7 %","32.3 %",".248",".355",".256",".408",".504",".397","145","-3.6","25.1","-14.2","2.8","28","1564"
"Vladimir Guerrero","Angels","150","660","27","89","125","2","10.8 %","9.4 %",".223",".324",".324",".403",".547",".396","143","-7.2","28.1","-18.4","3.2","32","778"
"Derrek Lee","Cubs","150","650","22","91","82","6","10.9 %","17.5 %",".196",".364",".317",".400",".513",".394","132","-4.3","23.0","-11.0","3.3","31","525"
"Moises Alou","Mets","87","360","13","51","49","3","7.5 %","8.3 %",".183",".344",".341",".392",".524",".392","137","-3.2","14.2","-6.7","1.9","40","261"
"Pat Burrell","Phillies","155","598","30","77","97","0","19.1 %","20.1 %",".246",".276",".256",".400",".502",".392","132","-2.8","22.3","-26.5","1.5","30","949"
"Brad Hawpe","Rockies","152","606","29","80","116","0","13.4 %","22.6 %",".248",".341",".291",".387",".539",".392","127","-0.1","21.3","-26.2","1.5","28","1885"
"James Loney","Dodgers","96","375","15","41","67","0","7.5 %","12.8 %",".206",".350",".331",".381",".538",".392","137","-0.8","17.2","-11.0","1.8","23","4556"
"Josh Hamilton","Reds","90","337","19","52","47","3","9.8 %","19.3 %",".262",".315",".292",".368",".554",".390","130","-1.4","11.8","0.2","2.3","26","1875"
"Matt Stairs","Blue Jays","125","405","21","58","64","2","10.9 %","16.3 %",".261",".301",".289",".368",".549",".388","137","-2.2","16.8","-16.3","1.4","39","1384"
"Curtis Granderson","Tigers","158","676","23","122","74","26","7.7 %","20.9 %",".250",".360",".302",".361",".552",".388","136","9.9","40.0","17.5","7.9","26","4747"
"Jeff Keppinger","Reds","67","276","5","39","32","2","8.7 %","4.3 %",".145",".333",".332",".400",".477",".386","128","-0.4","9.5","2.4","2.0","27","3856"
"Aramis Ramirez","Cubs","132","558","26","72","101","0","7.7 %","11.8 %",".239",".313",".310",".366",".549",".386","127","-1.6","18.1","12.2","4.8","29","1002"
"Melvin Upton Jr.","Devil Rays","129","548","24","86","82","22","11.9 %","28.1 %",".209",".393",".300",".386",".508",".386","137","3.4","28.6","-1.1","4.5","22","5015"
"Hunter Pence","Astros","108","484","17","57","69","11","5.4 %","19.6 %",".217",".377",".322",".360",".539",".385","132","0.4","20.2","-0.2","3.5","24","8252"
"Matt Kemp","Dodgers","98","311","10","47","42","10","5.1 %","21.2 %",".178",".411",".342",".373",".521",".385","132","1.3","14.4","-8.0","1.6","22","5631"
"Lance Berkman","Astros","153","668","34","95","102","7","14.1 %","18.7 %",".232",".300",".278",".386",".510",".384","131","-3.4","23.1","-16.4","2.8","31","548"
"Aaron Rowand","Phillies","161","684","27","105","89","6","6.9 %","17.4 %",".206",".345",".309",".374",".515",".384","127","2.4","26.3","6.9","5.4","29","254"
"Hank Blalock","Rangers","58","232","10","32","33","4","9.1 %","16.4 %",".250",".315",".293",".358",".543",".383","130","-0.1","8.7","-6.0","1.0","26","1419"
"Jayson Werth","Phillies","94","304","8","43","49","7","14.5 %","24.0 %",".161",".389",".298",".404",".459",".382","126","2.5","12.7","10.2","3.2","28","1327"
"Edgar Renteria","Braves","124","543","12","87","57","11","8.5 %","14.2 %",".138",".375",".332",".390",".470",".379","127","3.1","22.2","0.8","4.0","30","1178"
"Mike Lowell","Red Sox","154","653","21","79","120","3","8.1 %","10.9 %",".177",".337",".324",".378",".501",".379","128","-5.7","17.0","6.5","4.5","33","527"
"Alfonso Soriano","Cubs","135","617","33","97","70","19","5.0 %","21.1 %",".261",".334",".299",".337",".560",".378","122","2.2","20.0","27.9","6.7","31","847"
"Corey Hart","Brewers","140","566","24","86","81","23","6.4 %","17.5 %",".244",".321",".295",".353",".539",".378","127","4.6","24.4","0.3","4.2","25","1945"
"Jeff Kent","Dodgers","136","562","20","78","79","1","10.1 %","10.9 %",".198",".308",".302",".375",".500",".377","127","-2.1","18.0","-7.5","2.8","39","1119"
"Scott Hatteberg","Reds","116","417","10","50","47","0","11.8 %","8.4 %",".163",".320",".310",".394",".474",".377","121","-0.1","11.5","-10.6","1.4","37","916"
"Manny Ramirez","Red Sox","133","569","20","84","88","0","12.5 %","16.2 %",".197",".325",".296",".388",".493",".376","126","-5.9","12.4","-19.8","1.2","35","210"
"Jeremy Hermida","Marlins","123","484","18","54","63","3","9.7 %","21.7 %",".205",".353",".296",".369",".501",".376","125","-2.9","12.6","-5.8","2.2","23","7208"
"Dmitri Young","Nationals","136","508","13","57","74","0","8.7 %","14.6 %",".172",".356",".320",".378",".491",".375","127","-6.5","11.4","-17.9","1.0","33","505"
"Kevin Youkilis","Red Sox","145","625","16","85","83","4","12.3 %","16.8 %",".165",".330",".288",".390",".453",".374","124","1.4","20.3","-0.1","4.1","28","1935"
"Grady Sizemore","Indians","162","748","24","118","78","33","13.5 %","20.7 %",".185",".333",".277",".390",".462",".373","129","9.8","36.9","2.5","6.4","24","2197"
"Victor Martinez","Indians","147","645","25","78","114","0","9.6 %","11.8 %",".205",".305",".301",".374",".505",".373","129","-2.5","20.8","12.7","5.4","28","393"
"Frank Thomas","Blue Jays","155","624","26","63","95","0","13.0 %","15.1 %",".203",".291",".277",".377",".480",".373","127","-8.2","13.2","-15.9","1.8","39","255"
"Matt Diaz","Braves","135","384","12","44","45","4","4.2 %","16.4 %",".159",".378",".338",".368",".497",".372","123","-3.9","7.3","3.5","2.3","29","1771"
"Placido Polanco","Tigers","142","641","9","105","67","7","5.8 %","4.7 %",".118",".346",".341",".388",".458",".372","125","0.9","20.9","11.5","5.3","31","1176"
"Carlos Lee","Astros","162","697","32","93","119","10","7.6 %","9.0 %",".225",".290",".303",".354",".528",".371","123","-6.4","14.0","-10.4","2.6","31","243"
"Jimmy Rollins","Phillies","162","778","30","139","94","41","6.3 %","10.9 %",".235",".300",".296",".344",".531",".371","119","11.8","30.6","10.0","6.5","28","971"
"Derek Jeter","Yankees","156","714","12","102","73","15","7.8 %","14.0 %",".130",".367",".322",".388",".452",".371","125","0.9","23.7","-11.2","3.6","33","826"
"Carlos Beltran","Mets","144","636","33","93","112","23","10.8 %","17.5 %",".249",".286",".276",".353",".525",".369","122","7.7","26.1","5.1","5.1","30","589"
"Hideki Matsui","Yankees","143","634","25","100","103","4","11.5 %","11.5 %",".203",".285",".285",".367",".488",".369","124","6.3","25.5","-17.6","2.9","33","1659"
"Travis Buck","Athletics","82","334","7","41","34","4","11.7 %","19.8 %",".186",".347",".288",".377",".474",".369","127","-0.1","11.0","-0.4","2.2","23","4646"
"Yunel Escobar","Braves","94","355","5","54","28","5","7.6 %","12.4 %",".125",".364",".326",".385",".451",".369","121","1.7","11.1","1.3","2.4","24","4191"
"Russell Martin","Dodgers","151","620","19","87","87","21","10.8 %","14.4 %",".176",".317",".293",".374",".469",".369","122","0.7","18.3","17.5","5.5","24","4616"
"Ken Griffey Jr.","Reds","144","623","30","78","93","6","13.6 %","15.9 %",".220",".284",".277",".372",".496",".368","116","-4.3","8.7","-35.4","-0.6","37","327"
"Gary Sheffield","Tigers","133","593","25","107","75","22","14.2 %","12.0 %",".196",".262",".265",".378",".462",".368","123","5.0","21.9","-11.9","3.0","38","114"
"Garrett Atkins","Rockies","157","684","25","83","111","3","9.8 %","14.0 %",".185",".318",".301",".367",".486",".368","112","0.3","10.8","-11.6","2.1","27","1790"
"Ryan Garko","Indians","138","541","21","62","61","0","6.3 %","17.4 %",".194",".320",".289",".359",".483",".367","124","-8.9","7.6","-21.6","0.5","26","6319"
"Casey Kotchman","Angels","137","508","11","64","68","2","10.4 %","8.5 %",".172",".305",".296",".372",".467",".367","123","-8.1","6.4","3.4","2.7","24","1930"
"Alex Rios","Blue Jays","161","711","24","114","85","17","7.7 %","14.5 %",".201",".319",".297",".354",".498",".366","122","6.4","26.4","1.9","5.2","26","2090"
"Nick Markakis","Orioles","161","710","23","97","112","18","8.6 %","15.8 %",".185",".331",".300",".362",".485",".366","121","-0.7","18.3","-1.3","4.1","23","5930"
"Ryan Spilborghs","Rockies","97","300","11","40","51","4","9.3 %","15.0 %",".186",".318",".299",".363",".485",".366","110","1.3","5.2","1.6","1.6","27","4521"
"Luke Scott","Astros","132","425","18","49","64","3","12.5 %","22.4 %",".249",".296",".255",".351",".504",".365","119","0.7","11.0","-1.3","2.3","29","3469"
"Chone Figgins","Angels","115","503","3","81","58","41","10.1 %","16.1 %",".102",".391",".330",".393",".432",".365","122","10.4","24.3","-0.7","4.0","29","1580"
"Troy Glaus","Blue Jays","115","456","20","60","62","0","13.4 %","22.4 %",".210",".302",".262",".366",".473",".365","122","-3.5","8.9","2.8","2.7","30","15"
"Conor Jackson","Diamondbacks","130","477","15","56","60","2","11.1 %","10.5 %",".183",".292",".284",".368",".467",".365","112","-0.8","6.5","-11.4","1.1","25","5997"
"Kelly Johnson","Braves","147","608","16","91","68","9","13.0 %","19.2 %",".180",".328",".276",".375",".457",".364","118","3.2","17.2","-2.9","3.4","25","2234"
"Troy Tulowitzki","Rockies","155","682","24","104","99","7","8.4 %","19.1 %",".189",".335",".291",".359",".479",".364","109","0.4","8.4","22.2","5.2","22","3531"
"Carlos Guillen","Tigers","151","630","21","86","102","13","8.7 %","14.8 %",".206",".319",".296",".357",".502",".364","120","0.7","16.3","-4.6","3.3","31","1079"
"Dustin Pedroia","Red Sox","139","581","8","86","50","7","8.1 %","7.2 %",".125",".333",".317",".380",".442",".364","117","0.0","12.8","5.3","3.7","23","8370"
