"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2007","Jose Bautista","1887","PIT","142","614","532","135","82","36","2","15","75","63","68","1","101","4","6","4","16","6","3","0.253759398","0.110749185","0.164495114","0.673267326","0.253759398","0.339344262","0.413533834","0.752878096","0.159774436","0.284360189","76.5542200884909","0.602419876226817","0.332269233142214","96.9840158602068","0.931216931","0.160919540","0.404597701","0.434482758","0.116402116","0.079365079","0.039772727","0.166666666","0.3810","0.3583","0.2608","0.1814","0.5215","0.2971"
"2007","Chad Tracy","1888","ARI","74","260","227","60","33","18","2","7","30","35","29","4","43","1","3","0","8","0","0","0.264317180","0.111538461","0.165384615","0.674418604","0.264317180","0.346153846","0.453744493","0.799898339","0.189427313","0.294444444","34.749180195084","2.58718010520022","0.342958447989076","97.6467089003364","0.811764705","0.176470588","0.368983957","0.454545454","0.070588235","0.082352941","0.028985507","0.000000000","0.3850","0.3316","0.2834","0.1658","0.5187","0.3155"
"2007","Adam LaRoche","1904","PIT","149","632","563","153","90","42","0","21","71","88","62","5","131","3","4","0","18","1","1","0.271758436","0.098101265","0.207278481","0.473282442","0.271758436","0.344936708","0.458259325","0.803196033","0.186500889","0.318072289","87.0033038257096","8.82490360722281","0.347740545797576","106.981972335293","0.815789473","0.205069124","0.357142857","0.437788018","0.063157894","0.110526315","0.019354838","1.000000000","0.4391","0.3218","0.2391","0.1471","0.5057","0.3471"
"2007","Adrian Gonzalez","1908","SDP","161","720","646","182","103","46","3","30","101","100","65","9","140","3","6","0","6","0","0","0.281733746","0.090277777","0.194444444","0.464285714","0.281733746","0.347222222","0.501547987","0.848770209","0.219814241","0.315352697","107.156817748063","18.0928174991536","0.361046669603903","123.197581357895","0.843049327","0.194117647","0.368627450","0.437254901","0.062780269","0.134529147","0.026595744","0.500000000","0.4160","0.3340","0.2500","0.1328","0.5000","0.3672"
"2007","Scott Hairston","1926","2 Tms","104","294","263","64","33","18","2","11","37","36","26","0","55","1","1","3","4","2","0","0.243346007","0.088435374","0.187074829","0.472727272","0.243346007","0.312714776","0.452471482","0.765186258","0.209125475","0.267676767","36.4083033496786","0.0405032480407517","0.331637282756596","94.5687198324209","0.676190476","0.153846153","0.341346153","0.504807692","0.104761904","0.104761904","0.098591549","0.000000000","0.5047","0.2830","0.2123","0.1792","0.5047","0.3160"
"2007","Casey Kotchman","1930","LAA","134","508","443","131","80","37","3","11","64","68","53","1","43","4","5","3","17","2","4","0.295711060","0.104330708","0.084645669","1.232558139","0.295711060","0.372277227","0.467268623","0.839545850","0.171557563","0.304568527","77.9351145321713","15.0955143565522","0.366512701388389","122.780241500284","1.518518518","0.160493827","0.506172839","0.333333333","0.111111111","0.081481481","0.029268292","0.000000000","0.4706","0.3284","0.2010","0.1912","0.5049","0.3039"
"2007","Kevin Youkilis","1935","BOS","144","625","528","152","99","35","2","16","85","83","77","0","105","15","5","0","9","4","2","0.287878787","0.123200000","0.168000000","0.733333333","0.287878787","0.390400000","0.452651515","0.843051515","0.164772728","0.330097087","99.6795102561893","22.3670100401225","0.373748405265808","124.137883946827","0.769633507","0.208430913","0.344262295","0.447306791","0.026178010","0.083769633","0.088435374","0.000000000","0.4169","0.3349","0.2482","0.1265","0.4988","0.3747"
"2007","Corey Hart","1945","MIL","140","566","505","149","83","33","9","24","86","81","36","3","99","13","7","5","6","23","7","0.295049504","0.063604240","0.174911660","0.363636363","0.295049504","0.352941176","0.538613861","0.891555037","0.243564357","0.321336760","92.3508218656546","22.3366216699845","0.378130105233962","126.979015334787","0.815217391","0.171215880","0.372208436","0.456575682","0.070652173","0.130434782","0.113333333","0.466666666","0.4593","0.3206","0.2201","0.1435","0.5072","0.3493"
"2007","John Buck","2041","KCR","108","399","347","77","41","18","0","18","41","48","36","0","92","10","6","0","11","0","1","0.221902017","0.090225563","0.230576441","0.391304347","0.221902017","0.308270676","0.429394812","0.737665488","0.207492795","0.242798353","46.1613583110289","-3.19494182690816","0.321557423225919","90.6585288570542","0.965217391","0.134099616","0.425287356","0.440613026","0.121739130","0.156521739","0.036036036","0.000000000","0.3870","0.3716","0.2414","0.1992","0.4253","0.3755"
"2007","Andy Phillips","2075","NYY","61","207","185","54","44","7","1","2","27","25","12","0","26","2","2","6","5","0","3","0.291891891","0.057971014","0.125603864","0.461538461","0.291891891","0.338308457","0.372972972","0.711281429","0.081081081","0.327044025","23.2173521928726","-2.38854787868878","0.317348849714099","89.6987897405855","1.166666666","0.187500000","0.437500000","0.375000000","0.083333333","0.033333333","0.057142857","0.000000000","0.4611","0.2874","0.2515","0.1737","0.4611","0.3653"
