"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","playerid"
"Justin Morneau","Twins","81","348","18","53","56","0","14.4 %","17.8 %",".274",".385",".345",".437",".618",".448","183","-1.2","32.8","2.7","4.9","29","1737"
"Josh Hamilton","Rangers","133","571","32","95","100","8","7.5 %","16.6 %",".274",".390",".359",".411",".633",".445","175","4.9","55.3","5.9","8.4","29","1875"
"Jim Thome","Twins","108","340","25","48","59","0","17.6 %","24.1 %",".344",".310",".283",".412",".627",".439","177","-4.7","26.1","-8.4","3.0","39","409"
"Joey Votto","Reds","150","648","37","106","113","16","14.0 %","19.3 %",".276",".361",".324",".424",".600",".438","172","1.1","57.0","-10.1","7.0","26","4314"
"Miguel Cabrera","Tigers","150","648","38","111","126","3","13.7 %","14.7 %",".294",".336",".328",".420",".622",".431","171","-1.9","52.0","-16.4","6.0","27","1744"
"Jose Bautista","Blue Jays","161","683","54","109","124","9","14.6 %","17.0 %",".357",".233",".260",".378",".617",".422","165","-0.9","51.6","-12.8","6.4","29","1887"
"Kevin Youkilis","Red Sox","102","435","19","77","62","4","13.3 %","15.4 %",".257",".327",".307",".411",".564",".419","159","1.6","31.9","-6.3","4.2","31","1935"
"Albert Pujols","Cardinals","159","700","42","115","118","14","14.7 %","10.9 %",".284",".297",".312",".414",".596",".419","164","0.9","54.2","-10.0","6.8","30","1177"
"Paul Konerko","White Sox","149","631","39","89","111","0","11.4 %","17.4 %",".272",".326",".312",".393",".584",".417","158","-5.2","38.0","-26.0","3.5","34","242"
"Carlos Gonzalez","Rockies","145","636","34","111","117","26","6.3 %","21.2 %",".262",".384",".336",".376",".598",".413","144","6.8","40.6","-4.7","5.8","24","7287"
"Troy Tulowitzki","Rockies","122","529","27","89","95","11","9.1 %","14.7 %",".253",".327",".315",".381",".568",".406","140","-0.2","25.1","12.1","5.6","25","3531"
"Nelson Cruz","Rangers","108","445","22","60","78","17","8.5 %","18.2 %",".258",".348",".318",".374",".576",".404","147","2.2","26.6","5.3","4.9","29","2434"
"Matt Holliday","Cardinals","158","675","28","95","103","9","10.2 %","13.8 %",".220",".331",".312",".390",".532",".397","149","-1.1","38.9","0.3","6.2","30","1873"
"Jayson Werth","Phillies","156","652","27","106","85","13","12.6 %","22.5 %",".236",".352",".296",".388",".532",".396","146","6.1","41.7","-12.7","5.1","31","1327"
"Robinson Cano","Yankees","160","696","29","103","109","3","8.2 %","11.1 %",".214",".326",".319",".381",".534",".391","143","0.8","35.7","1.7","6.3","27","3269"
"Adrian Beltre","Red Sox","154","641","28","84","102","2","6.2 %","12.8 %",".233",".331",".321",".365",".553",".391","140","-3.4","26.9","12.7","6.4","31","639"
"Ryan Zimmerman","Nationals","142","603","25","85","85","4","11.4 %","16.3 %",".204",".334",".307",".388",".510",".390","142","-0.8","29.3","15.8","6.6","25","4220"
"Geovany Soto","Cubs","105","387","17","47","53","0","16.0 %","21.4 %",".217",".324",".280",".393",".497",".387","137","-3.7","13.6","6.4","3.3","27","3707"
"Luke Scott","Orioles","131","517","27","70","72","2","11.4 %","19.0 %",".251",".304",".284",".368",".535",".387","140","-3.7","20.5","-12.1","2.7","32","3469"
"Aubrey Huff","Giants","157","668","26","100","86","7","12.4 %","13.6 %",".216",".303",".290",".385",".506",".387","144","1.1","36.2","-1.3","5.8","33","1213"
"Shin-Soo Choo","Indians","144","646","22","81","90","22","12.8 %","18.3 %",".184",".347",".300",".401",".484",".386","145","1.9","36.0","-0.3","6.0","27","3174"
"Wilson Betemit","Royals","84","315","13","36","43","0","11.4 %","23.5 %",".214",".361",".297",".378",".511",".386","141","-1.9","13.4","-13.7","1.1","28","1861"
"Manny Ramirez","- - -","90","320","9","38","42","1","14.4 %","19.1 %",".162",".354",".298",".409",".460",".383","140","-3.8","11.6","-10.9","1.1","38","210"
"David Ortiz","Red Sox","145","606","32","86","102","0","13.5 %","23.9 %",".259",".313",".270",".370",".529",".382","134","-6.2","18.3","-14.9","2.5","34","745"
"Dan Uggla","Marlins","159","674","33","100","105","4","11.6 %","22.1 %",".221",".330",".287",".369",".508",".382","135","0.0","28.3","-4.5","4.6","30","3442"
"Prince Fielder","Brewers","161","714","32","94","83","1","16.0 %","19.3 %",".209",".291",".261",".401",".471",".381","136","-6.6","24.0","-20.2","2.7","26","4613"
"Adam Dunn","Nationals","158","648","38","85","103","0","11.9 %","30.7 %",".276",".329",".260",".356",".536",".381","136","-4.3","23.5","-14.3","3.0","30","319"
"Adrian Gonzalez","Padres","160","693","31","87","101","0","13.4 %","16.5 %",".213",".322",".298",".393",".511",".379","142","-1.9","33.3","-12.2","4.4","28","1908"
"Nick Swisher","Yankees","150","635","29","91","89","1","9.1 %","21.9 %",".223",".335",".288",".359",".511",".379","134","-1.2","24.5","-4.5","4.3","29","4599"
"Kelly Johnson","Diamondbacks","154","671","26","93","71","13","11.8 %","22.1 %",".212",".339",".284",".370",".496",".378","129","-1.8","21.3","9.5","5.4","28","2234"
"Ryan Braun","Brewers","157","685","25","101","103","14","8.2 %","15.3 %",".197",".331",".304",".365",".501",".378","134","4.4","32.2","-17.2","3.8","26","3410"
"Michael Morse","Nationals","98","293","15","36","41","0","7.5 %","21.8 %",".229",".330",".289",".352",".519",".377","133","-2.5","9.2","-9.1","1.0","28","3035"
"Jason Heyward","Braves","142","623","18","83","72","11","14.6 %","20.5 %",".179",".335",".277",".393",".456",".377","134","1.8","27.0","-1.0","4.7","20","4940"
"Joe Mauer","Twins","137","584","9","88","75","1","11.1 %","9.1 %",".141",".348",".327",".402",".469",".377","135","0.4","24.4","4.3","5.0","27","1857"
"Evan Longoria","Rays","151","661","22","96","104","15","10.9 %","18.8 %",".213",".336",".294",".372",".507",".376","139","4.5","35.0","14.4","7.5","24","9368"
"Magglio Ordonez","Tigers","84","365","12","56","59","1","11.0 %","10.4 %",".170",".313",".303",".378",".474",".375","133","-0.4","13.6","-3.3","2.4","36","248"
"Josh Willingham","Nationals","114","451","16","54","56","8","14.9 %","18.8 %",".192",".304",".268",".389",".459",".375","132","0.5","17.6","-7.1","2.5","31","2103"
"Jack Cust","Athletics","112","425","13","50","52","2","16.0 %","29.9 %",".166",".387",".272",".395",".438",".374","136","-1.4","16.6","-9.9","2.2","31","1564"
"Billy Butler","Royals","158","678","15","77","78","0","10.2 %","11.5 %",".151",".341",".318",".388",".469",".373","133","-12.6","13.4","-17.0","2.0","24","7399"
"Dustin Pedroia","Red Sox","75","351","12","53","41","9","10.5 %","10.8 %",".205",".291",".288",".367",".493",".373","128","1.6","13.3","5.5","3.2","26","8370"
"Corey Hart","Brewers","145","614","31","91","102","7","7.3 %","22.8 %",".242",".324",".283",".340",".525",".373","130","2.2","24.4","-14.5","3.0","28","1945"
"Logan Morrison","Marlins","62","287","2","43","18","0","14.3 %","17.8 %",".164",".351",".283",".390",".447",".372","129","0.4","10.3","-9.8","1.0","22","9205"
"Buster Posey","Giants","108","443","18","58","67","0","6.8 %","12.4 %",".200",".315",".305",".357",".505",".371","134","-1.2","16.7","8.0","4.0","23","9166"
"Chase Utley","Phillies","115","511","16","75","65","13","12.3 %","12.3 %",".169",".288",".275",".387",".445",".370","128","5.8","23.1","12.1","5.3","31","1679"
"Mark Teixeira","Yankees","158","712","33","113","108","0","13.1 %","17.1 %",".225",".268",".256",".365",".481",".369","128","-1.2","22.1","-13.6","3.4","30","1281"
"Scott Rolen","Reds","133","537","20","66","83","1","9.3 %","15.3 %",".212",".302",".285",".358",".497",".369","126","-0.9","15.9","11.8","4.6","35","970"
"Hanley Ramirez","Marlins","142","619","21","92","76","32","10.3 %","15.0 %",".175",".327",".300",".378",".475",".369","127","4.6","24.5","-3.2","4.2","26","8001"
