"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","playerid"
"Ryan Hanigan","Reds","70","243","5","25","40","0","13.6 %","8.6 %",".128",".313",".300",".405",".429",".369","126","-1.8","5.8","6.5","2.1","29","4952"
"Colby Rasmus","Cardinals","144","534","23","85","66","12","11.8 %","27.7 %",".222",".354",".276",".361",".498",".369","130","6.7","26.1","-4.1","4.0","23","9893"
"Carl Crawford","Rays","154","663","19","110","90","47","6.9 %","15.7 %",".188",".342",".307",".356",".495",".369","134","13.3","40.2","11.1","7.7","28","1201"
"Carlos Ruiz","Phillies","121","433","8","43","53","0","12.7 %","12.5 %",".146",".335",".302",".400",".447",".368","127","-1.5","12.7","15.5","4.3","31","2579"
"Ryan Howard","Phillies","143","620","31","87","108","1","9.5 %","25.3 %",".229",".332",".276",".353",".505",".368","127","-7.2","13.1","-23.2","1.0","30","2154"
"Andre Ethier","Dodgers","139","585","23","71","82","2","10.1 %","17.4 %",".201",".322",".292",".364",".493",".368","132","1.6","23.8","-22.8","2.0","28","6265"
"Rickie Weeks Jr.","Brewers","160","754","29","112","83","11","10.1 %","24.4 %",".195",".332",".269",".366",".464",".368","127","6.3","30.6","3.7","6.0","27","1849"
"Jim Edmonds","- - -","86","272","11","44","23","2","8.8 %","22.1 %",".228",".324",".276",".342",".504",".368","127","-0.8","7.9","6.6","2.4","40","1153"
"Marcus Thames","Yankees","82","237","12","22","33","0","8.0 %","25.7 %",".203",".345",".288",".350",".491",".367","126","1.9","9.1","-10.5","0.7","33","1523"
"David Wright","Mets","157","670","29","87","103","19","10.3 %","24.0 %",".220",".335",".283",".354",".503",".366","129","-1.6","21.6","-8.7","3.5","27","3787"
"David DeJesus","Royals","91","394","5","46","37","3","8.6 %","11.9 %",".125",".355",".318",".384",".443",".366","127","-1.2","11.6","-1.1","2.5","30","1825"
"Jay Bruce","Reds","148","573","25","80","70","5","10.1 %","23.7 %",".212",".334",".281",".353",".493",".365","124","2.1","18.3","13.4","5.1","23","9892"
"Alex Rodriguez","Yankees","137","595","30","74","125","4","9.9 %","16.5 %",".236",".274",".270",".341",".506",".365","125","0.3","17.6","-0.1","3.9","34","1274"
"Victor Martinez","Red Sox","127","538","20","64","79","1","7.4 %","9.7 %",".191",".303",".302",".351",".493",".364","122","-2.6","11.4","4.3","3.5","31","393"
"Matt Joyce","Rays","77","261","10","30","40","2","15.3 %","21.1 %",".236",".273",".241",".360",".477",".364","131","-0.6","9.0","-0.1","1.8","25","3353"
"Vladimir Guerrero","Rangers","152","643","29","83","115","4","5.4 %","9.3 %",".196",".292",".300",".345",".496",".364","119","-12.4","2.3","-14.6","1.0","35","778"
"Vernon Wells","Blue Jays","157","646","31","79","88","6","7.7 %","13.0 %",".242",".272",".273",".331",".515",".363","126","-1.4","18.1","-5.3","3.6","31","1326"
"Andruw Jones","White Sox","107","328","19","41","48","9","13.7 %","22.3 %",".255",".239",".230",".341",".486",".362","121","-1.9","6.1","-3.9","1.4","33","96"
"Brian McCann","Braves","143","566","21","63","77","5","13.1 %","17.3 %",".184",".297",".269",".375",".453",".362","123","-6.4","9.4","20.4","4.9","26","4810"
"Kendrys Morales","Angels","51","211","11","29","39","0","5.7 %","14.7 %",".197",".296",".290",".346",".487",".360","128","1.3","8.3","0.2","1.6","27","8610"
"Daric Barton","Athletics","159","686","10","79","57","7","16.0 %","14.9 %",".131",".316",".273",".393",".405",".360","126","2.3","23.7","0.4","4.9","24","5928"
"Rafael Furcal","Dodgers","97","428","8","66","43","22","9.3 %","14.0 %",".159",".338",".300",".366",".460",".359","126","4.7","18.1","8.4","4.1","32","88"
"Kosuke Fukudome","Cubs","130","429","13","45","44","7","14.9 %","15.6 %",".176",".287",".263",".371",".439",".359","118","-1.8","7.7","-9.3","1.2","33","3263"
"Travis Hafner","Indians","118","462","13","46","50","2","11.0 %","20.3 %",".172",".332",".278",".374",".449",".359","126","-0.4","14.0","-11.8","1.9","33","1573"
"Andrew McCutchen","Pirates","154","653","16","94","56","33","10.7 %","13.6 %",".163",".311",".286",".365",".449",".359","124","5.8","24.4","-11.3","3.5","23","9847"
"Andres Torres","Giants","139","570","16","84","63","26","9.8 %","22.5 %",".211",".331",".268",".343",".479",".358","125","5.6","22.7","20.4","6.3","32","1488"
"Hideki Matsui","Angels","145","558","21","55","84","0","12.0 %","17.6 %",".185",".302",".274",".361",".459",".358","126","-5.5","11.8","-17.1","1.4","36","1659"
"Carlos Quentin","White Sox","131","527","26","73","87","2","9.5 %","15.7 %",".236",".241",".243",".342",".479",".358","118","0.1","11.3","-32.3","-0.3","27","6274"
"Jorge Posada","Yankees","120","451","18","49","57","3","13.1 %","22.0 %",".206",".287",".248",".357",".454",".357","119","-4.0","6.4","-7.7","1.5","38","841"
"Torii Hunter","Angels","152","646","23","76","90","9","9.4 %","16.4 %",".183",".307",".281",".354",".464",".357","126","-6.9","12.6","-4.4","3.1","34","731"
"Ryan Raburn","Tigers","113","410","15","54","62","2","6.6 %","22.4 %",".194",".333",".280",".340",".474",".356","120","2.3","11.8","-3.9","2.3","29","2218"
"Giancarlo Stanton","Marlins","100","396","22","45","59","5","8.6 %","31.1 %",".248",".330",".259",".326",".507",".356","118","0.2","8.6","4.9","2.7","20","4949"
"Chipper Jones","Braves","95","381","10","47","46","5","16.0 %","12.3 %",".161",".281",".265",".381",".426",".356","119","2.9","11.7","0.8","2.5","38","97"
"Ian Kinsler","Rangers","103","460","9","73","45","15","12.2 %","12.4 %",".125",".313",".286",".382",".412",".355","114","4.1","11.7","4.9","3.3","28","6195"
"Stephen Drew","Diamondbacks","151","633","15","83","61","10","9.8 %","17.1 %",".181",".321",".278",".352",".458",".355","113","1.5","11.5","15.4","4.8","27","4251"
"Neil Walker","Pirates","110","469","12","57","66","2","7.2 %","17.7 %",".167",".340",".296",".349",".462",".355","121","1.1","13.0","-9.0","1.9","24","7539"
"Pat Burrell","- - -","120","437","20","50","64","0","13.0 %","24.0 %",".217",".291",".252",".348",".469",".354","123","-1.6","10.4","-0.2","2.5","33","949"
"Ryan Spilborghs","Rockies","134","388","10","41","39","4","10.1 %","21.4 %",".158",".341",".279",".360",".437",".354","105","-2.5","-0.2","-20.3","-0.9","30","4521"
"Delmon Young","Twins","153","613","21","77","112","5","4.6 %","13.2 %",".195",".312",".298",".333",".493",".354","120","-2.7","11.4","-16.1","1.7","24","2140"
"David Murphy","Rangers","138","471","12","54","65","14","9.6 %","15.1 %",".158",".324",".291",".358",".449",".354","113","0.9","8.1","-6.9","1.8","28","6035"
"Martin Prado","Braves","140","651","15","100","66","5","6.1 %","13.2 %",".152",".335",".307",".350",".459",".353","118","4.4","18.3","-1.2","3.9","26","3312"
"Chris Johnson","Astros","94","362","11","40","52","3","4.1 %","25.1 %",".173",".387",".308",".337",".481",".353","119","-0.4","7.7","-8.7","1.1","25","1191"
"Nick Markakis","Orioles","160","709","12","79","60","7","10.3 %","13.1 %",".138",".331",".297",".370",".436",".353","116","-2.1","11.6","-12.8","2.4","26","5930"
"Alfonso Soriano","Cubs","147","548","24","67","79","5","8.2 %","22.4 %",".238",".295",".258",".322",".496",".352","114","1.0","10.2","-1.0","2.7","34","847"
"Ramon Hernandez","Reds","97","352","7","30","48","0","8.2 %","13.9 %",".131",".332",".297",".364",".428",".351","114","-1.8","4.2","9.1","2.5","34","918"
"Danny Valencia","Twins","85","322","7","30","40","2","6.2 %","14.3 %",".137",".345",".311",".351",".448",".351","117","-2.2","4.4","4.3","2.0","25","6364"
"Tyler Colvin","Cubs","135","395","20","60","56","6","7.6 %","25.3 %",".246",".296",".254",".316",".500",".351","113","3.0","9.1","-4.0","1.8","24","5310"
"Russell Branyan","- - -","109","428","25","47","57","1","10.7 %","30.6 %",".250",".288",".237",".323",".487",".350","122","-1.1","10.2","-4.7","2.1","34","370"
"Chris Young","Diamondbacks","156","664","27","94","91","28","11.1 %","21.8 %",".195",".296",".257",".341",".452",".350","109","6.2","13.7","6.3","4.2","26","3882"
"Justin Upton","Diamondbacks","133","571","17","73","69","18","11.2 %","26.6 %",".170",".354",".273",".356",".442",".349","109","0.7","7.1","-0.6","2.5","22","5222"
"Bobby Abreu","Angels","154","667","20","88","78","24","13.0 %","19.8 %",".180",".296",".255",".352",".435",".347","119","-0.3","14.9","-15.3","2.3","36","945"
"Casey McGehee","Brewers","157","670","23","70","104","1","7.5 %","15.2 %",".179",".306",".285",".337",".464",".347","113","-1.4","9.2","-2.3","2.9","27","6086"
"J.D. Drew","Red Sox","139","546","22","69","68","3","11.0 %","19.2 %",".197",".282",".255",".341",".452",".347","110","-0.2","6.5","-3.4","2.2","34","1152"
"Jon Jay","Cardinals","105","323","4","47","27","2","7.4 %","15.5 %",".122",".350",".300",".359",".422",".347","116","0.2","6.3","-5.5","1.1","25","5227"
"Lance Berkman","- - -","122","481","14","48","58","3","16.0 %","17.7 %",".166",".282",".248",".368",".413",".347","114","-1.5","6.4","-5.6","1.7","34","548"
"Ike Davis","Mets","147","601","19","73","71","3","12.0 %","23.0 %",".176",".321",".264",".351",".440",".346","116","-1.4","10.0","-0.5","2.9","23","8433"
"Brett Gardner","Yankees","150","569","5","97","47","47","13.9 %","17.8 %",".103",".340",".277",".383",".379",".346","112","10.9","19.0","20.5","6.1","26","9927"
"John Buck","Blue Jays","118","437","20","53","66","0","3.7 %","25.4 %",".208",".335",".281",".314",".489",".346","114","1.0","8.0","3.6","2.8","29","2041"
"Melvin Mora","Rockies","113","354","7","39","45","2","8.8 %","15.0 %",".136",".324",".285",".358",".421",".345","99","-0.1","-0.5","-8.9","0.2","38","157"
"Gaby Sanchez","Marlins","151","643","19","72","85","5","8.9 %","15.7 %",".175",".299",".273",".341",".448",".345","111","-0.5","7.7","-10.0","1.8","26","3361"
"Alex Rios","White Sox","147","617","21","89","88","34","6.2 %","15.1 %",".173",".306",".284",".334",".457",".344","109","0.3","6.5","3.7","3.2","29","2090"
"Curtis Granderson","Yankees","136","528","24","76","67","12","10.0 %","22.0 %",".221",".277",".247",".324",".468",".344","110","4.0","10.5","9.2","3.9","29","4747"
"Pedro Alvarez","Pirates","95","386","16","42","64","0","9.6 %","30.8 %",".205",".341",".256",".326",".461",".344","114","-0.8","5.6","-2.7","1.6","23","2495"
"Derrek Lee","- - -","148","626","19","80","80","1","11.7 %","21.4 %",".168",".309",".260",".347",".428",".343","109","-5.0","1.6","-7.2","1.4","34","525"
"Omar Infante","Braves","134","506","8","65","47","7","5.7 %","12.3 %",".096",".355",".321",".359",".416",".343","111","-2.6","4.1","-0.2","2.0","28","1609"
"Marlon Byrd","Cubs","152","630","12","84","66","5","4.9 %","15.6 %",".136",".335",".293",".346",".429",".343","108","0.4","6.4","12.2","4.0","32","950"
"Jason Giambi","Rockies","87","222","6","17","35","2","15.8 %","21.2 %",".153",".289",".244",".378",".398",".343","97","-0.4","-1.1","-6.4","-0.1","39","818"
"David Freese","Cardinals","70","270","4","28","36","1","7.8 %","21.9 %",".108",".376",".296",".361",".404",".343","113","-1.2","2.9","-0.2","1.1","27","9549"
"Raul Ibanez","Phillies","155","636","16","75","83","4","10.7 %","17.0 %",".169",".311",".275",".349",".444",".343","110","-3.1","4.6","-13.2","1.2","38","607"
"Hunter Pence","Astros","156","658","25","93","91","18","6.2 %","16.0 %",".179",".304",".282",".325",".461",".342","111","3.2","12.1","-6.4","2.7","27","8252"
"Eric Hinske","Braves","131","320","11","38","51","0","10.3 %","23.4 %",".199",".308",".256",".338",".456",".342","110","-0.8","3.2","-7.2","0.6","32","1305"
"Coco Crisp","Athletics","75","328","8","51","38","32","9.1 %","14.9 %",".159",".307",".279",".342",".438",".342","114","5.4","10.9","7.9","3.1","30","1572"
"Adam LaRoche","Diamondbacks","151","615","25","75","100","0","7.8 %","28.0 %",".207",".330",".261",".320",".468",".341","104","-7.7","-4.9","-7.0","0.8","30","1904"
"Mike Napoli","Angels","140","510","26","60","68","4","8.2 %","26.9 %",".230",".279",".238",".316",".468",".341","115","-1.3","7.5","-1.2","2.5","28","3057"
"John Jaso","Rays","109","404","5","57","44","4","14.6 %","9.7 %",".115",".282",".263",".372",".378",".340","115","0.4","7.5","1.2","2.3","26","5887"
"Edwin Encarnacion","Blue Jays","96","367","21","47","51","1","7.9 %","16.3 %",".238",".235",".244",".305",".482",".340","109","-1.9","2.2","1.6","1.7","27","2151"
"Seth Smith","Rockies","133","398","17","55","52","2","8.8 %","16.8 %",".223",".256",".246",".314",".469",".339","95","1.3","-0.9","1.1","1.3","27","7331"
"Miguel Cairo","Reds","91","226","4","30","28","4","7.5 %","13.3 %",".120",".320",".290",".353",".410",".339","106","1.1","2.8","-2.6","0.7","36","1412"
"Bill Hall","Red Sox","120","382","18","44","46","9","8.9 %","27.2 %",".209",".300",".247",".316",".456",".338","104","-0.1","2.0","-11.1","0.4","30","1605"
"Drew Stubbs","Reds","150","583","22","91","77","30","9.4 %","28.8 %",".189",".330",".255",".329",".444",".338","105","8.2","12.0","2.7","3.4","25","9328"
"Darnell McDonald","Red Sox","117","363","9","40","34","9","8.3 %","23.4 %",".160",".342",".270",".336",".429",".338","104","-1.7","0.1","-4.7","0.8","31","1867"
"Johnny Damon","Tigers","145","613","8","81","51","11","11.3 %","14.7 %",".130",".312",".271",".355",".401",".338","107","6.4","11.6","-10.4","2.3","36","185"
"Will Rhymes","Tigers","54","213","1","30","19","0","6.6 %","7.5 %",".110",".326",".304",".350",".414",".338","107","0.5","2.3","0.3","1.0","27","9802"
"Dexter Fowler","Rockies","132","505","6","73","36","13","11.3 %","20.6 %",".150",".328",".260",".347",".410",".337","94","0.6","-3.1","-2.7","1.0","24","4062"
"Ian Stewart","Rockies","121","441","18","54","61","5","10.2 %","24.9 %",".187",".308",".256",".338",".443",".337","94","-1.3","-4.6","-1.8","0.8","25","5950"
"Jason Michaels","Astros","106","203","8","23","26","0","5.9 %","14.3 %",".215",".260",".253",".310",".468",".337","108","-1.2","0.7","0.4","0.8","34","1399"
"Adam Jones","Orioles","149","621","19","76","69","7","3.7 %","19.2 %",".158",".328",".284",".325",".442",".336","105","-0.3","3.6","-1.5","2.4","24","6368"
"Brandon Phillips","Reds","155","687","18","100","59","16","6.7 %","12.1 %",".155",".293",".275",".332",".430",".336","104","1.7","5.0","10.4","3.8","29","791"
"Michael Young","Rangers","157","718","21","99","91","4","7.0 %","16.0 %",".160",".311",".284",".330",".444",".336","101","1.1","1.6","-3.2","2.4","33","1286"
"Miguel Montero","Diamondbacks","85","331","9","36","43","0","8.8 %","21.5 %",".172",".318",".266",".332",".438",".335","100","-2.4","-2.5","2.8","1.1","26","3364"
"Chris Denorfia","Padres","99","317","9","41","36","8","8.5 %","16.1 %",".162",".300",".271",".335",".433",".335","113","0.6","5.4","-0.2","1.6","29","4400"
"Angel Pagan","Mets","151","633","11","80","69","37","7.0 %","15.3 %",".135",".331",".290",".340",".425",".334","108","7.1","13.1","15.0","5.0","28","2918"
"Austin Kearns","- - -","120","461","10","55","49","4","10.0 %","25.2 %",".132",".344",".263",".351",".395",".334","108","0.5","5.0","-7.1","1.4","30","332"
"Brian Roberts","Orioles","59","261","4","28","15","12","10.0 %","15.3 %",".113",".319",".278",".354",".391",".333","103","0.8","1.7","2.7","1.4","32","166"
"Lyle Overbay","Blue Jays","154","608","20","75","67","1","11.0 %","21.5 %",".189",".285",".243",".329",".433",".332","105","-1.2","2.0","-11.9","1.1","33","1617"
"Troy Glaus","Braves","128","483","16","52","71","0","13.0 %","20.7 %",".160",".277",".240",".344",".400",".332","104","-0.7","1.5","-16.8","0.0","33","15"
"Chris Heisey","Reds","97","226","8","33","21","1","7.1 %","25.2 %",".179",".312",".254",".324",".433",".332","102","1.5","1.9","3.3","1.3","25","3978"
"Travis Snider","Blue Jays","82","319","14","36","32","6","6.6 %","24.8 %",".208",".302",".255",".304",".463",".332","104","-1.9","-0.2","0.9","1.2","22","2830"
"Jose Tabata","Pirates","102","441","4","61","35","19","6.3 %","12.9 %",".101",".339",".299",".346",".400",".332","106","1.9","5.2","-2.5","1.7","21","2411"
"Jeff Keppinger","Astros","137","575","6","62","59","4","8.9 %","6.3 %",".105",".298",".288",".351",".393",".332","104","-5.0","-2.1","-2.4","1.4","30","3856"
"Carlos Beltran","Mets","64","255","7","21","27","3","11.8 %","15.3 %",".173",".275",".255",".341",".427",".332","106","-1.0","0.8","-1.7","0.7","33","589"
"Brad Hawpe","- - -","103","346","9","31","44","2","12.1 %","24.6 %",".174",".308",".245",".338",".419",".331","92","1.6","-1.5","-7.1","0.2","31","1885"
"Jason Bay","Mets","95","401","6","48","47","10","11.0 %","22.7 %",".144",".329",".259",".347",".402",".331","106","3.2","5.9","-5.8","1.3","31","1717"
"Jonny Gomes","Reds","148","571","18","77","86","5","6.8 %","21.5 %",".164",".311",".266",".327",".431",".331","101","3.9","4.4","-23.5","-0.1","29","1845"
"Shane Victorino","Phillies","147","648","18","84","69","34","8.2 %","12.2 %",".170",".273",".259",".327",".429",".331","102","5.2","7.2","3.5","3.2","29","1677"
"Ichiro Suzuki","Mariners","162","732","6","74","43","42","6.1 %","11.7 %",".079",".353",".315",".359",".394",".331","110","4.6","13.5","6.6","4.7","36","1101"
"Mike Aviles","Royals","110","448","8","63","32","14","4.5 %","10.9 %",".108",".327",".304",".335",".413",".330","103","-0.8","0.8","-4.0","1.3","29","5986"
"Michael Cuddyer","Twins","157","675","14","93","81","7","8.6 %","13.8 %",".146",".298",".271",".336",".417",".330","103","-0.7","1.6","-25.8","-0.1","31","1534"
"Mark Reynolds","Diamondbacks","145","596","32","79","85","7","13.9 %","35.4 %",".234",".257",".198",".320",".433",".329","96","-1.6","-4.5","2.4","1.7","26","7619"
"Fred Lewis","Blue Jays","110","480","8","70","36","17","7.9 %","21.7 %",".152",".325",".262",".332",".414",".329","102","-1.1","0.3","-13.1","0.4","29","4693"
"Starlin Castro","Cubs","125","506","3","53","41","10","5.7 %","14.0 %",".108",".346",".300",".347",".408",".329","99","-0.9","-1.7","3.6","1.8","20","4579"
"Mark Ellis","Athletics","124","492","5","45","49","7","8.1 %","11.4 %",".089",".321",".291",".358",".381",".329","106","0.7","4.1","8.7","3.1","33","1443"
"Miguel Olivo","Rockies","112","427","14","55","58","7","6.3 %","27.4 %",".180",".346",".269",".315",".449",".329","88","1.5","-4.5","17.0","2.7","31","1638"
"Austin Jackson","Tigers","151","675","4","103","41","27","7.0 %","25.2 %",".107",".396",".293",".345",".400",".329","101","7.3","8.3","7.5","4.0","23","9848"
"Ryan Ludwick","- - -","136","553","17","63","69","0","8.7 %","21.9 %",".167",".297",".251",".325",".418",".329","106","-2.8","1.1","-3.7","1.5","31","1260"
"Todd Helton","Rockies","118","473","8","48","37","0","14.2 %","19.0 %",".111",".307",".256",".362",".367",".329","88","-3.7","-10.5","-9.0","-0.5","36","432"
"Matt Kemp","Dodgers","162","668","28","82","89","19","7.9 %","25.4 %",".201",".295",".249",".310",".450",".329","106","-1.3","3.1","-23.5","0.0","25","5631"
"Melvin Upton Jr.","Rays","154","610","18","89","62","42","11.0 %","26.9 %",".187",".304",".237",".322",".424",".328","107","8.2","13.4","2.8","3.8","25","5015"
"Freddy Sanchez","Giants","111","479","7","55","47","3","6.7 %","14.2 %",".104",".330",".292",".342",".397",".327","104","-1.1","1.4","7.2","2.4","32","1624"
"Jason Kubel","Twins","143","582","21","68","92","0","9.6 %","19.9 %",".178",".280",".249",".323",".427",".327","101","-7.6","-6.7","-20.4","-0.7","28","2161"
"Gregor Blanco","- - -","85","269","1","31","14","11","10.8 %","18.6 %",".084",".353",".283",".360",".367",".327","101","-0.1","0.3","0.7","1.0","26","3123"
"Jamey Carroll","Dodgers","133","414","0","48","23","12","12.3 %","15.5 %",".048",".349",".291",".379",".339",".327","104","1.9","4.1","6.3","2.4","36","1591"
