"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2009","Garret Anderson","2","ATL","135","534","496","133","93","27","0","13","52","61","27","2","73","2","9","0","11","1","0","0.268145161","0.050561797","0.136704119","0.369863013","0.268145161","0.303370786","0.401209677","0.704580463","0.133064516","0.286396181","53.8319515515128","-10.1412491869172","0.305711730418349","83.3884303404888","1.084848484","0.203703703","0.414351851","0.381944444","0.072727272","0.078787878","0.044692737","0.000000000","0.4699","0.3218","0.2083","0.1319","0.5903","0.2778"
"2009","David Eckstein","10","SDP","134","568","503","131","100","27","2","2","64","51","39","1","46","9","4","13","8","3","1","0.260437375","0.068661971","0.080985915","0.847826086","0.260437375","0.322522522","0.333996023","0.656518545","0.073558648","0.281045751","52.8603593717711","-15.1860414136751","0.296336732616493","84.2096748717114","1.339743589","0.194260485","0.461368653","0.344370860","0.153846153","0.012820512","0.062200956","0.190476190","0.3608","0.3017","0.3376","0.1814","0.6730","0.1456"
"2009","Adam Kennedy","19","OAK","129","587","529","153","112","29","1","11","65","63","45","2","86","4","3","5","8","20","6","0.289224952","0.076660988","0.146507666","0.523255813","0.289224952","0.347676419","0.410207939","0.757884358","0.120982987","0.326436781","73.3215162347145","2.99891542299464","0.334884188747571","103.193272745409","1.151898734","0.235955056","0.408988764","0.355056179","0.050632911","0.069620253","0.027472527","0.000000000","0.3370","0.3570","0.3060","0.1353","0.6519","0.2129"
"2009","Bengie Molina","24","SFG","132","520","491","130","84","25","1","20","52","80","13","3","68","5","11","0","14","0","0","0.264765784","0.025000000","0.130769230","0.191176470","0.264765784","0.284615384","0.441955193","0.726570577","0.177189409","0.265700483","53.5584095539491","-8.73759116512131","0.308360304546541","85.6916285199476","0.583333333","0.168202764","0.306451612","0.525345622","0.114035087","0.087719298","0.007518796","0.000000000","0.4240","0.3456","0.2304","0.1659","0.5484","0.2857"
"2009","Rod Barajas","45","TOR","122","460","429","97","59","19","0","19","43","71","20","2","76","1","7","3","4","1","0","0.226107226","0.043478260","0.165217391","0.263157894","0.226107226","0.258205689","0.403263403","0.661469092","0.177156177","0.228739002","37.6069236924423","-17.5010769436584","0.282646453118586","65.1902081985689","0.514705882","0.141666666","0.291666666","0.566666666","0.132352941","0.093137254","0.019047619","0.000000000","0.4683","0.3196","0.2121","0.2039","0.5207","0.2755"
"2009","Craig Counsell","52","MIL","125","459","404","115","81","22","8","4","61","39","42","0","54","6","4","3","12","3","4","0.284653465","0.091503267","0.117647058","0.777777777","0.284653465","0.357456140","0.408415841","0.765871981","0.123762376","0.317142857","59.2824304737537","4.29422983903574","0.340024760548483","106.058921693771","1.243902439","0.213675213","0.435897435","0.350427350","0.113821138","0.032520325","0.032679738","0.166666666","0.4482","0.3221","0.2297","0.1485","0.6443","0.2073"
"2009","Jose Guillen","57","KCR","80","312","281","68","51","8","0","9","30","40","22","1","50","8","1","0","13","1","0","0.241992882","0.070512820","0.160256410","0.440000000","0.241992882","0.314102564","0.366548042","0.680650606","0.124555160","0.264573991","31.1061936353846","-6.27140679605765","0.304368635274206","79.3254744057553","1.139784946","0.142241379","0.456896551","0.400862068","0.150537634","0.096774193","0.028301886","0.000000000","0.4353","0.3103","0.2543","0.1509","0.5560","0.2931"
"2009","Henry Blanco","81","SDP","66","232","204","48","30","12","0","6","21","16","26","2","50","0","1","1","5","0","0","0.235294117","0.112068965","0.215517241","0.520000000","0.235294117","0.320346320","0.382352941","0.702699261","0.147058824","0.281879194","24.2611258528457","-3.53247446797032","0.310269076230745","93.5669871442355","0.940298507","0.161290322","0.406451612","0.432258064","0.104477611","0.089552238","0.111111111","0.000000000","0.5128","0.2821","0.2051","0.1795","0.5513","0.2692"
"2009","Rafael Furcal","88","LAD","150","680","613","165","123","28","5","9","92","47","61","2","89","1","2","3","11","12","6","0.269168026","0.089705882","0.130882352","0.685393258","0.269168026","0.335302806","0.375203915","0.710506721","0.106035889","0.301740812","74.8104592028431","-6.65354173747977","0.316855957684693","92.5918488316928","1.906474820","0.190380761","0.531062124","0.278557114","0.107913669","0.064748201","0.071698113","0.433333333","0.3932","0.3459","0.2609","0.1437","0.5879","0.2684"
"2009","Wes Helms","94","FLA","105","234","214","58","44","11","0","3","18","33","13","1","54","3","3","1","10","1","1","0.271028037","0.055555555","0.230769230","0.240740740","0.271028037","0.317596566","0.364485981","0.682082547","0.093457944","0.343750000","22.7993420612184","-5.2338582623633","0.301625390504969","77.8624486715116","1.093750000","0.177914110","0.429447852","0.392638036","0.093750000","0.046875000","0.028571428","0.000000000","0.3293","0.3720","0.2988","0.1646","0.5671","0.2683"
"2009","Andruw Jones","96","TEX","82","331","281","60","25","18","0","17","43","43","45","3","72","2","3","0","7","5","1","0.213523131","0.135951661","0.217522658","0.625000000","0.213523131","0.323262839","0.459074733","0.782337572","0.245551602","0.220512820","41.9650735295765","2.31127307186053","0.3371523947614","96.4043286731805","0.695238095","0.160377358","0.344339622","0.495283018","0.133333333","0.161904761","0.082191780","0.000000000","0.5425","0.2972","0.1604","0.1887","0.4811","0.3302"
"2009","Chipper Jones","97","ATL","143","596","488","129","86","23","2","18","80","71","101","18","89","1","6","0","14","4","1","0.264344262","0.169463087","0.149328859","1.134831460","0.264344262","0.387583892","0.430327868","0.817911760","0.165983606","0.286821705","84.1101296651453","12.7093288409799","0.354512653755069","116.164357456018","1.297872340","0.200000000","0.451851851","0.348148148","0.035460992","0.127659574","0.043715846","0.000000000","0.3605","0.3630","0.2765","0.1062","0.5877","0.3062"
"2009","Gary Sheffield","114","NYM","100","312","268","74","49","13","2","10","44","43","40","3","46","2","2","0","10","2","1","0.276119402","0.128205128","0.147435897","0.869565217","0.276119402","0.371794871","0.451492537","0.823287408","0.175373135","0.299065420","45.446707575913","8.06910714447078","0.360005970333001","121.570980057663","1.261904761","0.151785714","0.473214285","0.375000000","0.226190476","0.119047619","0.075471698","0.000000000","0.4821","0.3482","0.1696","0.1920","0.5223","0.2857"
"2009","Jerry Hairston","144","2 Tms","124","433","383","96","62","23","1","10","62","39","32","0","54","6","4","8","3","7","4","0.250652741","0.073903002","0.124711316","0.592592592","0.250652741","0.315294117","0.394255874","0.709549991","0.143603133","0.266253869","46.4797414493986","-5.39365914936586","0.313606594871072","84.9155958364931","0.791366906","0.231481481","0.339506172","0.429012345","0.143884892","0.071942446","0.054545454","0.352941176","0.4575","0.2962","0.2463","0.1906","0.5982","0.2111"
"2009","Gary Matthews Jr.","153","LAA","102","360","316","79","54","19","2","4","44","50","40","2","74","2","2","0","4","4","1","0.250000000","0.111111111","0.205555555","0.540540540","0.250000000","0.336111111","0.360759493","0.696870604","0.110759493","0.312500000","38.273269280547","-4.85473121727103","0.312376295388078","86.5307551380699","1.084210526","0.188524590","0.422131147","0.389344262","0.105263157","0.042105263","0.029126213","0.000000000","0.3238","0.3648","0.3115","0.1844","0.5369","0.2787"
"2009","Melvin Mora","157","BAL","124","496","450","117","89","20","0","8","44","48","34","1","60","8","3","1","13","3","3","0.260000000","0.068548387","0.120967741","0.566666666","0.260000000","0.321212121","0.357777777","0.678989898","0.097777777","0.283116883","49.3356811478716","-10.085119538011","0.304087514940061","77.3476803589614","1.120805369","0.187660668","0.429305912","0.383033419","0.100671140","0.053691275","0.041916167","0.200000000","0.3706","0.3477","0.2817","0.1802","0.5939","0.2259"
"2009","Brian Roberts","166","BAL","159","717","632","179","106","56","1","16","110","79","74","3","112","2","8","1","7","30","7","0.283227848","0.103207810","0.156206415","0.660714285","0.283227848","0.356145251","0.450949367","0.807094618","0.167721519","0.318359375","99.6649446266085","13.768343635121","0.351944427336416","109.021714997028","0.863636363","0.216061185","0.363288718","0.420650095","0.072727272","0.072727272","0.036842105","0.500000000","0.4272","0.2836","0.2892","0.1361","0.5936","0.2703"
"2009","Johnny Damon","185","NYY","143","626","550","155","92","36","3","24","107","82","71","1","98","2","1","2","9","12","0","0.281818181","0.113418530","0.156549520","0.724489795","0.281818181","0.365384615","0.489090909","0.854475524","0.207272728","0.305361305","97.5064136691554","22.5116128035053","0.372229986741876","122.173718519674","0.973684210","0.164810690","0.412026726","0.423162583","0.131578947","0.126315789","0.086486486","0.333333333","0.4879","0.2703","0.2418","0.2110","0.5495","0.2396"
"2009","Manny Ramirez","210","LAD","104","431","352","102","57","24","2","19","62","63","71","21","81","7","1","0","7","0","1","0.289772727","0.164733178","0.187935034","0.876543209","0.289772727","0.417633410","0.531250000","0.948883410","0.241477273","0.328063241","76.437270236267","24.8034696402683","0.398361272201305","147.332867350795","0.780701754","0.253676470","0.327205882","0.419117647","0.078947368","0.166666666","0.033707865","0.000000000","0.3640","0.3199","0.3162","0.1360","0.5000","0.3640"
"2009","Will Venable","211","SDP","94","324","293","75","47","14","2","12","38","38","25","2","89","4","0","2","6","6","1","0.255972696","0.077160493","0.274691358","0.280898876","0.255972696","0.322981366","0.440273037","0.763254403","0.184300341","0.328125000","39.7748040955237","0.959603647487464","0.332285120896995","108.353516291939","1.086419753","0.159203980","0.437810945","0.402985074","0.074074074","0.148148148","0.079545454","0.400000000","0.4563","0.3398","0.2039","0.1553","0.5388","0.3058"
"2009","Jason Varitek","217","BOS","109","425","364","76","38","24","0","14","41","51","54","6","90","3","4","0","6","0","0","0.208791208","0.127058823","0.211764705","0.600000000","0.208791208","0.312941176","0.390109890","0.703051066","0.181318682","0.234848484","43.3326165652399","-7.58238402246191","0.307104019674879","77.1052678259127","0.793893129","0.154676258","0.374100719","0.471223021","0.160305343","0.106870229","0.038461538","0.000000000","0.3849","0.3273","0.2878","0.1727","0.5504","0.2770"
"2009","Joe Crede","227","MIN","90","367","333","75","43","16","1","15","42","48","29","1","56","2","3","0","6","0","0","0.225225225","0.079019073","0.152588555","0.517857142","0.225225225","0.288828337","0.414414414","0.703242751","0.189189189","0.226415094","36.9336230559019","-7.03297745159592","0.305503137613255","82.1432871108384","0.570469798","0.164285714","0.303571428","0.532142857","0.154362416","0.100671140","0.058823529","0.000000000","0.4036","0.3536","0.2429","0.2357","0.4964","0.2679"
"2009","Willie Harris","236","WSN","127","393","323","76","45","18","6","7","47","27","57","1","62","9","1","3","4","11","4","0.235294117","0.145038167","0.157760814","0.919354838","0.235294117","0.364102564","0.393188854","0.757291418","0.157894737","0.270588235","51.2174325990136","4.1360320555623","0.341439364042258","106.016874930252","0.825000000","0.147859922","0.385214007","0.466926070","0.075000000","0.058333333","0.050505050","0.250000000","0.5472","0.2755","0.1774","0.1245","0.6038","0.2717"
"2009","Paul Konerko","242","CHW","152","621","546","151","92","30","1","28","75","88","58","4","89","10","7","0","15","1","0","0.276556776","0.093397745","0.143317230","0.651685393","0.276556776","0.352657004","0.489010989","0.841667993","0.212454213","0.282110091","91.9001890726448","17.5043882139088","0.362820203339068","115.387789643356","0.783018867","0.185344827","0.357758620","0.456896551","0.080188679","0.132075471","0.018072289","0.000000000","0.4849","0.3039","0.2112","0.1185","0.5453","0.3362"
"2009","Carlos Lee","243","HOU","160","662","610","183","121","35","1","26","65","102","41","5","51","3","8","0","21","5","3","0.300000000","0.061933534","0.077039274","0.803921568","0.300000000","0.342900302","0.488524590","0.831424892","0.188524590","0.290203327","94.4617527308912","15.1541518154592","0.356409579560818","117.54440607931","0.829959514","0.202821869","0.361552028","0.435626102","0.113360323","0.105263157","0.063414634","0.000000000","0.4374","0.3580","0.2046","0.1605","0.5344","0.3051"
