"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2006","Alfredo Amezaga","1","FLA","123","378","334","87","72","9","3","3","42","19","33","4","46","3","1","7","5","20","12","0.260479041","0.087301587","0.121693121","0.717391304","0.260479041","0.331536388","0.332335329","0.663871717","0.071856288","0.293706293","35.906754336166","-11.532243230534","0.295790008855451","74.9505237052469","1.549450549","0.168458781","0.505376344","0.326164874","0.142857142","0.032967032","0.113475177","0.235294117","0.3514","0.3649","0.2838","0.1588","0.6689","0.1723"
"2006","Garret Anderson","2","LAA","141","588","543","152","105","28","2","17","63","85","38","11","95","0","7","0","8","1","0","0.279926335","0.064625850","0.161564625","0.400000000","0.279926335","0.323129251","0.432780847","0.755910098","0.152854512","0.308219178","67.3604263332519","-6.43356988161475","0.318693142416572","89.5537348908644","1.119047619","0.217582417","0.413186813","0.369230769","0.065476190","0.101190476","0.021276595","0.000000000","0.4571","0.3209","0.2220","0.0945","0.5758","0.3297"
"2006","David Eckstein","10","STL","123","552","500","146","125","18","1","2","68","23","31","0","41","15","3","3","7","7","6","0.292000000","0.056159420","0.074275362","0.756097560","0.292000000","0.349726775","0.344000000","0.693726775","0.052000000","0.313043478","60.740059122708","-8.5359373239015","0.313399942194829","86.717102857088","1.681818181","0.218543046","0.490066225","0.291390728","0.121212121","0.015151515","0.076576576","0.250000000","0.3785","0.3290","0.2925","0.1204","0.7355","0.1441"
"2006","Troy Glaus","15","TOR","153","634","540","136","71","27","0","38","105","104","86","6","134","3","5","0","25","3","2","0.251851851","0.135646687","0.211356466","0.641791044","0.251851851","0.354889589","0.512962962","0.867852551","0.261111111","0.262734584","98.7353734031762","19.1683774844255","0.366888625321874","119.421144434252","0.689655172","0.165450121","0.340632603","0.493917274","0.108374384","0.187192118","0.042857142","0.000000000","0.3771","0.3747","0.2482","0.0633","0.5693","0.3674"
"2006","Adam Kennedy","19","LAA","138","503","451","123","87","26","6","4","50","55","39","5","72","5","5","3","15","16","10","0.272727272","0.077534791","0.143141153","0.541666666","0.272727272","0.334000000","0.383592017","0.717592017","0.110864745","0.313157894","54.9292854864978","-8.19721127553945","0.312424938004426","85.4081069804504","1.260162601","0.270341207","0.406824146","0.322834645","0.016260162","0.032520325","0.025806451","0.166666666","0.4186","0.2842","0.2972","0.1034","0.6899","0.2067"
"2006","Bengie Molina","24","TOR","117","458","433","123","83","20","1","19","44","57","19","1","47","4","2","0","15","1","1","0.284064665","0.041484716","0.102620087","0.404255319","0.284064665","0.318777292","0.466512702","0.785289994","0.182448037","0.281842818","59.0638320026285","1.58483495091269","0.3355502848813","98.6947784362384","1.020408163","0.234536082","0.386597938","0.378865979","0.047619047","0.129251700","0.020000000","0.000000000","0.2990","0.4253","0.2758","0.0825","0.6314","0.2861"
"2006","Jose Molina","25","LAA","74","245","225","54","33","17","0","4","18","22","9","0","49","2","2","7","6","1","0","0.240000000","0.036734693","0.200000000","0.183673469","0.240000000","0.273109243","0.368888888","0.641998131","0.128888888","0.287356321","19.5652633566261","-11.182235066235","0.278076755900343","62.6911097289328","1.072463768","0.182857142","0.422857142","0.394285714","0.057971014","0.057971014","0.013513513","0.100000000","0.3189","0.4054","0.2757","0.1081","0.6811","0.2108"
"2006","Tim Salmon","32","LAA","76","244","211","56","37","8","2","9","30","27","29","1","44","3","1","0","8","0","2","0.265402843","0.118852459","0.180327868","0.659090909","0.265402843","0.360655737","0.450236966","0.810892703","0.184834123","0.295597484","35.0637596310023","4.44176120170387","0.352807521084209","112.116100610295","0.740259740","0.202380952","0.339285714","0.458333333","0.090909090","0.116883116","0.070175438","0.000000000","0.4762","0.2679","0.2560","0.1310","0.5536","0.3155"
"2006","Scott Spiezio","37","STL","117","321","276","75","43","15","4","13","44","52","37","1","66","5","2","1","1","1","0","0.271739130","0.115264797","0.205607476","0.560606060","0.271739130","0.365625000","0.496376811","0.862001811","0.224637681","0.311557788","50.7245082385461","10.43901030492","0.369564654871962","123.406760598484","0.755319148","0.199029126","0.344660194","0.456310679","0.095744680","0.138297872","0.028169014","0.571428571","0.5728","0.2676","0.1596","0.1127","0.6197","0.2676"
"2006","Rod Barajas","45","TEX","95","371","344","88","57","20","0","11","49","41","17","0","51","4","1","5","9","0","0","0.255813953","0.045822102","0.137466307","0.333333333","0.255813953","0.297814207","0.409883720","0.707697927","0.154069767","0.272084805","38.6448774533924","-7.9156201583687","0.306526534218606","76.7289811610993","0.617449664","0.174657534","0.315068493","0.510273972","0.161073825","0.073825503","0.065217391","0.000000000","0.4128","0.3289","0.2584","0.1611","0.5738","0.2651"
