"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","playerid"
"Albert Pujols","Cardinals","148","641","37","100","116","7","16.2 %","8.4 %",".296",".340",".357",".462",".653",".459","184","-0.2","67.7","-1.0","8.7","28","1177"
"Chipper Jones","Braves","128","534","22","82","75","4","16.9 %","11.4 %",".210",".383",".364",".470",".574",".445","174","-0.4","49.5","4.6","7.1","36","97"
"Manny Ramirez","- - -","153","654","37","102","121","3","13.3 %","19.0 %",".270",".370",".332",".430",".601",".432","165","-1.2","51.9","-14.4","5.9","36","210"
"Milton Bradley","Rangers","126","510","22","78","77","5","15.7 %","22.0 %",".242",".388",".321",".436",".563",".424","159","-3.4","33.6","-8.6","4.2","30","369"
"Lance Berkman","Astros","159","665","29","114","106","18","14.9 %","16.2 %",".255",".341",".312",".420",".567",".417","156","7.2","54.1","1.6","7.7","32","548"
"Carlos Quentin","White Sox","130","569","36","96","100","7","11.6 %","14.1 %",".283",".278",".288",".394",".571",".415","152","0.4","36.8","-9.0","4.7","25","6274"
"Mark Teixeira","- - -","157","685","33","102","121","2","14.2 %","13.6 %",".244",".316",".308",".410",".552",".410","152","0.7","44.9","1.7","6.9","28","1281"
"Alex Rodriguez","Yankees","138","594","35","104","103","18","10.9 %","19.7 %",".271",".328",".302",".392",".573",".409","152","2.1","40.4","-2.3","5.8","32","1274"
"Matt Holliday","Rockies","139","623","25","107","88","28","11.9 %","16.7 %",".217",".359",".321",".409",".538",".409","141","10.4","42.4","-3.3","5.9","28","1873"
"Ryan Ludwick","Cardinals","152","617","37","104","113","4","10.0 %","23.7 %",".292",".342",".299",".375",".591",".408","151","2.6","42.2","-8.3","5.4","29","1260"
"Kevin Youkilis","Red Sox","145","621","29","91","115","3","10.0 %","17.4 %",".257",".339",".312",".390",".569",".406","146","2.4","37.9","2.5","6.1","29","1935"
"Shin-Soo Choo","Indians","94","370","14","68","66","4","11.9 %","21.1 %",".240",".367",".309",".397",".549",".404","150","2.8","25.5","-6.3","3.2","25","3174"
"Hanley Ramirez","Marlins","153","693","33","125","67","35","13.3 %","17.6 %",".239",".329",".301",".400",".540",".403","144","6.3","44.8","7.6","7.5","24","8001"
"J.D. Drew","Red Sox","109","456","19","79","64","4","17.3 %","17.5 %",".239",".307",".280",".408",".519",".400","142","1.0","24.6","0.4","4.0","32","1152"
"Mike Napoli","Angels","78","274","20","39","49","7","12.8 %","25.5 %",".313",".294",".273",".374",".586",".399","146","0.4","15.9","0.9","2.6","26","3057"
"David Wright","Mets","160","736","33","115","124","15","12.8 %","16.0 %",".232",".321",".302",".390",".534",".396","143","-1.4","38.3","8.2","7.0","25","3787"
"Carlos Lee","Astros","115","481","28","61","100","4","7.7 %","10.2 %",".255",".299",".314",".368",".569",".396","142","-3.9","21.6","-5.0","3.2","32","243"
"Mike Fontenot","Cubs","119","284","9","42","40","2","12.0 %","18.0 %",".210",".353",".305",".395",".514",".394","134","3.7","15.9","6.4","3.1","28","3912"
"Nick Markakis","Orioles","157","697","20","106","87","10","14.2 %","16.2 %",".185",".350",".306",".406",".491",".392","138","-0.9","31.8","4.9","6.0","24","5930"
"Chris Iannetta","Rockies","104","407","18","50","65","0","13.8 %","22.6 %",".240",".311",".264",".390",".505",".391","129","-0.5","14.4","3.8","3.1","25","8267"
"Chase Utley","Phillies","159","707","33","113","104","14","9.1 %","14.7 %",".244",".301",".292",".380",".535",".389","134","7.2","37.6","21.8","8.2","29","1679"
"Ryan Spilborghs","Rockies","89","275","6","38","36","7","13.8 %","14.9 %",".155",".354",".313",".407",".468",".387","126","-2.5","6.5","-7.9","0.7","28","4521"
"Aubrey Huff","Orioles","154","661","32","96","108","4","8.0 %","13.5 %",".247",".310",".304",".360",".552",".387","134","2.1","30.2","-13.4","3.9","31","1213"
"Brian McCann","Braves","145","573","23","68","87","5","9.9 %","11.2 %",".222",".306",".301",".373",".523",".386","135","-4.8","20.5","12.6","5.1","24","4810"
"Aramis Ramirez","Cubs","149","645","27","97","111","2","11.5 %","14.6 %",".229",".303",".289",".380",".518",".386","129","1.9","25.1","-0.5","4.5","30","1002"
"Ian Kinsler","Rangers","121","583","18","102","71","26","7.7 %","11.5 %",".199",".334",".319",".375",".517",".385","133","7.7","31.2","-3.0","4.8","26","6195"
"Adam Dunn","- - -","158","651","40","79","100","2","18.7 %","25.2 %",".277",".258",".236",".386",".513",".384","130","-1.5","22.6","-37.6","0.6","28","319"
"Jason Bay","- - -","155","670","31","111","101","10","12.1 %","20.4 %",".236",".321",".286",".373",".522",".384","133","5.3","32.8","-24.8","3.0","29","1717"
"Josh Hamilton","Rangers","156","704","32","98","130","9","9.1 %","17.9 %",".226",".333",".304",".371",".530",".384","132","7.1","34.6","-16.1","4.2","27","1875"
"Andre Ethier","Dodgers","141","596","20","90","77","6","9.9 %","14.8 %",".206",".330",".305",".375",".510",".383","134","3.3","28.8","-14.3","3.4","26","6265"
"Jerry Hairston","Reds","80","297","6","47","36","15","7.7 %","12.1 %",".161",".357",".326",".384",".487",".381","128","3.6","14.1","3.1","2.7","32","144"
"Brad Hawpe","Rockies","138","569","25","69","85","2","13.4 %","23.6 %",".215",".341",".283",".381",".498",".381","122","0.6","16.6","-42.1","-0.7","29","1885"
"Elijah Dukes","Nationals","81","334","13","48","44","13","15.0 %","23.7 %",".214",".323",".264",".386",".478",".380","130","1.3","13.7","3.1","2.7","24","4946"
"Joe Mauer","Twins","146","633","9","98","85","1","13.3 %","7.9 %",".123",".342",".328",".413",".451",".379","133","2.8","28.7","6.9","5.7","25","1857"
"Magglio Ordonez","Tigers","146","623","21","72","103","1","8.5 %","12.2 %",".176",".334",".317",".376",".494",".378","130","-10.5","12.4","-17.1","1.6","34","248"
"Jason Giambi","Yankees","145","565","32","68","96","2","13.5 %","19.6 %",".255",".250",".247",".373",".502",".378","131","-1.9","19.7","-15.1","2.4","37","818"
"Brian Giles","Padres","147","653","12","81","63","2","13.3 %","8.0 %",".150",".318",".306",".398",".456",".377","136","-0.1","29.6","-9.8","4.1","37","990"
"Dustin Pedroia","Red Sox","157","726","17","118","83","20","6.9 %","7.2 %",".167",".331",".326",".376",".493",".377","127","2.3","26.4","12.1","6.3","24","8370"
"Jermaine Dye","White Sox","154","645","34","96","96","3","6.8 %","16.1 %",".249",".302",".292",".344",".541",".377","127","-3.2","18.1","-26.6","1.4","34","911"
"Ryan Braun","Brewers","151","663","37","92","106","14","6.3 %","19.5 %",".268",".305",".285",".335",".553",".376","129","4.2","28.2","-3.9","4.6","24","3410"
"Ty Wigginton","Astros","111","429","23","50","58","4","7.5 %","16.1 %",".241",".293",".285",".350",".526",".376","129","-3.2","12.6","1.2","2.8","30","1491"
"Miguel Cabrera","Tigers","160","684","37","85","127","1","8.2 %","18.4 %",".245",".310",".292",".349",".537",".376","129","-2.3","22.0","-19.4","2.6","25","1744"
"Grady Sizemore","Indians","157","745","33","101","90","38","13.2 %","17.4 %",".233",".290",".268",".374",".502",".376","131","10.1","38.5","10.1","7.4","25","2197"
"Carlos Pena","Rays","139","607","31","76","102","1","15.8 %","27.3 %",".247",".298",".247",".377",".494",".376","132","-1.6","22.5","-5.5","3.8","30","934"
"Dan Uggla","Marlins","146","619","32","97","92","5","12.4 %","27.6 %",".254",".320",".260",".360",".514",".375","126","-1.2","19.1","3.1","4.2","28","3442"
"Joey Votto","Reds","151","589","24","69","84","7","10.0 %","17.3 %",".209",".328",".297",".368",".506",".375","124","-0.6","17.2","-0.1","3.6","24","4314"
"Pat Burrell","Phillies","157","645","33","74","86","0","15.8 %","21.1 %",".257",".271",".250",".367",".507",".375","125","-2.3","18.1","-15.2","2.4","31","949"
"Carlos Beltran","Mets","161","706","27","116","112","25","13.0 %","13.6 %",".216",".297",".284",".376",".500",".375","129","9.8","35.3","14.8","7.3","31","589"
"Chris Davis","Rangers","80","317","17","51","55","1","6.3 %","27.8 %",".264",".351",".285",".331",".549",".375","126","-2.4","7.6","-10.4","0.8","22","9272"
"Xavier Nady","- - -","148","607","25","76","97","2","6.4 %","17.0 %",".205",".334",".305",".357",".510",".375","128","-4.1","17.0","-6.7","3.0","29","1658"
"Mark DeRosa","Cubs","149","593","21","103","87","6","11.6 %","17.9 %",".196",".319",".285",".376",".481",".374","121","4.5","20.2","2.5","4.2","33","1392"
"Vladimir Guerrero","Angels","143","600","27","85","91","5","8.5 %","12.8 %",".218",".311",".303",".365",".521",".374","129","-6.9","14.7","-16.6","1.9","33","778"
"Jayson Werth","Phillies","134","482","24","73","67","20","11.8 %","24.7 %",".225",".324",".273",".363",".498",".374","125","6.6","21.5","14.4","5.1","29","1327"
"Troy Glaus","Cardinals","151","637","27","69","99","0","13.7 %","16.3 %",".213",".288",".270",".372",".483",".373","128","-3.3","19.1","8.7","4.8","31","15"
"Curtis Granderson","Tigers","141","629","22","112","66","12","11.3 %","17.6 %",".213",".316",".280",".365",".494",".373","127","7.7","28.4","-9.0","4.1","27","4747"
"Geovany Soto","Cubs","141","563","23","66","86","0","11.0 %","21.5 %",".219",".332",".285",".364",".504",".373","120","-2.9","11.3","7.7","3.7","25","3707"
"Jack Cust","Athletics","148","598","33","77","77","0","18.6 %","32.9 %",".245",".306",".231",".375",".476",".372","131","0.8","23.4","-22.6","2.1","29","1564"
"David Ortiz","Red Sox","109","491","23","74","89","1","14.3 %","15.1 %",".243",".270",".264",".369",".507",".372","124","-2.0","12.3","-11.8","1.7","32","745"
"Prince Fielder","Brewers","159","694","34","86","102","3","12.1 %","19.3 %",".231",".298",".276",".372",".507",".371","125","-10.8","11.4","-20.7","1.3","24","4613"
"Kelly Shoppach","Indians","112","403","21","67","55","0","8.9 %","33.0 %",".256",".357",".261",".348",".517",".371","128","0.5","14.3","2.0","3.0","28","3867"
