name,chamber,party,state,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Steve Russell,House, R, OK,5,0.9690000000000001,0.134,0.9259999999999999,0.042
Gerald E. Connolly,House, D, VA,11,0.182,-0.39399999999999996,0.14,0.042
Lucille Roybal-Allard,House, D, CA,40,0.152,-0.6940000000000001,0.11,0.042
Tom Rice,House, R, SC,7,1.0,0.18899999999999997,0.961,0.039
Chris Stewart,House, R, UT,2,0.9670000000000001,0.14,0.929,0.038
Doug LaMalfa,House, R, CA,1,1.0,0.19699999999999998,0.963,0.037000000000000005
Thomas A. Garrett Jr.,House, R, VA,5,0.9390000000000001,0.111,0.903,0.037000000000000005
Tim Murphy,House, R, PA,18,1.0,0.196,0.963,0.037000000000000005
Brenda L. Lawrence,House, D, MI,14,0.156,-0.609,0.12,0.036000000000000004
Scott H. Peters,House, D, CA,52,0.242,-0.225,0.20600000000000002,0.036000000000000004
Robert A. Brady,House, D, PA,1,0.152,-0.613,0.11599999999999999,0.036000000000000004
Greg Walden,House, R, OR,2,1.0,0.201,0.965,0.035
Wm. Lacy Clay,House, D, MO,1,0.156,-0.5820000000000001,0.122,0.034
David P. Joyce,House, R, OH,14,0.9390000000000001,0.115,0.907,0.032
Roger Williams,House, R, TX,25,0.97,0.149,0.938,0.031
Jack Bergman,House, R, MI,1,1.0,0.213,0.9690000000000001,0.031
Duncan Hunter,House, R, CA,50,0.97,0.15,0.9390000000000001,0.03
Mark Walker,House, R, NC,6,0.9640000000000001,0.147,0.934,0.03
Grace Meng,House, D, NY,6,0.188,-0.33,0.158,0.03
Donald S. Beyer Jr.,House, D, VA,8,0.161,-0.526,0.132,0.03
Kevin McCarthy,House, R, CA,23,1.0,0.22,0.971,0.028999999999999998
Jackie Walorski,House, R, IN,2,1.0,0.23199999999999998,0.973,0.027000000000000003
Tulsi Gabbard,House, D, HI,2,0.188,-0.318,0.161,0.026000000000000002
Lou Barletta,House, R, PA,11,1.0,0.23800000000000002,0.9740000000000001,0.026000000000000002
Chris Collins,House, R, NY,27,1.0,0.245,0.975,0.025
Marc A. Veasey,House, D, TX,33,0.152,-0.49200000000000005,0.127,0.024
Gregg Harper,House, R, MS,3,1.0,0.245,0.976,0.024
Patrick T. McHenry,House, R, NC,10,1.0,0.245,0.976,0.024
Eric Swalwell,House, D, CA,15,0.156,-0.457,0.132,0.024
Richard Hudson,House, R, NC,8,0.963,0.15,0.9390000000000001,0.024
John R. Moolenaar,House, R, MI,4,1.0,0.248,0.976,0.024
Ted S. Yoho,House, R, FL,3,0.9690000000000001,0.16,0.945,0.024
Michael K. Simpson,House, R, ID,2,1.0,0.247,0.977,0.023
Brad R. Wenstrup,House, R, OH,2,0.97,0.161,0.9470000000000001,0.023
Trey Gowdy,House, R, SC,4,1.0,0.257,0.977,0.023
Daniel M. Donovan Jr.,House, R, NY,11,0.909,0.098,0.8859999999999999,0.023
Mike Kelly,House, R, PA,3,1.0,0.261,0.977,0.023
C. A. Dutch Ruppersberger,House, D, MD,2,0.212,-0.24600000000000002,0.19,0.022000000000000002
Harold Rogers,House, R, KY,5,1.0,0.621,0.978,0.022000000000000002
Michael C. Burgess,House, R, TX,26,1.0,0.265,0.978,0.022000000000000002
John H. Rutherford,House, R, FL,4,1.0,0.28,0.978,0.022000000000000002
Dwight Evans,House, D, PA,2,0.125,-0.828,0.10300000000000001,0.022000000000000002
Frank A. LoBiondo,House, R, NJ,2,0.818,0.046,0.797,0.022000000000000002
Robert B. Aderholt,House, R, AL,4,1.0,0.63,0.978,0.022000000000000002
Mac Thornberry,House, R, TX,13,1.0,0.63,0.978,0.022000000000000002
Jim Cooper,House, D, TN,5,0.273,-0.184,0.251,0.021
Thomas J. Rooney,House, R, FL,17,1.0,0.272,0.9790000000000001,0.021
K. Michael Conaway,House, R, TX,11,1.0,0.5870000000000001,0.9790000000000001,0.021
Doug Collins,House, R, GA,9,1.0,0.585,0.9790000000000001,0.021
Robert J. Wittman,House, R, VA,1,0.938,0.124,0.917,0.021
Tom Graves,House, R, GA,14,1.0,0.529,0.98,0.02
Kay Granger,House, R, TX,12,1.0,0.302,0.98,0.02
Jeb Hensarling,House, R, TX,5,1.0,0.284,0.98,0.02
Adrian Smith,House, R, NE,3,1.0,0.5489999999999999,0.98,0.02
Glenn Thompson,House, R, PA,5,1.0,0.28800000000000003,0.98,0.02
Austin Scott,House, R, GA,8,1.0,0.289,0.98,0.02
Frank D. Lucas,House, R, OK,3,1.0,0.527,0.98,0.02
Bradley Byrne,House, R, AL,1,1.0,0.294,0.98,0.02
Doris O. Matsui,House, D, CA,6,0.152,-0.44799999999999995,0.132,0.019
Evan H. Jenkins,House, R, WV,3,1.0,0.49200000000000005,0.981,0.019
Kevin Brady,House, R, TX,8,1.0,0.488,0.981,0.019
James Comer,House, R, KY,1,1.0,0.485,0.981,0.019
Steve Scalise,House, R, LA,1,1.0,0.42,0.981,0.019
John Shimkus,House, R, IL,15,1.0,0.462,0.981,0.019
Ro Khanna,House, D, CA,17,0.125,-0.534,0.106,0.019
Sam Graves,House, R, MO,6,1.0,0.314,0.981,0.019
Steve Womack,House, R, AR,3,1.0,0.314,0.981,0.019
Steven M. Palazzo,House, R, MS,4,1.0,0.41200000000000003,0.981,0.019
Nancy Pelosi,House, D, CA,12,0.129,-0.775,0.11,0.019
Martha Roby,House, R, AL,2,1.0,0.319,0.981,0.019
Kevin Cramer,House, R, ND,AL,1.0,0.35700000000000004,0.982,0.018000000000000002
Danny K. Davis,House, D, IL,7,0.125,-0.782,0.107,0.018000000000000002
Glenn Grothman,House, R, WI,6,0.97,0.16899999999999998,0.951,0.018000000000000002
Rick Crawford ,House, R, AR,1,1.0,0.348,0.982,0.018000000000000002
Tom Cole,House, R, OK,4,1.0,0.374,0.982,0.018000000000000002
Bill Johnson,House, R, OH,6,1.0,0.426,0.982,0.018000000000000002
Bill Shuster,House, R, PA,9,1.0,0.425,0.982,0.018000000000000002
David B. McKinley,House, R, WV,1,1.0,0.41600000000000004,0.982,0.018000000000000002
Larry Bucshon,House, R, IN,8,1.0,0.337,0.982,0.018000000000000002
Todd Rokita,House, R, IN,4,1.0,0.341,0.982,0.018000000000000002
Brett Guthrie,House, R, KY,2,1.0,0.39899999999999997,0.982,0.018000000000000002
Chuck Fleischmann ,House, R, TN,3,1.0,0.35200000000000004,0.982,0.018000000000000002
Blaine Luetkemeyer,House, R, MO,3,1.0,0.39,0.982,0.018000000000000002
Neal P. Dunn,House, R, FL,2,1.0,0.35600000000000004,0.982,0.018000000000000002
Vicky Hartzler,House, R, MO,4,1.0,0.36,0.982,0.018000000000000002
Ron DeSantis,House, R, FL,6,0.97,0.17,0.9520000000000001,0.018000000000000002
Clay Higgins,House, R, LA,3,1.0,0.381,0.982,0.018000000000000002
Tom Marino,House, R, PA,10,1.0,0.359,0.982,0.018000000000000002
Elijah E. Cummings,House, D, MD,7,0.133,-0.55,0.11699999999999999,0.017
Virginia Foxx,House, R, NC,5,0.97,0.175,0.9540000000000001,0.015
Mike Gallagher,House, R, WI,8,0.97,0.17600000000000002,0.955,0.015
Terri A. Sewell,House, D, AL,7,0.152,-0.41200000000000003,0.13699999999999998,0.015
Norma J. Torres,House, D, CA,35,0.156,-0.408,0.142,0.013999999999999999
Michael E. Capuano,House, D, MA,7,0.125,-0.722,0.111,0.013999999999999999
Dan Newhouse,House, R, WA,4,1.0,0.228,0.987,0.013000000000000001
Hakeem S. Jeffries,House, D, NY,8,0.121,-0.711,0.10800000000000001,0.013000000000000001
Alma S. Adams,House, D, NC,12,0.152,-0.4,0.139,0.013000000000000001
David E. Price,House, D, NC,4,0.152,-0.4,0.139,0.013000000000000001
David Rouzer,House, R, NC,7,0.9690000000000001,0.177,0.956,0.013000000000000001
Carolyn B. Maloney,House, D, NY,12,0.125,-0.698,0.113,0.012
Donald M. Payne Jr.,House, D, NJ,10,0.1,-0.7240000000000001,0.08800000000000001,0.012
Frederica S. Wilson,House, D, FL,24,0.133,-0.677,0.122,0.012
Jason Chaffetz,House, R, UT,3,1.0,0.239,0.9890000000000001,0.011000000000000001
Joyce Beatty,House, D, OH,3,0.152,-0.384,0.141,0.01
Gus M. Bilirakis,House, R, FL,12,0.97,0.18600000000000003,0.96,0.01
Elise M. Stefanik,House, R, NY,21,0.9390000000000001,0.139,0.9309999999999999,0.009000000000000001
G. K. Butterfield,House, D, NC,1,0.156,-0.37,0.14800000000000002,0.008
Val Butler Demings,House, D, FL,10,0.182,-0.26899999999999996,0.17600000000000002,0.006
Eddie Bernice Johnson,House, D, TX,30,0.133,-0.608,0.128,0.006
Michael F. Doyle,House, D, PA,14,0.152,-0.359,0.146,0.005
Randy K. Weber Sr.,House, R, TX,14,0.968,0.198,0.9620000000000001,0.005
Al Green,House, D, TX,9,0.121,-0.613,0.11599999999999999,0.005
John Conyers Jr.,House, D, MI,13,0.121,-0.607,0.11599999999999999,0.005
Jerrold Nadler,House, D, NY,10,0.133,-0.595,0.129,0.004
Susan A. Davis,House, D, CA,53,0.152,-0.349,0.14800000000000002,0.003
Robin L. Kelly,House, D, IL,2,0.121,-0.589,0.11800000000000001,0.003
Jackie Speier,House, D, CA,14,0.121,-0.5870000000000001,0.11800000000000001,0.003
Anthony G. Brown,House, D, MD,4,0.125,-0.585,0.122,0.003
Bill Posey,House, R, FL,8,0.97,0.207,0.9670000000000001,0.003
Joseph Crowley,House, D, NY,14,0.121,-0.579,0.11900000000000001,0.002
Keith J. Rothfus,House, R, PA,12,0.97,0.20800000000000002,0.9670000000000001,0.002
Steve Cohen,House, D, TN,9,0.121,-0.5770000000000001,0.11900000000000001,0.002
Trent Franks,House, R, AZ,8,0.97,0.21100000000000002,0.968,0.001
Sheila Jackson Lee,House, D, TX,18,0.125,-0.565,0.124,0.001
Sam Johnson,House, R, TX,3,0.9309999999999999,0.142,0.93,0.001
Jeff Fortenberry,House, R, NE,1,0.9690000000000001,0.213,0.968,0.001
Sean P. Duffy,House, R, WI,7,0.9690000000000001,0.205,0.968,0.001
Scott Perry,House, R, PA,4,0.97,0.215,0.9690000000000001,0.0
Lloyd Doggett,House, D, TX,35,0.152,-0.336,0.151,0.0
Karen Bass,House, D, CA,37,0.1,-0.7609999999999999,0.1,0.0
Francis Rooney,House, R, FL,19,0.97,0.221,0.971,-0.001
Hank Johnson Jr.,House, D, GA,4,0.125,-0.531,0.127,-0.002
Eliot L. Engel,House, D, NY,16,0.129,-0.526,0.132,-0.003
Al Lawson Jr.,House, D, FL,5,0.182,-0.254,0.185,-0.003
Gwen Moore,House, D, WI,4,0.125,-0.522,0.128,-0.003
Ken Buck,House, R, CO,4,0.97,0.231,0.973,-0.003
Stephen F. Lynch,House, D, MA,8,0.161,-0.26,0.165,-0.004
Zoe Lofgren,House, D, CA,19,0.121,-0.514,0.125,-0.004
Blake Farenthold,House, R, TX,27,0.97,0.23600000000000002,0.9740000000000001,-0.004
Doug Lamborn,House, R, CO,5,0.97,0.24,0.975,-0.005
Alan S. Lowenthal,House, D, CA,47,0.152,-0.316,0.157,-0.005
José E. Serrano,House, D, NY,15,0.091,-0.889,0.09699999999999999,-0.006
Bob Goodlatte,House, R, VA,6,0.97,0.248,0.976,-0.006
Barry Loudermilk,House, R, GA,11,0.97,0.25,0.976,-0.006999999999999999
Robert E. Latta,House, R, OH,5,0.97,0.251,0.976,-0.006999999999999999
Mike Johnson,House, R, LA,4,0.9690000000000001,0.24,0.976,-0.006999999999999999
Jody B. Hice,House, R, GA,10,0.97,0.255,0.977,-0.006999999999999999
Earl Blumenauer,House, D, OR,3,0.133,-0.48200000000000004,0.141,-0.008
Tom Emmer,House, R, MN,6,0.97,0.257,0.977,-0.008
Betty McCollum,House, D, MN,4,0.152,-0.309,0.159,-0.008
John P. Sarbanes,House, D, MD,3,0.152,-0.308,0.16,-0.008
Donald Norcross,House, D, NJ,1,0.182,-0.245,0.191,-0.009000000000000001
Darin LaHood,House, R, IL,18,0.97,0.273,0.9790000000000001,-0.009000000000000001
Jared Huffman,House, D, CA,2,0.121,-0.457,0.131,-0.01
David P. Roe,House, R, TN,1,0.97,0.57,0.98,-0.01
Rob Bishop,House, R, UT,1,0.9690000000000001,0.273,0.9790000000000001,-0.01
Andy Harris,House, R, MD,1,0.97,0.284,0.98,-0.01
James B. Renacci,House, R, OH,16,0.9390000000000001,0.166,0.95,-0.01
Jason Smith,House, R, MO,8,0.97,0.544,0.98,-0.01
Ralph Lee Abraham,House, R, LA,5,0.97,0.294,0.98,-0.011000000000000001
Mark Meadows,House, R, NC,11,0.97,0.294,0.98,-0.011000000000000001
Bob Gibbs,House, R, OH,7,0.97,0.297,0.981,-0.011000000000000001
Kristi L. Noem,House, R, SD,AL,0.97,0.298,0.981,-0.011000000000000001
Jodey C. Arrington,House, R, TX,19,0.97,0.49,0.981,-0.011000000000000001
Diane Black,House, R, TN,6,0.97,0.489,0.981,-0.011000000000000001
Daniel Lipinski,House, D, IL,3,0.281,-0.153,0.293,-0.011000000000000001
Brian Babin,House, R, TX,36,0.97,0.46799999999999997,0.981,-0.011000000000000001
Liz Cheney,House, R, WY,AL,0.97,0.46299999999999997,0.981,-0.012
A. Drew Ferguson IV,House, R, GA,3,0.97,0.315,0.981,-0.012
Billy Long,House, R, MO,7,0.97,0.457,0.981,-0.012
Roger W. Marshall,House, R, KS,1,0.97,0.45,0.981,-0.012
Gary J. Palmer,House, R, AL,6,0.97,0.447,0.981,-0.012
Paul Mitchell,House, R, MI,10,0.97,0.322,0.982,-0.012
Bruce Westerman,House, R, AR,4,0.97,0.32899999999999996,0.982,-0.012
Trent Kelly,House, R, MS,1,0.97,0.33,0.982,-0.012
Mike Rogers,House, R, AL,3,0.97,0.33,0.982,-0.012
Daniel Webster,House, R, FL,11,0.9690000000000001,0.32299999999999995,0.981,-0.012
Jim Banks,House, R, IN,3,0.97,0.35,0.982,-0.012
David Kustoff,House, R, TN,8,0.97,0.35600000000000004,0.982,-0.012
Jeff Duncan,House, R, SC,3,0.97,0.38,0.982,-0.012
Alexander X. Mooney,House, R, WV,2,0.97,0.364,0.982,-0.012
Luke Messer,House, R, IN,6,0.9690000000000001,0.40299999999999997,0.981,-0.013000000000000001
Paul A. Gosar,House, R, AZ,4,0.9690000000000001,0.402,0.981,-0.013000000000000001
Marsha Blackburn,House, R, TN,7,0.9690000000000001,0.39299999999999996,0.982,-0.013000000000000001
H. Morgan Griffith,House, R, VA,9,0.968,0.415,0.981,-0.013000000000000001
Jim Jordan,House, R, OH,4,0.968,0.336,0.981,-0.013000000000000001
Bradley Scott Schneider,House, D, IL,10,0.152,-0.294,0.165,-0.013000000000000001
Markwayne Mullin,House, R, OK,2,0.9690000000000001,0.501,0.982,-0.013000000000000001
Cedric L. Richmond,House, D, LA,2,0.1,-0.524,0.114,-0.013999999999999999
Katherine M. Clark,House, D, MA,5,0.14300000000000002,-0.436,0.157,-0.015
Bennie G. Thompson,House, D, MS,2,0.156,-0.285,0.17300000000000001,-0.017
Nanette Diaz Barragán,House, D, CA,44,0.091,-0.7070000000000001,0.109,-0.018000000000000002
Pramila Jayapal,House, D, WA,7,0.091,-0.6990000000000001,0.109,-0.018000000000000002
Ted Lieu,House, D, CA,33,0.1,-0.413,0.12,-0.02
Dina Titus,House, D, NV,1,0.125,-0.29,0.146,-0.021
Linda T. Sánchez,House, D, CA,38,0.094,-0.396,0.115,-0.021
Judy Chu,House, D, CA,27,0.121,-0.376,0.14300000000000002,-0.022000000000000002
James E. Clyburn,House, D, SC,6,0.138,-0.365,0.16,-0.022000000000000002
Marcia L. Fudge,House, D, OH,11,0.091,-0.635,0.114,-0.023
Tony Cárdenas,House, D, CA,29,0.091,-0.609,0.11599999999999999,-0.025
Joaquin Castro,House, D, TX,20,0.152,-0.267,0.177,-0.026000000000000002
F. James Sensenbrenner Jr.,House, R, WI,5,0.9390000000000001,0.201,0.965,-0.026000000000000002
Grace F. Napolitano,House, D, CA,32,0.10300000000000001,-0.389,0.129,-0.026000000000000002
Debbie Dingell,House, D, MI,12,0.152,-0.263,0.179,-0.027999999999999997
Tom McClintock,House, R, CA,4,0.909,0.147,0.937,-0.027999999999999997
Don Young,House, R, AK,AL,0.909,0.147,0.937,-0.027999999999999997
Julia Brownley,House, D, CA,26,0.182,-0.21899999999999997,0.212,-0.03
Brendan F. Boyle,House, D, PA,13,0.121,-0.336,0.151,-0.03
Raja Krishnamoorthi,House, D, IL,8,0.182,-0.217,0.213,-0.032
David N. Cicilline,House, D, RI,1,0.152,-0.256,0.183,-0.032
Marcy Kaptur,House, D, OH,9,0.161,-0.222,0.193,-0.032
