name,chamber,party,state,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Darren Soto,House, D, FL,9,0.182,-0.129,0.34600000000000003,-0.165
Ami Bera,House, D, CA,7,0.212,-0.114,0.38,-0.16699999999999998
John Garamendi,House, D, CA,3,0.182,-0.126,0.353,-0.171
Derek Kilmer,House, D, WA,6,0.182,-0.12300000000000001,0.359,-0.177
Emanuel Cleaver,House, D, MO,5,0.138,-0.135,0.316,-0.179
Christopher H. Smith,House, R, NJ,4,0.758,0.14800000000000002,0.938,-0.18
Paul Tonko,House, D, NY,20,0.161,-0.135,0.344,-0.182
Thomas Massie,House, R, KY,4,0.7879999999999999,0.359,0.982,-0.19399999999999998
Denny Heck,House, D, WA,10,0.182,-0.114,0.38,-0.198
Peter J. Visclosky,House, D, IN,1,0.152,-0.126,0.353,-0.201
Frank Pallone Jr.,House, D, NJ,6,0.091,-0.156,0.294,-0.203
William R. Keating,House, D, MA,9,0.182,-0.107,0.396,-0.214
Lisa Blunt Rochester,House, D, DE,AL,0.152,-0.114,0.379,-0.22699999999999998
Kurt Schrader,House, D, OR,5,0.313,-0.042,0.5720000000000001,-0.26
Raul Ruiz,House, D, CA,36,0.182,-0.08800000000000001,0.444,-0.262
Thomas R. Suozzi,House, D, NY,3,0.21899999999999997,-0.061,0.511,-0.292
Kathleen M. Rice,House, D, NY,4,0.121,-0.096,0.423,-0.302
Tom O'Halleran,House, D, AZ,1,0.39399999999999996,0.011000000000000001,0.715,-0.321
Tim Ryan,House, D, OH,13,0.182,-0.065,0.506,-0.324
Walter B. Jones,House, R, NC,3,0.643,0.23600000000000002,0.971,-0.32799999999999996
James R. Langevin,House, D, RI,2,0.152,-0.071,0.489,-0.33799999999999997
Sander M. Levin,House, D, MI,9,0.121,-0.078,0.47,-0.349
Josh Gottheimer,House, D, NJ,5,0.364,0.011000000000000001,0.715,-0.35100000000000003
Charlie Crist,House, D, FL,13,0.242,-0.032,0.598,-0.35600000000000004
Collin C. Peterson,House, D, MN,7,0.613,0.308,0.98,-0.36700000000000005
Ruben J. Kihuen,House, D, NV,4,0.152,-0.049,0.55,-0.39899999999999997
Daniel T. Kildee,House, D, MI,5,0.161,-0.042,0.5760000000000001,-0.414
Elizabeth H. Esty,House, D, CT,5,0.152,-0.040999999999999995,0.573,-0.42200000000000004
Ann M. Kuster,House, D, NH,2,0.182,-0.024,0.621,-0.439
Joe Courtney,House, D, CT,2,0.152,-0.028999999999999998,0.607,-0.455
Jacky Rosen,House, D, NV,3,0.242,0.01,0.7120000000000001,-0.47
Sean Patrick Maloney,House, D, NY,18,0.212,0.019,0.735,-0.523
Cheri Bustos,House, D, IL,17,0.182,0.006999999999999999,0.705,-0.523
Peter A. DeFazio,House, D, OR,4,0.156,-0.001,0.6859999999999999,-0.53
Carol Shea-Porter,House, D, NH,1,0.152,0.016,0.728,-0.5760000000000001
Ron Kind,House, D, WI,3,0.212,0.045,0.795,-0.5820000000000001
David Loebsack,House, D, IA,2,0.182,0.040999999999999995,0.7859999999999999,-0.604
Matt Cartwright,House, D, PA,17,0.21899999999999997,0.10099999999999999,0.8909999999999999,-0.672
Timothy J. Walz,House, D, MN,1,0.212,0.149,0.938,-0.726
Richard M. Nolan,House, D, MN,8,0.182,0.156,0.943,-0.762
