RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2016-17),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 12/1/17
53,Iowa State,Big 12,Matt Campbell,"$2,100,000","$2,100,000","$1,000,000",$0,"$2,492,250","$9,575,000"
54,Rutgers,Big Ten,Chris Ash,"$2,100,000","$2,100,000","$960,000","$50,000","$2,840,800","$7,425,000"
55,Southern Methodist,AAC,Chad Morris,"$2,095,793","$2,095,793",--,--,--,--
56,Central Florida,AAC,Scott Frost,"$2,000,000","$2,000,000","$250,000","$45,000","$2,325,000","$4,125,000"
57,Navy,AAC,Ken Niumatalolo,"$2,000,000","$2,000,000",--,--,--,--
58,Cincinnati,AAC,Luke Fickell,"$1,900,000","$1,900,000","$625,000",--,"$2,326,250","$9,100,000"
59,Memphis,AAC,Mike Norvell,"$1,860,000","$1,860,000","$570,000","$125,000","$1,998,500","$4,379,667"
60,Indiana,Big Ten,Tom Allen,"$1,830,000","$1,830,000","$1,441,668",--,"$2,499,362","$2,500,000"
61,Pittsburgh,ACC,Pat Narduzzi,"$1,827,735","$1,827,735",--,--,--,--
62,Wake Forest,ACC,Dave Clawson,"$1,827,370","$1,827,370",--,--,--,--
63,Houston,AAC,Major Applewhite,"$1,750,000","$1,750,000","$782,500",--,"$2,105,000","$2,762,500"
64,Notre Dame,Ind.,Brian Kelly,"$1,645,867","$1,645,867",--,--,--,--
65,Kansas,Big 12,David Beaty,"$1,601,109","$1,601,109","$1,750,000","$25,000","$2,958,599","$3,000,000"
66,California,Pac-12,Justin Wilcox,"$1,600,000","$1,600,000","$900,000",--,"$2,966,000","$8,708,500"
67,Boise State,Mt. West,Bryan Harsin,"$1,550,004","$1,550,004","$475,000","$55,000","$2,085,101","$7,366,925"
68,Colorado State,Mt. West,Mike Bobo,"$1,550,000","$1,550,000","$785,000","$50,000","$1,884,000","$3,000,000"
69,Fresno State,Mt. West,Jeff Tedford,"$1,550,000","$1,550,000","$2,765,000",--,"$1,700,000","$5,080,000"
70,Wyoming,Mt. West,Craig Bohl,"$1,412,000","$1,412,000","$450,000","$213,750","$1,587,612","$9,417,667"
71,Tulsa,AAC,Philip Montgomery,"$1,398,038","$1,398,038",--,--,--,--
