Rank,School,Conference,Name,Total Pay,Career Wins,Career Losses,Winning Percentage = Career Wins/ Career Losses,Career Length (years),
73,Louisiana-Lafayette,Sun Belt,Mark Hudspeth,"$1,150,000",90,52,0.6338028169,13,
74,Texas-San Antonio,C-USA,Frank Wilson,"$1,137,500",6,7,0.4615384615,1,
75,Utah State,Mt. West,Matt Wells,"$1,050,000",28,25,0.5283018868,4,
76,East Carolina,AAC,Scottie Montgomery,"$1,050,000",3,9,0.25,1,
78,Connecticut,AAC,Randy Edsall,"$1,000,000",96,104,0.48,17,
77,South Florida,AAC,Charlie Strong,"$1,000,000",53,37,0.5888888889,8,
79,North Texas,C-USA,Seth Littrell,"$991,416",5,8,0.3846153846,1,
80,Florida Atlantic,C-USA,Lane Kiffin,"$950,000",35,21,0.625,5,
81,Florida International,C-USA,Butch Davis,"$900,000",63,43,0.5943396226,10,
82,San Diego State,Mt. West,Rocky Long,"$828,304",119,95,0.5560747664,17,
83,New Mexico,Mt. West,Bob Davie,"$823,940",62,61,0.5040650407,10,
84,Middle Tennessee,C-USA,Rick Stockstill,"$801,504",72,66,0.5217391304,11,
85,Troy,Sun Belt,Neal Brown,"$800,000",14,11,0.56,2,
87,Western Kentucky,C-USA,Mike Sanford Jr.,"$800,000",0,0,#DIV/0!,0,
86,Western Michigan,MAC,Tim Lester,"$800,000",38,23,0.6229508197,6,
88,Rice,C-USA,David Bailiff,"$772,883",77,84,0.4782608696,13,
89,Marshall,C-USA,Doc Holliday,"$762,570",53,37,0.5888888889,7,
90,Arkansas State,Sun Belt,Blake Anderson,"$750,000",24,15,0.6153846154,3,
91,Louisiana Tech,C-USA,Skip Holtz,"$704,000",119,93,0.5613207547,17,
92,Toledo,MAC,Jason Candle,"$700,950",10,4,0.7142857143,2,
93,Appalachian State,Sun Belt,Scott Satterfield,"$675,000",32,18,0.64,4,
94,Texas State,Sun Belt,Everett Withers,"$675,000",27,23,0.54,4,
95,Old Dominion,C-USA,Bobby Wilder,"$650,000",67,30,0.6907216495,8,
96,Alabama at Birmingham,C-USA,Bill Clark,"$630,000",17,10,0.6296296296,2,
97,Charlotte,C-USA,Brad Lambert,"$625,000",16,30,0.347826087,4,
98,Northern Illinois,MAC,Rod Carey,"$623,000",36,19,0.6545454545,5,
99,Nevada-Las Vegas,Mt. West,Tony Sanchez,"$600,000",7,17,0.2916666667,2,
100,San Jose State,Mt. West,Brent Brennan,"$581,916",0,0,#DIV/0!,0,
101,South Alabama,Sun Belt,Joey Jones,"$565,260",49,49,0.5,9,
102,Georgia State,Sun Belt,Shawn Elliott,"$565,000",0,0,#DIV/0!,0,
103,Central Michigan,MAC,John Bonamego,"$545,640",13,13,0.5,2,
104,Georgia Southern,Sun Belt,Tyson Summers,"$530,000",5,7,0.4166666667,1,
105,Ohio,MAC,Frank Solich,"$522,715",146,86,0.6293103448,18,
106,Miami (Ohio),MAC,Chuck Martin,"$522,300",85,33,0.7203389831,9,
107,Texas-El Paso,C-USA,Sean Kugler,"$515,332",18,31,0.3673469388,4,
108,Southern Mississippi,C-USA,Jay Hopson,"$500,000",39,23,0.6290322581,5,
109,Massachusetts,Ind.,Mark Whipple,"$472,904",128,88,0.5925925926,19,
110,Nevada,Mt. West,Jay Norvell,"$450,000",0,0,#DIV/0!,0,
111,Idaho,Sun Belt,Paul Petrino,"$446,214",15,33,0.3125,4,
112,Eastern Michigan,MAC,Chris Creighton,"$442,420",149,73,0.6711711712,20,
113,Ball State,MAC,Mike Neu,"$436,375",4,8,0.3333333333,1,
114,Bowling Green,MAC,Mike Jinks,"$428,655",4,8,0.3333333333,1,
115,Kent State,MAC,Paul Haynes,"$414,030",12,35,0.2553191489,4,
116,Akron,MAC,Terry Bowden,"$412,500",164,99,0.6235741445,23,
117,Buffalo,MAC,Lance Leipold,"$405,500",116,23,0.8345323741,10,
118,Hawaii,Mt. West,Nick Rolovich,"$402,102",7,7,0.5,1,
119,Coastal Carolina,Sun Belt,Joe Moglia,"$400,000",51,15,0.7727272727,5,
120,Louisiana-Monroe,Sun Belt,Matt Viator,"$390,000",82,41,0.6666666667,11,
121,New Mexico State,Sun Belt,Doug Martin,"$376,044",39,91,0.3,11,
